133,(60-34)*15+15,0,27*15+15,133,(66-34)*15+15,0,10*15+15,133,(61-34)*15+15,0,23*15+15,133,(39-34)*15+15,266,(77-67)*15+15,133,(48-34)*15+15,133,(58-34)*15+15,133,(52-34)*15+15,133,(34-34)*15+15,0,19*15+15,0,32*15+15,133,(36-34)*15+15,0,4*15+15,266,(81-67)*15+15,266,(96-67)*15+15,0,26*15+15,133,(37-34)*15+15,133,(42-34)*15+15,133,(35-34)*15+15,133,(45-34)*15+15,0,7*15+15,133,(65-34)*15+15,0,12*15+15,266,(97-67)*15+15,266,(87-67)*15+15,266,(69-67)*15+15,133,(38-34)*15+15,133,(47-34)*15+15,0,9*15+15,0,5*15+15,266,(98-67)*15+15,266,(85-67)*15+15,266,(78-67)*15+15,0,25*15+15,266,(73-67)*15+15,266,(71-67)*15+15,0,29*15+15,0,22*15+15,266,(95-67)*15+15,133,(41-34)*15+15,0,15*15+15,133,(44-34)*15+15,0,31*15+15,266,(90-67)*15+15,133,(63-34)*15+15,133,(51-34)*15+15,0,30*15+15,266,(99-67)*15+15,266,(76-67)*15+15,266,(93-67)*15+15,133,(50-34)*15+15,0,16*15+15,0,14*15+15,266,(88-67)*15+15,266,(91-67)*15+15,266,(72-67)*15+15,133,(46-34)*15+15,0,18*15+15,266,(70-67)*15+15,133,(40-34)*15+15,133,(59-34)*15+15,266,(89-67)*15+15,0,3*15+15,133,(57-34)*15+15,133,(64-34)*15+15,266,(75-67)*15+15,266,(68-67)*15+15,133,(54-34)*15+15,0,13*15+15,266,(80-67)*15+15,0,21*15+15,266,(82-67)*15+15,266,(79-67)*15+15,0,20*15+15,133,(49-34)*15+15,266,(74-67)*15+15,0,1*15+15,0,28*15+15,266,(92-67)*15+15,0,8*15+15,0,0*15+15,133,(43-34)*15+15,133,(62-34)*15+15,266,(67-67)*15+15,133,(56-34)*15+15,0,24*15+15,133,(53-34)*15+15,0,11*15+15,0,33*15+15,266,(94-67)*15+15,133,(55-34)*15+15,0,6*15+15,266,(84-67)*15+15,0,2*15+15,266,(86-67)*15+15,0,17*15+15,266,(83-67)*15+15,1477310462
133,405,0,420,133,495,0,165,133,420,0,360,133,90,266,165,133,225,133,375,133,285,133,15,0,300,0,495,133,45,0,75,266,225,266,450,0,405,133,60,133,135,133,30,133,180,0,120,133,480,0,195,266,465,266,315,266,45,133,75,133,210,0,150,0,90,266,480,266,285,266,180,0,390,266,105,266,75,0,450,0,345,266,435,133,120,0,240,133,165,0,480,266,360,133,450,133,270,0,465,266,495,266,150,266,405,133,255,0,255,0,225,266,330,266,375,266,90,133,195,0,285,266,60,133,105,133,390,266,345,0,60,133,360,133,465,266,135,266,30,133,315,0,210,266,210,0,330,266,240,266,195,0,315,133,240,266,120,0,30,0,435,266,390,0,135,680,227,133,150,133,435,266,15,133,345,0,375,133,300,0,180,0,510,266,420,133,330,0,105,266,270,1,43,266,300,0,270,266,255,1477310479
133,405,0,420,133,495,0,165,133,420,0,360,133,90,266,165,133,225,133,375,133,285,133,15,0,300,0,495,133,45,0,75,266,225,266,450,0,405,133,60,133,135,133,30,133,180,0,120,133,480,0,195,266,465,266,315,266,45,133,75,133,210,0,150,0,90,266,480,266,285,266,180,0,390,266,105,266,75,0,450,0,345,266,435,133,120,0,240,133,165,0,480,266,360,133,450,133,270,0,465,266,495,266,150,266,405,133,255,0,255,0,225,266,330,266,375,266,90,133,195,0,285,266,60,133,105,133,390,266,345,0,60,133,360,133,465,266,135,266,30,133,315,0,210,266,210,0,330,266,240,266,195,0,315,133,240,266,120,688,213,0,435,266,390,0,135,680,227,133,150,133,435,266,15,133,345,0,375,133,300,0,180,0,510,266,420,133,330,0,105,266,270,682,259,266,300,0,270,266,255,1477310494
133,405,0,420,133,495,0,165,133,420,0,360,133,90,266,165,133,225,133,375,133,285,133,15,0,300,0,495,133,45,408,241,266,225,266,450,0,405,133,60,133,135,133,30,133,180,0,120,133,480,0,195,266,465,266,315,266,45,133,75,133,210,0,150,861,240,266,480,266,285,266,180,0,390,266,105,266,75,0,450,0,345,266,435,133,120,0,240,133,165,0,480,266,360,133,450,133,270,0,465,266,495,266,150,266,405,133,255,0,255,0,225,266,330,266,375,266,90,133,195,0,285,266,60,133,105,133,390,266,345,667,37,133,360,133,465,266,135,266,30,133,315,0,210,266,210,0,330,266,240,266,195,0,315,133,240,266,120,688,213,0,435,266,390,0,135,680,227,133,150,133,435,266,15,133,345,0,375,133,300,0,180,0,510,266,420,133,330,690,158,266,270,682,259,266,300,0,270,266,255,1477310509
133,405,0,420,133,495,83,130,133,420,0,360,133,90,266,165,133,225,133,375,133,285,133,15,0,300,0,495,133,45,408,241,266,225,266,450,0,405,133,60,133,135,133,30,133,180,656,370,133,480,0,195,266,465,266,315,266,45,133,75,133,210,717,164,861,240,266,480,266,285,266,180,0,390,266,105,266,75,0,450,0,345,266,435,133,120,0,240,133,165,0,480,266,360,133,450,133,270,0,465,266,495,266,150,266,405,133,255,0,255,0,225,266,330,266,375,266,90,133,195,0,285,266,60,133,105,133,390,266,345,667,37,133,360,133,465,266,135,266,30,133,315,0,210,266,210,0,330,266,240,266,195,0,315,133,240,266,120,688,213,0,435,266,390,666,150,680,227,133,150,133,435,266,15,133,345,0,375,133,300,0,180,0,510,266,420,133,330,690,162,266,270,682,259,266,300,0,270,266,255,1477310524
133,405,0,420,133,495,416,257,133,420,0,360,133,90,266,165,133,225,133,375,133,285,133,15,0,300,0,495,133,45,408,241,266,225,266,450,0,405,133,60,133,135,133,30,133,180,656,370,133,480,644,237,266,465,266,315,266,45,133,75,133,210,717,164,861,240,266,480,266,285,266,180,0,390,266,105,266,75,0,450,0,345,266,435,133,120,0,240,133,165,0,480,266,360,133,450,133,270,0,465,266,495,266,150,266,405,133,255,0,255,0,225,266,330,266,375,266,90,133,195,0,285,266,60,133,105,133,390,266,345,667,37,133,360,133,465,266,135,266,30,133,315,0,210,266,210,0,330,266,240,266,195,0,315,133,240,266,120,688,213,0,435,266,390,666,150,680,227,133,150,133,435,266,15,133,345,0,375,133,300,891,528,0,510,266,420,133,330,690,162,266,270,682,259,266,300,0,270,266,255,1477310539
133,405,0,420,133,495,416,257,133,420,0,360,133,90,266,165,133,225,133,375,133,285,133,15,0,300,0,495,133,45,408,241,266,225,266,450,0,405,133,60,133,135,133,30,133,180,656,370,133,480,662,239,266,465,266,315,266,45,133,75,133,210,717,164,861,240,266,480,266,285,266,180,0,390,266,105,266,75,0,450,0,345,266,435,133,120,0,240,133,165,0,480,266,360,133,450,133,270,0,465,266,495,266,150,266,405,133,255,0,255,949,279,266,330,266,375,266,90,133,195,0,285,266,60,133,105,133,390,266,345,667,37,133,360,133,465,266,135,266,30,133,315,586,353,266,210,0,330,266,240,266,195,0,315,133,240,266,120,688,213,0,435,266,390,666,150,680,227,133,150,133,435,266,15,133,345,0,375,133,300,891,528,0,510,266,420,133,330,690,162,266,270,682,259,266,300,0,270,266,255,1477310554
