133,(37-34)*15+15,266,(84-67)*15+15,266,(89-67)*15+15,133,(62-34)*15+15,266,(69-67)*15+15,0,18*15+15,266,(67-67)*15+15,133,(55-34)*15+15,266,(91-67)*15+15,266,(68-67)*15+15,133,(65-34)*15+15,266,(94-67)*15+15,133,(41-34)*15+15,266,(83-67)*15+15,266,(92-67)*15+15,133,(59-34)*15+15,133,(63-34)*15+15,133,(35-34)*15+15,133,(36-34)*15+15,133,(60-34)*15+15,0,14*15+15,133,(58-34)*15+15,0,28*15+15,0,27*15+15,266,(97-67)*15+15,0,13*15+15,266,(80-67)*15+15,266,(95-67)*15+15,133,(34-34)*15+15,0,6*15+15,0,17*15+15,133,(45-34)*15+15,0,22*15+15,0,4*15+15,266,(71-67)*15+15,266,(77-67)*15+15,0,30*15+15,0,12*15+15,0,8*15+15,266,(90-67)*15+15,266,(93-67)*15+15,266,(81-67)*15+15,133,(52-34)*15+15,0,10*15+15,266,(79-67)*15+15,133,(47-34)*15+15,133,(44-34)*15+15,133,(39-34)*15+15,266,(73-67)*15+15,133,(51-34)*15+15,266,(75-67)*15+15,0,31*15+15,266,(78-67)*15+15,0,32*15+15,0,26*15+15,133,(43-34)*15+15,0,23*15+15,133,(64-34)*15+15,266,(96-67)*15+15,133,(61-34)*15+15,0,33*15+15,0,25*15+15,133,(38-34)*15+15,0,0*15+15,0,20*15+15,266,(72-67)*15+15,266,(98-67)*15+15,0,19*15+15,0,3*15+15,133,(46-34)*15+15,266,(88-67)*15+15,0,2*15+15,133,(48-34)*15+15,133,(50-34)*15+15,0,21*15+15,0,5*15+15,133,(57-34)*15+15,266,(86-67)*15+15,133,(56-34)*15+15,133,(40-34)*15+15,0,15*15+15,133,(42-34)*15+15,266,(87-67)*15+15,133,(54-34)*15+15,0,16*15+15,0,11*15+15,0,24*15+15,266,(85-67)*15+15,266,(70-67)*15+15,0,7*15+15,266,(74-67)*15+15,133,(49-34)*15+15,0,9*15+15,266,(82-67)*15+15,133,(53-34)*15+15,266,(99-67)*15+15,133,(66-34)*15+15,266,(76-67)*15+15,0,29*15+15,0,1*15+15,1477321106
133,60,266,270,266,345,133,435,266,45,0,285,266,15,133,330,266,375,266,30,133,480,266,420,133,120,266,255,266,390,133,390,133,450,133,30,133,45,133,405,0,225,133,375,0,435,0,420,266,465,0,210,266,210,266,435,544,176,0,105,0,270,133,180,0,345,0,75,266,75,266,165,0,465,0,195,0,135,266,360,266,405,266,225,133,285,0,165,266,195,133,210,133,165,133,90,266,105,133,270,266,135,0,480,266,180,0,495,0,405,133,150,0,360,133,465,266,450,133,420,0,510,0,390,133,75,0,15,0,315,266,90,266,480,0,300,0,60,133,195,266,330,0,45,133,225,133,255,0,330,0,90,133,360,266,300,133,345,133,105,0,240,133,135,266,315,133,315,0,255,0,180,0,375,266,285,266,60,0,120,266,120,133,240,0,150,266,240,133,300,266,495,133,495,266,150,0,450,0,30,1477321122
133,60,266,270,266,345,133,435,266,45,0,285,266,15,133,330,266,375,266,30,133,480,266,420,627,108,266,255,266,390,133,390,133,450,133,30,133,45,133,405,0,225,133,375,0,435,0,420,299,457,0,210,266,210,266,435,678,116,0,105,0,270,133,180,0,345,0,75,266,75,266,165,0,465,0,195,0,135,266,360,266,405,266,225,133,285,0,165,266,195,133,210,133,165,133,90,266,105,133,270,266,135,0,480,266,180,0,495,0,405,494,527,0,360,133,465,266,450,133,420,0,510,0,390,133,75,0,15,0,315,266,90,266,480,0,300,0,60,133,195,266,330,0,45,133,225,133,255,0,330,0,90,133,360,266,300,133,345,133,105,0,240,622,132,266,315,133,315,0,255,0,180,0,375,266,285,266,60,0,120,266,120,133,240,0,150,266,240,133,300,266,495,133,495,266,150,0,450,0,30,1477321137
133,60,266,270,503,508,133,435,266,45,0,285,266,15,133,330,266,375,266,30,133,480,266,420,627,108,266,255,266,390,133,390,133,450,133,30,133,45,133,405,0,225,133,375,0,435,0,420,655,153,0,210,266,210,450,546,678,116,0,105,0,270,133,180,0,345,0,75,266,75,266,165,0,465,0,195,0,135,266,360,266,405,266,225,133,285,0,165,266,195,133,210,133,165,133,90,266,105,133,270,266,135,0,480,266,180,0,495,0,405,494,527,0,360,133,465,266,450,133,420,0,510,0,390,133,75,0,15,0,315,266,90,266,480,0,300,0,60,133,195,424,286,0,45,133,225,133,255,0,330,0,90,133,360,266,300,133,345,133,105,0,240,622,132,266,315,133,315,0,255,0,180,0,375,266,285,266,60,0,120,266,120,133,240,0,150,266,240,133,300,458,500,133,495,266,150,0,450,0,30,1477321152
133,60,266,270,503,508,133,435,266,45,0,285,266,15,133,330,496,546,266,30,133,480,727,116,627,108,266,255,445,528,133,390,133,450,133,30,133,45,133,405,0,225,133,375,0,435,0,420,655,153,0,210,266,210,450,546,678,116,0,105,0,270,133,180,0,345,0,75,266,75,266,165,0,465,0,195,0,135,266,360,702,91,266,225,133,285,0,165,266,195,133,210,133,165,133,90,266,105,133,270,266,135,0,480,266,180,0,495,0,405,494,527,0,360,133,465,266,450,133,420,0,510,0,390,133,75,0,15,0,315,266,90,266,480,0,300,0,60,133,195,424,286,0,45,133,225,133,255,0,330,0,90,133,360,266,300,133,345,133,105,0,240,622,132,266,315,133,315,0,255,0,180,0,375,266,285,266,60,0,120,266,120,133,240,0,150,266,240,133,300,733,350,133,495,266,150,0,450,0,30,1477321167
133,60,266,270,503,508,133,435,266,45,0,285,266,15,133,330,496,546,266,30,133,480,732,104,627,108,266,255,445,528,133,390,133,450,133,30,133,45,133,405,0,225,133,375,0,435,0,420,655,153,0,210,266,210,450,546,678,116,0,105,0,270,133,180,0,345,0,75,266,75,266,165,0,465,0,195,0,135,436,506,702,91,266,225,133,285,0,165,266,195,133,210,133,165,133,90,266,105,133,270,266,135,0,480,266,180,0,495,0,405,494,527,0,360,133,465,489,410,133,420,0,510,0,390,133,75,0,15,0,315,266,90,463,302,0,300,0,60,133,195,424,286,0,45,133,225,133,255,0,330,0,90,133,360,714,326,133,345,133,105,0,240,622,132,418,324,133,315,0,255,0,180,0,375,266,285,266,60,0,120,266,120,133,240,0,150,266,240,133,300,733,350,133,495,266,150,0,450,0,30,1477321182
133,60,480,490,503,508,133,435,266,45,0,285,266,15,133,330,496,546,266,30,133,480,732,104,627,108,708,136,445,528,133,390,133,450,133,30,133,45,133,405,0,225,133,375,0,435,0,420,655,153,0,210,266,210,450,546,678,116,0,105,0,270,133,180,0,345,0,75,266,75,266,165,0,465,0,195,0,135,436,506,702,91,266,225,133,285,0,165,266,195,133,210,133,165,133,90,266,105,133,270,266,135,0,480,266,180,0,495,0,405,494,527,0,360,133,465,707,377,133,420,0,510,0,390,133,75,0,15,0,315,266,90,463,302,0,300,0,60,133,195,424,286,0,45,133,225,133,255,0,330,0,90,133,360,714,326,133,345,133,105,0,240,622,132,418,324,133,315,0,255,0,180,0,375,479,458,266,60,0,120,266,120,133,240,0,150,756,335,133,300,733,350,133,495,266,150,0,450,0,30,1477321197
133,60,480,490,503,508,133,435,266,45,0,285,266,15,133,330,496,546,266,30,133,480,732,104,627,108,708,136,445,528,133,390,133,450,133,30,133,45,133,405,0,225,133,375,0,435,0,420,655,153,0,210,266,210,450,546,678,116,0,105,0,270,133,180,0,345,0,75,266,75,266,165,0,465,0,195,0,135,436,506,702,91,438,567,133,285,0,165,266,195,133,210,133,165,133,90,266,105,133,270,266,135,0,480,533,536,0,495,0,405,494,527,0,360,133,465,707,377,133,420,0,510,0,390,133,75,0,15,0,315,266,90,463,302,0,300,0,60,133,195,424,286,0,45,133,225,133,255,0,330,0,90,133,360,714,326,133,345,133,105,0,240,622,132,418,324,133,315,0,255,0,180,0,375,522,563,266,60,0,120,266,120,133,240,0,150,756,335,133,300,733,350,133,495,266,150,0,450,0,30,1477321212
133,60,480,490,503,508,133,435,266,45,0,285,266,15,133,330,496,546,266,30,133,480,732,104,627,108,708,136,445,528,133,390,133,450,133,30,133,45,133,405,0,225,133,375,0,435,0,420,655,153,0,210,428,474,450,546,678,116,0,105,0,270,133,180,0,345,0,75,266,75,711,483,0,465,0,195,0,135,436,506,702,91,438,567,133,285,0,165,681,344,133,210,133,165,133,90,266,105,133,270,266,135,0,480,533,536,0,495,0,405,494,527,0,360,133,465,707,377,133,420,0,510,0,390,133,75,0,15,0,315,266,90,463,302,0,300,0,60,133,195,424,286,0,45,133,225,133,255,0,330,0,90,133,360,714,326,133,345,133,105,0,240,622,132,418,324,133,315,0,255,0,180,0,375,522,563,266,60,0,120,536,503,133,240,0,150,756,335,133,300,733,350,133,495,266,150,0,450,0,30,1477321227
133,60,480,490,503,508,133,435,266,45,0,285,266,15,133,330,496,546,266,30,133,480,732,104,627,108,708,136,445,528,133,390,133,450,133,30,133,45,133,405,0,225,133,375,0,435,0,420,655,153,0,210,428,474,450,546,678,116,0,105,0,270,133,180,0,345,0,75,266,75,729,484,0,465,0,195,0,135,436,506,702,91,438,567,133,285,0,165,681,344,133,210,133,165,133,90,266,105,133,270,421,352,0,480,533,536,0,495,0,405,494,527,0,360,133,465,707,377,133,420,0,510,0,390,133,75,0,15,0,315,467,343,463,302,0,300,0,60,133,195,424,286,0,45,133,225,133,255,0,330,0,90,133,360,714,326,133,345,133,105,0,240,622,132,418,324,133,315,0,255,0,180,0,375,522,563,266,60,0,120,536,503,133,240,0,150,756,335,133,300,733,350,133,495,675,362,0,450,0,30,1477321242
133,60,480,490,503,508,133,435,266,45,0,285,266,15,133,330,496,546,266,30,133,480,732,104,627,108,708,136,445,528,133,390,133,450,133,30,133,45,133,405,0,225,133,375,0,435,0,420,655,153,0,210,428,474,450,546,678,116,0,105,0,270,133,180,0,345,0,75,515,484,729,484,0,465,0,195,0,135,436,506,702,91,438,567,133,285,0,165,681,344,133,210,133,165,133,90,266,105,133,270,421,352,0,480,533,536,0,495,0,405,494,527,0,360,133,465,707,377,133,420,0,510,0,390,586,553,0,15,0,315,467,343,463,302,0,300,0,60,133,195,424,286,0,45,133,225,133,255,0,330,0,90,133,360,714,326,133,345,133,105,0,240,622,132,418,324,133,315,0,255,0,180,0,375,522,563,266,60,0,120,536,503,133,240,0,150,756,335,133,300,733,350,133,495,675,362,0,450,0,30,1477321257
