BodilySensationStrength_mean,MindSensationStrength_mean,EmotionIntensity_mean,Controllability_mean,LastTime_mean,BodilySensationStrength_meanZ,MindSensationStrength_meanZ,EmotionIntensity_meanZ,Controllability_meanZ,LastTime_meanZ,BodilySensationStrength_median,MindSensationStrength_median,EmotionIntensity_median,Controllability_median,LastTime_median,BodilySensationStrength_medianZ,MindSensationStrength_medianZ,EmotionIntensity_medianZ,Controllability_medianZ,LastTime_medianZ,Sensations
0.706111111111111,0.922466666666667,-0.719466666666667,-0.392,-0.182244444444444,1.30974798650387,2.45897240999612,-1.28561612294342,-0.655946076025163,-0.178122319233777,0.848,0.956,-0.812,-0.442,-0.373,1.24903235915632,1.89723360833825,-1.13290025226532,-0.474935001605023,-0.391907962390114,Sadness
0.71834693877551,0.864612244897959,-0.735428571428571,0.194632653061224,-0.0973061224489796,1.20197974983227,1.78278637175535,-1.26369966994976,0.246688283045677,0.12256919169271,0.745,0.922,-0.813,0.2,-0.236,0.961626907342593,1.60237053032182,-1.13616162602356,0.202736026338998,-0.240560393561468,Anger
0.593888888888889,0.869833333333333,0.908574074074074,0.403518518518518,-0.696666666666667,1.04359038746888,2.14049117773346,2.12728672753424,0.492581990616883,-1.14412976655156,0.697,0.944,0.954,0.476,-0.766,0.861571440875782,1.77357564714261,1.87449621805681,0.517799660419688,-1.0105756329031,Happiness
0.7154,0.83864,-0.76692,-0.13896,-0.16816,1.21935556720097,1.63403405784683,-1.52684015371349,-0.229645658574307,-0.0666408996056091,0.815,0.93,-0.927,-0.05,-0.274,1.14232868762743,1.65839001992478,-1.63705208269723,-0.0500467548789001,-0.281183410653657,Fear
0.171204545454545,0.663727272727273,0.145636363636364,-0.417727272727273,-0.390522727272727,0.438082467106379,1.08121736392642,0.202669560346431,-0.604539147020375,-0.485071124444807,0.252,0.742,0.014,-0.521,-0.473,0.257565677716725,0.954929480295602,0.0140009147742463,-0.577735887408753,-0.513934998516498,Surprise
0.491905882352941,0.691858823529412,-0.743435294117647,-0.201011764705882,-0.195788235294118,0.926054043612793,1.13027421053033,-1.35055179058403,-0.298874758650798,-0.17930694096289,0.584,0.756,-0.864,-0.176,-0.296,0.668511656056554,0.98681277445093,-1.30891255475474,-0.17785179927455,-0.305129760377089,Disgust
0.187078651685393,0.692808988764045,0.373797752808989,0.297258426966292,-0.282067415730337,0.253943929183126,1.39486631490569,0.586317702726755,0.415190705007814,-0.346838045163128,0.336,0.82,0.474,0.336,-0.424,0.349576602310078,1.15681746459031,0.515216930005786,0.349576602310078,-0.452558715638015,Pride
0.335657894736842,0.839315789473684,0.800315789473684,0.458184210526316,-0.623052631578948,0.711127230486211,2.31109035515434,1.80504954026594,0.656055768578573,-0.933927430279834,0.495,0.95,0.918,0.565,-0.732,0.542731884401849,1.83178082306482,1.57630799750886,0.640148755051641,-0.933240086674884,Gratefulness
0.551913043478261,0.827760869565218,-0.260239130434783,-0.0755,-0.377369565217391,0.899949727826142,1.54502156608679,-0.376191875755594,-0.140528167225792,-0.579280181622831,0.692,0.9,-0.328,0.02,-0.456,0.851793570924386,1.47472514824292,-0.340587142166072,0.020003387909168,-0.492249490950345,Longing for
0.263377777777778,0.7814,-0.7568,0.0654666666666667,0.158888888888889,0.413646527115998,1.67441226779419,-1.36299109298721,0.257353745065105,0.562571515126238,0.455,0.885,-0.85,0.056,0.077,0.491075267172148,1.39839431970721,-1.25632948426666,0.0560586490603528,0.0771939638778949,Despise
