BodilySensationStrength,MindSensationStrength,EmotionIntensity,Controllability,LastTime,sensations
0.706111111111111,0.922466666666667,-0.719466666666667,-0.392,-0.182244444444444,Sadness
0.71834693877551,0.864612244897959,-0.735428571428571,0.194632653061224,-0.0973061224489796,Anger
0.593888888888889,0.869833333333333,0.908574074074074,0.403518518518518,-0.696666666666667,Happiness
0.7154,0.83864,-0.76692,-0.13896,-0.16816,Fear
0.171204545454545,0.663727272727273,0.145636363636364,-0.417727272727273,-0.390522727272727,Surprise
0.491905882352941,0.691858823529412,-0.743435294117647,-0.201011764705882,-0.195788235294118,Disgust
0.187078651685393,0.692808988764045,0.373797752808989,0.297258426966292,-0.282067415730337,Pride
0.335657894736842,0.839315789473684,0.800315789473684,0.458184210526316,-0.623052631578948,Gratefulness
0.551913043478261,0.827760869565218,-0.260239130434783,-0.0755,-0.377369565217391,Longing for
0.263377777777778,0.7814,-0.7568,0.0654666666666667,0.158888888888889,Despise
0.390976744186046,0.829790697674418,-0.78553488372093,-0.0543255813953488,0.0824651162790698,Despair
0.492038461538462,0.837615384615385,-0.812480769230769,-0.0480961538461538,-0.0389038461538461,Shame
0.419410526315789,0.851178947368421,-0.786547368421053,0.202105263157895,-0.248778947368421,Guilt
0.392582524271845,0.786504854368932,-0.709436893203883,-0.0846407766990291,-0.35368932038835,Disappointment
0.661886363636364,0.854931818181818,0.83275,0.434295454545454,-0.669022727272727,Pleasure
0.757494252873563,0.79335632183908,-0.512574712643678,-0.0315402298850575,-0.417931034482759,Nervousness
0.447078431372549,0.743862745098039,0.710294117647059,0.313274509803922,-0.133294117647059,Winning
0.208988235294118,0.532470588235294,-0.528447058823529,0.117647058823529,-0.101035294117647,Losing
0.4907,0.8589,0.86018,0.45994,-0.52206,Succeeding
0.512086021505376,0.798086021505376,-0.738193548387097,0.153720430107527,-0.210623655913979,Failing
0.420428571428572,0.789410714285714,0.274642857142857,0.268178571428571,-0.593321428571428,Wanting
0.522913043478261,0.753673913043478,0.357782608695652,0.253282608695652,-0.384543478260869,Craving
0.0922222222222223,0.609177777777778,-0.214511111111111,0.00933333333333332,-0.554977777777778,Waiting
0.338868686868687,0.716222222222222,-0.124565656565657,0.620181818181818,-0.532242424242424,Inhibiting
0.601546391752577,0.819216494845361,-0.306082474226804,0.0788659793814433,-0.352824742268041,Social longing
0.2502,0.5456,0.394244444444444,0.738488888888889,-0.901355555555555,Speaking
0.793877551020408,0.819755102040816,0.863204081632653,0.49034693877551,-0.716204081632653,Laughing
0.729258426966292,0.898876404494382,0.876876404494382,0.161438202247191,-0.477303370786517,Love
0.220914893617021,0.791191489361702,-0.729787234042553,0.062,-0.124446808510638,Social exclusion
0.372021739130435,0.764282608695652,0.801152173913043,0.342565217391304,-0.547369565217391,Togetherness
0.270963855421687,0.716313253012048,-0.566650602409639,0.282650602409638,0.0663373493975904,Loneliness
0.386489361702128,0.788255319148936,-0.795957446808511,-0.311297872340425,0.135765957446809,Ostracism
0.737085106382979,0.851595744680851,0.837893617021277,0.504212765957447,-0.600489361702127,Closeness (in social relations)
0.500849056603773,0.81922641509434,-0.755905660377359,0.304283018867925,-0.148603773584906,Hostility
0.344,0.807046511627907,0.406395348837209,0.351348837209302,-0.622627906976744,Sympathy
0.736285714285714,0.887642857142857,-0.81547619047619,-0.0686190476190476,-0.336857142857143,Anxiety
0.773775280898877,0.870179775280899,-0.830651685393258,-0.164314606741573,0.281303370786517,Panic
0.715581818181818,0.850236363636363,-0.632272727272727,0.122163636363636,-0.551436363636364,Stress
0.569237113402062,0.878474226804124,-0.80059793814433,-0.156,0.118494845360825,Depression
0.442833333333333,0.626880952380952,-0.234023809523809,-0.0897142857142857,0.596785714285714,Mania
0.71422,0.52088,0.63134,0.75956,-0.87248,Eating
0.547738095238095,0.195166666666667,0.411,0.6655,-0.794095238095238,Drinking
0.73319587628866,0.566865979381443,-0.484453608247423,0.603278350515464,-0.682226804123711,Hunger
0.796390804597701,0.474344827586207,0.492206896551724,0.705724137931035,-0.751494252873563,Satiation
0.670348837209302,0.281232558139535,-0.545860465116279,0.653162790697674,-0.576162790697674,Thirst
0.724653465346534,-0.0344752475247525,-0.298356435643564,0.0331287128712871,-0.633009900990099,Sweating
0.578925,-0.12135,0.312525,0.350375,-0.87245,Urinating
0.695747368421053,-0.104,0.211263157894737,0.120357894736842,-0.763915789473684,Defecation
0.80722,0.8217,-0.496,0.28218,-0.65796,Tiredness
0.758969072164948,0.821134020618557,0.687628865979381,0.431051546391753,-0.620061855670103,Vitality
0.838361702127659,0.817893617021276,-0.665659574468085,0.0940212765957446,-0.391446808510638,Exhaustion
0.365090909090909,-0.295727272727273,0.3315,0.0596136363636363,-0.956045454545455,Breathing
0.423364705882353,-0.220729411764706,0.163811764705882,-0.440376470588235,-0.825435294117647,Heartbeat
0.734333333333334,0.753755555555556,0.0387333333333333,0.797111111111111,0.0284,Drunkenness
0.800913043478261,0.781913043478261,0.740913043478261,0.519391304347826,-0.527260869565217,Sexual arousal
0.888924731182795,0.782903225806451,0.894301075268816,0.63705376344086,-0.453784946236559,Orgasm
0.766645833333333,0.328645833333333,-0.643166666666667,-0.374479166666667,0.131020833333333,Shivering
0.778329896907217,0.663731958762887,-0.698721649484536,0.750268041237114,0.328247422680412,Hangover
0.599981651376146,-0.021651376146789,-0.662238532110092,0.102697247706422,0.237376146788991,Heartburn
0.828433734939759,0.647228915662651,-0.823132530120482,-0.265132530120482,0.751469879518072,Suffocation
