266,(76-67)*15+15,0,15*15+15,133,(64-34)*15+15,0,24*15+15,0,5*15+15,0,20*15+15,133,(51-34)*15+15,266,(98-67)*15+15,133,(35-34)*15+15,0,17*15+15,266,(69-67)*15+15,0,1*15+15,0,31*15+15,0,12*15+15,266,(72-67)*15+15,266,(95-67)*15+15,266,(79-67)*15+15,133,(56-34)*15+15,133,(54-34)*15+15,0,3*15+15,133,(45-34)*15+15,133,(52-34)*15+15,133,(66-34)*15+15,133,(55-34)*15+15,133,(47-34)*15+15,133,(60-34)*15+15,266,(70-67)*15+15,266,(71-67)*15+15,266,(85-67)*15+15,266,(81-67)*15+15,133,(39-34)*15+15,133,(53-34)*15+15,0,27*15+15,266,(97-67)*15+15,133,(46-34)*15+15,266,(82-67)*15+15,133,(61-34)*15+15,266,(84-67)*15+15,0,14*15+15,266,(92-67)*15+15,266,(89-67)*15+15,133,(40-34)*15+15,0,2*15+15,0,30*15+15,133,(43-34)*15+15,266,(68-67)*15+15,266,(88-67)*15+15,133,(38-34)*15+15,133,(57-34)*15+15,133,(37-34)*15+15,0,8*15+15,0,29*15+15,266,(83-67)*15+15,133,(62-34)*15+15,0,13*15+15,133,(63-34)*15+15,133,(58-34)*15+15,266,(99-67)*15+15,266,(96-67)*15+15,0,10*15+15,266,(91-67)*15+15,133,(36-34)*15+15,0,4*15+15,0,7*15+15,0,19*15+15,0,18*15+15,266,(67-67)*15+15,0,22*15+15,133,(65-34)*15+15,266,(80-67)*15+15,133,(41-34)*15+15,266,(75-67)*15+15,0,0*15+15,133,(48-34)*15+15,133,(59-34)*15+15,266,(77-67)*15+15,266,(86-67)*15+15,0,11*15+15,133,(49-34)*15+15,0,16*15+15,0,28*15+15,0,6*15+15,0,25*15+15,0,21*15+15,133,(44-34)*15+15,0,33*15+15,133,(50-34)*15+15,133,(34-34)*15+15,133,(42-34)*15+15,266,(87-67)*15+15,0,9*15+15,0,23*15+15,0,26*15+15,266,(94-67)*15+15,266,(74-67)*15+15,266,(93-67)*15+15,0,32*15+15,266,(90-67)*15+15,266,(73-67)*15+15,266,(78-67)*15+15,1466229968
772,101,0,240,133,465,0,375,0,90,0,315,133,270,592,94,133,30,0,270,266,45,956,494,0,480,0,195,513,86,266,435,474,118,133,345,133,315,817,503,133,180,133,285,133,495,133,330,133,210,133,405,475,56,679,113,266,285,540,104,133,90,133,300,0,420,750,545,133,195,790,468,133,420,749,485,0,225,754,505,266,345,133,105,0,45,0,465,133,150,266,30,266,330,133,75,133,360,133,60,0,135,0,450,266,255,133,435,0,210,133,450,133,375,266,495,266,450,0,165,490,192,133,45,596,266,0,120,0,300,0,285,266,15,0,345,133,480,537,283,133,120,266,135,0,15,133,225,133,390,266,165,266,300,0,180,133,240,0,255,0,435,0,105,0,390,0,330,133,165,0,510,133,255,133,15,133,135,266,315,0,150,0,360,0,405,266,420,841,131,266,405,0,495,266,360,266,105,455,146,1466230191
772,101,0,240,133,465,0,375,0,90,0,315,133,270,592,94,133,30,0,270,266,45,956,494,0,480,0,195,513,86,266,435,474,118,133,345,133,315,817,503,133,180,133,285,133,495,133,330,133,210,133,405,475,56,679,113,731,381,540,104,133,90,133,300,0,420,750,545,133,195,790,468,133,420,749,485,0,225,754,505,266,345,133,105,0,45,0,465,133,150,266,30,266,330,133,75,133,360,133,60,0,135,0,450,266,255,133,435,0,210,133,450,133,375,266,495,266,450,0,165,490,192,133,45,596,266,0,120,0,300,0,285,266,15,0,345,133,480,537,283,133,120,266,135,0,15,133,225,133,390,266,165,266,300,0,180,133,240,0,255,0,435,0,105,0,390,0,330,133,165,0,510,133,255,133,15,133,135,619,191,0,150,0,360,0,405,266,420,841,131,266,405,0,495,266,360,266,105,455,146,1466230206
772,101,0,240,133,465,0,375,0,90,0,315,133,270,592,94,133,30,0,270,266,45,956,494,0,480,0,195,513,86,630,358,474,118,133,345,133,315,817,503,133,180,133,285,133,495,133,330,133,210,133,405,475,56,679,113,731,381,540,104,133,90,133,300,0,420,750,545,133,195,790,468,133,420,749,485,0,225,754,505,266,345,133,105,0,45,0,465,133,150,266,30,266,330,133,75,133,360,133,60,0,135,0,450,266,255,133,435,0,210,133,450,133,375,431,444,266,450,0,165,490,192,133,45,596,266,0,120,0,300,0,285,266,15,0,345,133,480,537,283,133,120,266,135,0,15,133,225,133,390,266,165,266,300,0,180,133,240,0,255,0,435,0,105,0,390,0,330,133,165,0,510,133,255,133,15,133,135,619,191,0,150,0,360,0,405,266,420,841,131,266,405,0,495,266,360,266,105,455,146,1466230221
772,101,0,240,133,465,0,375,0,90,0,315,133,270,592,94,133,30,0,270,266,45,956,494,0,480,0,195,513,86,630,358,474,118,133,345,133,315,817,503,133,180,133,285,133,495,133,330,133,210,133,405,475,56,679,113,731,381,540,104,133,90,133,300,0,420,750,545,133,195,790,468,133,420,749,485,0,225,754,505,266,345,133,105,0,45,0,465,133,150,266,30,435,465,133,75,133,360,133,60,0,135,0,450,266,255,133,435,0,210,133,450,133,375,417,520,435,494,0,165,490,192,133,45,596,266,0,120,0,300,0,285,266,15,0,345,133,480,537,283,133,120,266,135,0,15,133,225,133,390,266,165,266,300,0,180,133,240,0,255,0,435,0,105,0,390,0,330,133,165,0,510,133,255,133,15,133,135,619,191,0,150,0,360,0,405,266,420,841,131,266,405,0,495,266,360,266,105,455,146,1466230236
772,101,0,240,133,465,0,375,0,90,913,396,133,270,592,94,133,30,0,270,266,45,956,494,0,480,0,195,513,86,630,358,474,118,133,345,133,315,817,503,133,180,133,285,133,495,133,330,133,210,133,405,475,56,679,113,731,381,540,104,133,90,133,300,0,420,750,545,133,195,790,468,133,420,749,485,0,225,754,505,266,345,133,105,0,45,0,465,133,150,266,30,435,465,133,75,133,360,133,60,0,135,0,450,266,255,133,435,0,210,135,460,133,375,417,520,435,494,0,165,490,192,133,45,596,266,0,120,0,300,0,285,266,15,0,345,133,480,537,283,133,120,266,135,0,15,133,225,133,390,266,165,266,300,0,180,133,240,0,255,0,435,0,105,0,390,0,330,133,165,0,510,133,255,133,15,133,135,619,191,0,150,0,360,0,405,266,420,841,131,266,405,0,495,266,360,266,105,455,146,1466230251
772,101,0,240,133,465,0,375,0,90,913,396,133,270,592,94,133,30,0,270,266,45,956,494,0,480,0,195,513,86,630,358,474,118,133,345,133,315,817,503,133,180,133,285,133,495,133,330,133,210,133,405,475,56,679,113,731,381,540,104,133,90,133,300,576,131,750,545,133,195,790,468,133,420,749,485,0,225,754,505,266,345,133,105,0,45,0,465,133,150,266,30,435,465,133,75,133,360,133,60,0,135,0,450,266,255,433,174,0,210,135,460,133,375,417,520,435,494,0,165,490,192,133,45,596,266,0,120,0,300,0,285,266,15,0,345,133,480,537,283,133,120,266,135,0,15,133,225,133,390,266,165,266,300,0,180,133,240,0,255,0,435,0,105,0,390,0,330,133,165,0,510,133,255,133,15,133,135,619,191,0,150,0,360,0,405,266,420,841,131,266,405,0,495,266,360,266,105,455,146,1466230266
772,101,0,240,133,465,0,375,0,90,913,396,133,270,592,94,133,30,0,270,266,45,956,494,0,480,0,195,513,86,630,358,474,118,133,345,133,315,817,503,133,180,133,285,133,495,133,330,133,210,133,405,475,56,679,113,731,381,540,104,133,90,133,300,576,131,750,545,133,195,790,468,133,420,749,485,0,225,754,505,266,345,133,105,0,45,0,465,133,150,266,30,435,465,133,75,133,360,133,60,0,135,0,450,266,255,433,174,0,210,621,57,133,375,417,520,435,494,0,165,490,192,133,45,596,266,0,120,0,300,0,285,266,15,0,345,133,480,537,283,133,120,266,135,0,15,133,225,133,390,266,165,266,300,0,180,133,240,0,255,0,435,0,105,0,390,0,330,133,165,0,510,133,255,133,15,133,135,619,191,0,150,0,360,0,405,266,420,841,131,266,405,0,495,266,360,266,105,455,146,1466230281
772,101,0,240,133,465,0,375,0,90,913,396,133,270,592,94,133,30,0,270,266,45,956,494,0,480,0,195,513,86,630,358,474,118,133,345,133,315,817,503,133,180,133,285,133,495,133,330,133,210,133,405,475,56,679,113,731,381,540,104,133,90,133,300,576,131,750,545,133,195,790,468,133,420,749,485,0,225,754,505,427,332,133,105,0,45,0,465,133,150,266,30,435,465,133,75,133,360,133,60,0,135,0,450,266,255,433,174,0,210,621,57,652,420,417,520,435,494,0,165,490,192,133,45,596,266,0,120,0,300,0,285,266,15,0,345,133,480,537,283,133,120,266,135,0,15,133,225,133,390,266,165,266,300,0,180,133,240,0,255,0,435,0,105,0,390,0,330,133,165,0,510,133,255,133,15,133,135,619,191,0,150,0,360,0,405,266,420,841,131,266,405,0,495,266,360,266,105,455,146,1466230296
772,101,0,240,133,465,0,375,0,90,913,396,133,270,592,94,133,30,0,270,266,45,956,494,0,480,0,195,513,86,630,358,474,118,133,345,133,315,817,503,133,180,133,285,133,495,133,330,133,210,133,405,475,56,679,113,731,381,540,104,133,90,133,300,576,131,750,545,133,195,790,468,133,420,749,485,0,225,754,505,427,332,133,105,0,45,0,465,133,150,266,30,435,465,133,75,133,360,133,60,0,135,0,450,266,255,433,174,0,210,621,57,652,420,417,520,435,494,0,165,490,192,133,45,596,266,0,120,0,300,0,285,266,15,0,345,133,480,537,283,133,120,266,135,0,15,133,225,132,380,266,165,274,297,0,180,133,240,0,255,0,435,0,105,0,390,0,330,133,165,0,510,133,255,133,15,133,135,619,191,0,150,0,360,0,405,266,420,841,131,266,405,0,495,266,360,266,105,455,146,1466230311
772,101,0,240,133,465,0,375,0,90,913,396,133,270,592,94,133,30,0,270,266,45,956,494,0,480,0,195,513,86,630,358,474,118,133,345,133,315,817,503,133,180,133,285,133,495,133,330,133,210,498,243,475,56,679,113,731,381,540,104,133,90,133,300,576,131,750,545,133,195,790,468,133,420,749,485,0,225,754,505,427,332,133,105,0,45,0,465,133,150,266,30,435,465,133,75,494,322,133,60,0,135,0,450,266,255,433,174,0,210,621,57,652,420,417,520,435,494,0,165,490,192,133,45,596,266,0,120,0,300,0,285,266,15,0,345,133,480,537,283,133,120,266,135,0,15,133,225,132,380,266,165,274,297,0,180,133,240,0,255,0,435,0,105,0,390,0,330,133,165,0,510,133,255,133,15,133,135,619,191,0,150,0,360,0,405,266,420,841,131,266,405,0,495,266,360,266,105,455,146,1466230326
772,101,0,240,133,465,0,375,0,90,913,396,133,270,592,94,133,30,0,270,266,45,956,494,0,480,0,195,513,86,630,358,474,118,133,345,133,315,817,503,133,180,133,285,133,495,133,330,133,210,498,243,475,56,679,113,731,381,540,104,133,90,133,300,576,131,750,545,133,195,790,468,133,420,749,485,0,225,754,505,427,332,133,105,0,45,0,465,133,150,266,30,435,465,133,75,494,322,133,60,0,135,0,450,266,255,433,174,0,210,621,57,652,420,417,520,435,494,0,165,490,192,133,45,596,266,0,120,0,300,0,285,266,15,0,345,562,217,537,283,133,120,266,135,0,15,133,225,132,380,266,165,274,297,0,180,133,240,0,255,0,435,0,105,0,390,0,330,133,165,0,510,133,255,133,15,133,135,619,191,0,150,0,360,0,405,266,420,841,131,266,405,0,495,567,336,266,105,455,146,1466230341
772,101,0,240,133,465,0,375,0,90,913,396,133,270,592,94,133,30,0,270,266,45,956,494,0,480,0,195,513,86,630,358,474,118,133,345,133,315,817,503,133,180,133,285,133,495,133,330,133,210,498,243,475,56,679,113,731,381,540,104,133,90,133,300,576,131,750,545,133,195,790,468,133,420,749,485,0,225,754,505,427,332,133,105,0,45,0,465,133,150,266,30,435,465,133,75,494,322,133,60,0,135,0,450,595,308,433,174,0,210,621,57,652,420,417,520,435,494,0,165,490,192,133,45,596,266,0,120,0,300,0,285,266,15,0,345,575,222,537,283,133,120,266,135,0,15,133,225,132,380,266,165,274,297,0,180,133,240,0,255,0,435,0,105,0,390,0,330,133,165,0,510,133,255,133,15,133,135,619,191,0,150,0,360,0,405,266,420,841,131,266,405,0,495,567,336,266,105,455,146,1466230356
772,101,0,240,558,68,0,375,0,90,913,396,133,270,592,94,133,30,0,270,266,45,956,494,0,480,0,195,513,86,630,358,474,118,133,345,133,315,817,503,133,180,133,285,133,495,133,330,133,210,498,243,475,56,679,113,731,381,540,104,133,90,892,452,576,131,750,545,133,195,790,468,133,420,749,485,0,225,754,505,427,332,133,105,0,45,0,465,133,150,266,30,435,465,133,75,494,322,133,60,0,135,0,450,595,308,433,174,0,210,621,57,652,420,417,520,435,494,0,165,490,192,133,45,596,266,0,120,0,300,0,285,266,15,0,345,575,222,537,283,133,120,266,135,0,15,133,225,132,380,266,165,274,297,0,180,133,240,0,255,0,435,0,105,0,390,0,330,133,165,0,510,133,255,133,15,133,135,619,191,0,150,0,360,0,405,266,420,841,131,266,405,0,495,567,336,266,105,455,146,1466230371
772,101,0,240,558,68,0,375,0,90,913,396,133,270,592,94,133,30,0,270,266,45,956,494,0,480,0,195,513,86,630,358,474,118,133,345,133,315,817,503,133,180,133,285,133,495,133,330,133,210,498,243,475,56,679,113,731,381,540,104,133,90,892,452,576,131,750,545,133,195,790,468,133,420,749,485,0,225,754,505,427,332,133,105,0,45,0,465,133,150,402,161,435,465,133,75,494,322,133,60,0,135,0,450,595,308,433,174,0,210,621,57,652,420,417,520,435,494,0,165,490,192,133,45,596,266,0,120,0,300,0,285,266,15,0,345,575,222,537,283,133,120,678,232,0,15,133,225,132,380,676,277,274,297,0,180,133,240,0,255,0,435,0,105,0,390,0,330,133,165,0,510,133,255,133,15,133,135,619,191,0,150,0,360,0,405,266,420,841,131,266,405,0,495,567,336,266,105,455,146,1466230386
772,101,0,240,558,68,0,375,0,90,913,396,133,270,592,94,133,30,0,270,266,45,956,494,0,480,0,195,513,86,630,358,474,118,133,345,133,315,817,503,133,180,133,285,133,495,133,330,133,210,498,243,475,56,679,113,731,381,540,104,133,90,892,452,576,131,750,545,133,195,790,468,133,420,749,485,0,225,754,505,427,332,133,105,0,45,0,465,133,150,496,396,435,465,133,75,494,322,133,60,0,135,0,450,595,308,433,174,0,210,621,57,652,420,417,520,435,494,0,165,490,192,133,45,596,266,0,120,0,300,0,285,266,15,0,345,575,222,537,283,133,120,678,232,0,15,133,225,132,380,676,277,274,297,0,180,133,240,0,255,0,435,0,105,0,390,0,330,133,165,0,510,133,255,133,15,133,135,619,191,0,150,0,360,0,405,266,420,841,131,266,405,0,495,567,336,266,105,455,146,1466230401
772,101,0,240,558,68,0,375,0,90,913,396,133,270,592,94,133,30,0,270,266,45,956,494,0,480,0,195,513,86,630,358,474,118,133,345,133,315,817,503,133,180,133,285,133,495,133,330,133,210,498,243,475,56,679,113,731,381,540,104,133,90,892,452,576,131,750,545,133,195,790,468,133,420,749,485,0,225,754,505,427,332,133,105,0,45,0,465,133,150,496,396,435,465,133,75,494,322,133,60,0,135,0,450,595,308,433,174,0,210,621,57,652,420,417,520,435,494,0,165,490,192,133,45,596,266,0,120,0,300,0,285,266,15,0,345,575,222,537,283,133,120,678,232,0,15,133,225,132,380,676,277,274,297,0,180,133,240,0,255,0,435,0,105,0,390,0,330,133,165,0,510,133,255,133,15,133,135,619,191,0,150,0,360,0,405,266,420,841,131,266,405,0,495,567,336,266,105,455,146,1466230416
772,101,0,240,558,68,0,375,0,90,913,396,133,270,592,94,133,30,0,270,266,45,956,494,0,480,0,195,513,86,630,358,474,118,133,345,133,315,817,503,133,180,133,285,133,495,133,330,133,210,498,243,475,56,679,113,731,381,540,104,133,90,892,452,576,131,750,545,133,195,790,468,133,420,749,485,0,225,754,505,427,332,133,105,0,45,0,465,133,150,496,396,435,465,133,75,494,322,133,60,0,135,0,450,595,308,433,174,0,210,621,57,652,420,417,520,435,494,0,165,490,192,133,45,596,266,0,120,0,300,0,285,266,15,0,345,575,222,537,283,133,120,678,232,0,15,133,225,132,380,676,277,274,297,0,180,133,240,0,255,0,435,0,105,0,390,0,330,133,165,0,510,133,255,133,15,133,135,619,191,0,150,0,360,0,405,266,420,841,131,266,405,0,495,567,336,266,105,455,146,1466230431
772,101,0,240,558,68,0,375,0,90,913,396,133,270,592,94,133,30,0,270,266,45,956,494,0,480,0,195,513,86,630,358,474,118,133,345,133,315,817,503,133,180,133,285,133,495,133,330,133,210,498,243,475,56,679,113,731,381,540,104,133,90,892,452,576,131,750,545,133,195,790,468,133,420,749,485,0,225,754,505,427,332,133,105,0,45,0,465,133,150,496,396,435,465,133,75,494,322,133,60,0,135,0,450,595,308,433,174,0,210,621,57,652,420,417,520,435,494,0,165,490,192,133,45,596,266,0,120,0,300,0,285,266,15,0,345,575,222,537,283,133,120,678,232,0,15,133,225,132,380,676,277,274,297,0,180,133,240,0,255,0,435,0,105,0,390,0,330,133,165,0,510,133,255,133,15,133,135,619,191,0,150,0,360,0,405,266,420,841,131,266,405,0,495,567,336,266,105,455,146,1466230446
