133,(41-34)*15+15,0,26*15+15,266,(73-67)*15+15,266,(78-67)*15+15,0,25*15+15,0,10*15+15,133,(55-34)*15+15,266,(81-67)*15+15,266,(82-67)*15+15,133,(45-34)*15+15,0,24*15+15,266,(98-67)*15+15,266,(77-67)*15+15,266,(68-67)*15+15,133,(48-34)*15+15,266,(92-67)*15+15,0,12*15+15,0,30*15+15,133,(40-34)*15+15,0,33*15+15,266,(74-67)*15+15,133,(64-34)*15+15,0,15*15+15,133,(62-34)*15+15,133,(59-34)*15+15,266,(83-67)*15+15,0,16*15+15,266,(85-67)*15+15,0,31*15+15,133,(54-34)*15+15,133,(38-34)*15+15,133,(49-34)*15+15,133,(61-34)*15+15,133,(65-34)*15+15,133,(56-34)*15+15,133,(39-34)*15+15,133,(36-34)*15+15,266,(84-67)*15+15,0,23*15+15,0,28*15+15,266,(89-67)*15+15,266,(80-67)*15+15,133,(58-34)*15+15,266,(95-67)*15+15,266,(91-67)*15+15,0,9*15+15,0,17*15+15,266,(72-67)*15+15,0,3*15+15,266,(69-67)*15+15,133,(63-34)*15+15,133,(50-34)*15+15,0,32*15+15,266,(96-67)*15+15,0,21*15+15,0,29*15+15,0,6*15+15,133,(51-34)*15+15,133,(44-34)*15+15,0,1*15+15,0,2*15+15,0,22*15+15,266,(90-67)*15+15,133,(57-34)*15+15,266,(70-67)*15+15,133,(42-34)*15+15,266,(76-67)*15+15,0,19*15+15,133,(46-34)*15+15,266,(93-67)*15+15,0,27*15+15,133,(37-34)*15+15,133,(60-34)*15+15,266,(79-67)*15+15,266,(71-67)*15+15,0,18*15+15,0,11*15+15,133,(53-34)*15+15,0,4*15+15,0,7*15+15,0,5*15+15,133,(52-34)*15+15,133,(47-34)*15+15,266,(87-67)*15+15,0,20*15+15,133,(43-34)*15+15,133,(66-34)*15+15,0,8*15+15,266,(75-67)*15+15,133,(35-34)*15+15,0,0*15+15,0,13*15+15,266,(86-67)*15+15,133,(34-34)*15+15,266,(97-67)*15+15,266,(99-67)*15+15,266,(94-67)*15+15,266,(67-67)*15+15,266,(88-67)*15+15,0,14*15+15,1483357381
133,120,0,405,266,105,266,180,0,390,0,165,133,330,266,225,266,240,133,180,0,375,266,480,266,165,266,30,133,225,266,390,0,195,0,465,133,105,0,510,266,120,133,465,0,240,133,435,133,390,266,255,0,255,266,285,0,480,133,315,133,75,133,240,133,420,133,480,133,345,133,90,133,45,266,270,0,360,0,435,266,345,266,210,133,375,266,435,266,375,0,150,0,270,266,90,0,60,266,45,133,450,133,255,0,495,266,450,0,330,0,450,0,105,133,270,133,165,0,30,0,45,0,345,266,360,133,360,266,60,133,135,266,150,0,300,133,195,266,405,0,420,133,60,133,405,266,195,266,75,0,285,0,180,133,300,0,75,0,120,0,90,133,285,133,210,266,315,0,315,133,150,133,495,0,135,266,135,133,30,442,62,0,210,266,300,133,15,266,465,266,495,266,420,266,15,266,330,0,225,1483357399
133,120,0,405,266,105,266,180,0,390,0,165,133,330,266,225,266,240,133,180,0,375,266,480,266,165,266,30,133,225,266,390,0,195,0,465,133,105,0,510,266,120,133,465,0,240,133,435,133,390,266,255,0,255,266,285,0,480,133,315,133,75,133,240,133,420,133,480,133,345,133,90,133,45,266,270,0,360,0,435,266,345,266,210,133,375,266,435,266,375,0,150,0,270,266,90,0,60,266,45,133,450,133,255,0,495,266,450,0,330,0,450,0,105,133,270,133,165,817,463,855,101,0,345,266,360,133,360,266,60,133,135,266,150,0,300,133,195,266,405,0,420,133,60,133,405,266,195,266,75,0,285,0,180,133,300,0,75,0,120,0,90,133,285,133,210,266,315,0,315,133,150,133,495,0,135,266,135,133,30,442,62,0,210,266,300,133,15,266,465,266,495,266,420,266,15,266,330,0,225,1483357414
133,120,0,405,266,105,266,180,0,390,0,165,133,330,266,225,266,240,133,180,0,375,266,480,266,165,266,30,133,225,266,390,0,195,0,465,133,105,0,510,266,120,133,465,0,240,133,435,133,390,266,255,0,255,266,285,0,480,133,315,133,75,133,240,133,420,133,480,133,345,133,90,133,45,266,270,0,360,0,435,266,345,266,210,133,375,266,435,266,375,0,150,0,270,266,90,696,376,266,45,133,450,133,255,0,495,266,450,0,330,0,450,0,105,133,270,133,165,817,463,855,101,0,345,266,360,133,360,266,60,133,135,266,150,0,300,133,195,266,405,0,420,133,60,133,405,266,195,266,75,0,285,0,180,133,300,602,462,0,120,0,90,133,285,133,210,266,315,0,315,133,150,133,495,0,135,266,135,133,30,442,62,0,210,266,300,133,15,266,465,266,495,266,420,266,15,266,330,0,225,1483357429
133,120,0,405,266,105,266,180,0,390,0,165,133,330,266,225,266,240,133,180,0,375,266,480,266,165,266,30,133,225,266,390,0,195,0,465,133,105,0,510,266,120,133,465,0,240,133,435,133,390,266,255,0,255,266,285,0,480,133,315,133,75,133,240,133,420,133,480,133,345,133,90,133,45,266,270,0,360,0,435,266,345,266,210,133,375,266,435,266,375,0,150,0,270,266,90,696,376,266,45,133,450,133,255,0,495,266,450,0,330,0,450,665,341,133,270,133,165,817,463,855,101,0,345,266,360,133,360,266,60,133,135,266,150,0,300,133,195,266,405,0,420,133,60,133,405,266,195,266,75,0,285,0,180,133,300,602,462,560,397,537,447,133,285,133,210,266,315,0,315,133,150,133,495,447,86,266,135,133,30,442,62,0,210,266,300,133,15,266,465,266,495,266,420,266,15,266,330,0,225,1483357444
133,120,0,405,266,105,266,180,0,390,914,269,133,330,266,225,266,240,133,180,0,375,266,480,266,165,266,30,133,225,266,390,71,198,0,465,133,105,0,510,266,120,133,465,0,240,133,435,133,390,266,255,0,255,266,285,0,480,133,315,133,75,133,240,133,420,133,480,133,345,133,90,133,45,266,270,0,360,0,435,266,345,266,210,133,375,266,435,266,375,738,336,0,270,266,90,696,376,266,45,133,450,133,255,0,495,266,450,0,330,0,450,665,341,133,270,133,165,817,463,855,101,0,345,266,360,133,360,266,60,133,135,266,150,0,300,133,195,266,405,0,420,133,60,133,405,266,195,266,75,0,285,488,417,133,300,602,462,560,397,537,447,133,285,133,210,266,315,0,315,133,150,133,495,447,86,266,135,133,30,442,62,0,210,266,300,133,15,266,465,266,495,266,420,266,15,266,330,0,225,1483357459
133,120,0,405,266,105,266,180,0,390,914,269,133,330,266,225,266,240,133,180,0,375,266,480,266,165,266,30,133,225,266,390,810,108,0,465,133,105,0,510,266,120,133,465,0,240,133,435,133,390,266,255,853,127,266,285,0,480,133,315,133,75,133,240,133,420,133,480,133,345,133,90,133,45,266,270,0,360,0,435,266,345,266,210,133,375,266,435,266,375,738,336,0,270,266,90,696,376,266,45,133,450,133,255,0,495,266,450,0,330,0,450,665,341,133,270,133,165,817,463,855,101,0,345,266,360,133,360,266,60,133,135,266,150,0,300,133,195,266,405,0,420,133,60,133,405,266,195,266,75,0,285,488,417,133,300,602,462,560,397,537,447,133,285,133,210,266,315,0,315,133,150,133,495,447,86,266,135,133,30,442,62,474,104,266,300,133,15,266,465,266,495,266,420,266,15,266,330,660,312,1483357474
133,120,0,405,266,105,266,180,0,390,914,269,133,330,266,225,266,240,133,180,0,375,266,480,266,165,266,30,133,225,266,390,810,108,0,465,133,105,0,510,266,120,133,465,838,356,133,435,133,390,266,255,853,127,266,285,0,480,133,315,133,75,133,240,133,420,133,480,133,345,133,90,133,45,266,270,0,360,0,435,266,345,266,210,133,375,266,435,266,375,738,336,736,216,266,90,696,376,266,45,133,450,133,255,0,495,266,450,0,330,0,450,665,341,133,270,133,165,817,463,855,101,0,345,266,360,133,360,266,60,133,135,266,150,757,144,133,195,266,405,0,420,133,60,133,405,266,195,266,75,825,368,488,417,133,300,602,462,560,397,537,447,133,285,133,210,266,315,18,315,133,150,133,495,447,86,266,135,133,30,442,62,474,104,266,300,133,15,266,465,266,495,266,420,266,15,266,330,660,312,1483357489
133,120,0,405,266,105,266,180,0,390,914,269,133,330,266,225,266,240,133,180,902,334,266,480,266,165,266,30,133,225,266,390,810,108,0,465,133,105,0,510,266,120,133,465,838,356,133,435,133,390,266,255,853,127,266,285,0,480,133,315,133,75,133,240,133,420,133,480,133,345,133,90,133,45,266,270,902,312,0,435,266,345,266,210,133,375,266,435,266,375,738,336,736,216,266,90,696,376,266,45,133,450,133,255,0,495,266,450,665,193,0,450,665,341,133,270,133,165,817,463,855,101,854,141,266,360,133,360,266,60,133,135,266,150,757,144,133,195,266,405,0,420,133,60,133,405,266,195,266,75,825,368,488,417,133,300,602,462,560,397,537,447,133,285,133,210,266,315,727,182,133,150,133,495,447,86,266,135,133,30,442,62,474,104,266,300,133,15,266,465,266,495,266,420,266,15,266,330,660,312,1483357504
133,120,927,270,266,105,266,180,811,185,914,269,133,330,266,225,266,240,133,180,902,334,266,480,266,165,266,30,133,225,266,390,810,108,0,465,133,105,0,510,266,120,133,465,838,356,133,435,133,390,266,255,853,127,266,285,491,455,133,315,133,75,133,240,133,420,133,480,133,345,133,90,133,45,266,270,902,312,825,227,266,345,266,210,133,375,266,435,266,375,738,336,736,216,266,90,696,376,266,45,133,450,133,255,0,495,266,450,665,193,798,196,665,341,133,270,133,165,817,463,855,101,854,141,266,360,133,360,266,60,133,135,266,150,757,144,133,195,266,405,725,268,133,60,133,405,266,195,266,75,825,368,488,417,133,300,602,462,560,397,537,447,133,285,133,210,266,315,727,182,133,150,133,495,447,86,266,135,133,30,442,62,474,104,266,300,133,15,266,465,266,495,266,420,266,15,266,330,660,312,1483357519
133,120,927,270,266,105,266,180,811,185,914,269,133,330,266,225,266,240,133,180,902,334,266,480,266,165,266,30,133,225,266,390,810,108,845,414,133,105,842,397,266,120,133,465,838,356,133,435,133,390,266,255,853,127,266,285,899,389,133,315,133,75,133,240,133,420,133,480,133,345,133,90,133,45,266,270,902,312,825,227,266,345,266,210,133,375,266,435,266,375,738,336,736,216,266,90,696,376,266,45,133,450,133,255,568,291,266,450,665,193,798,196,665,341,133,270,133,165,817,463,855,101,854,141,266,360,133,360,266,60,133,135,266,150,757,144,133,195,266,405,725,268,133,60,133,405,266,195,266,75,825,368,488,417,133,300,602,462,560,397,537,447,133,285,133,210,266,315,727,182,133,150,133,495,447,86,266,135,133,30,442,62,474,104,266,300,767,335,266,465,266,495,266,420,266,15,266,330,660,312,1483357534
