0,28*15+15,0,22*15+15,0,10*15+15,133,(42-34)*15+15,133,(41-34)*15+15,266,(92-67)*15+15,0,11*15+15,133,(34-34)*15+15,266,(95-67)*15+15,133,(58-34)*15+15,0,8*15+15,0,32*15+15,0,21*15+15,266,(76-67)*15+15,133,(63-34)*15+15,266,(89-67)*15+15,0,31*15+15,0,2*15+15,266,(73-67)*15+15,133,(59-34)*15+15,266,(87-67)*15+15,0,14*15+15,0,13*15+15,266,(69-67)*15+15,266,(81-67)*15+15,0,3*15+15,266,(67-67)*15+15,0,15*15+15,0,18*15+15,0,25*15+15,133,(40-34)*15+15,266,(86-67)*15+15,0,1*15+15,266,(75-67)*15+15,133,(65-34)*15+15,133,(66-34)*15+15,266,(85-67)*15+15,266,(84-67)*15+15,133,(50-34)*15+15,266,(78-67)*15+15,266,(70-67)*15+15,133,(54-34)*15+15,133,(49-34)*15+15,0,23*15+15,133,(39-34)*15+15,0,6*15+15,0,17*15+15,133,(44-34)*15+15,0,5*15+15,133,(37-34)*15+15,0,33*15+15,266,(99-67)*15+15,133,(64-34)*15+15,0,24*15+15,133,(51-34)*15+15,0,7*15+15,0,27*15+15,266,(96-67)*15+15,0,19*15+15,0,4*15+15,133,(48-34)*15+15,266,(79-67)*15+15,133,(56-34)*15+15,0,29*15+15,266,(98-67)*15+15,266,(80-67)*15+15,266,(77-67)*15+15,266,(88-67)*15+15,133,(38-34)*15+15,0,9*15+15,133,(45-34)*15+15,133,(46-34)*15+15,133,(62-34)*15+15,133,(55-34)*15+15,0,12*15+15,266,(94-67)*15+15,0,0*15+15,133,(47-34)*15+15,0,20*15+15,133,(43-34)*15+15,133,(61-34)*15+15,266,(93-67)*15+15,133,(53-34)*15+15,266,(72-67)*15+15,266,(83-67)*15+15,0,26*15+15,266,(68-67)*15+15,133,(35-34)*15+15,266,(74-67)*15+15,266,(97-67)*15+15,0,16*15+15,0,30*15+15,266,(82-67)*15+15,266,(90-67)*15+15,266,(71-67)*15+15,133,(60-34)*15+15,133,(36-34)*15+15,133,(57-34)*15+15,133,(52-34)*15+15,266,(91-67)*15+15,1470397895
0,435,0,345,0,165,133,135,133,120,266,390,0,180,133,15,266,435,133,375,0,135,0,495,0,330,266,150,133,450,266,345,0,480,0,45,266,105,133,390,266,315,0,225,0,210,266,45,266,225,0,60,266,15,0,240,0,285,0,390,133,105,266,300,0,30,266,135,133,480,133,495,266,285,266,270,133,255,266,180,266,60,133,315,133,240,0,360,133,90,0,105,0,270,133,165,0,90,133,60,0,510,266,495,133,465,0,375,133,270,0,120,0,420,266,450,0,300,0,75,133,225,266,195,133,345,0,450,266,480,266,210,266,165,266,330,133,75,0,150,133,180,133,195,133,435,133,330,0,195,266,420,0,15,133,210,0,315,133,150,133,420,266,405,133,300,266,90,266,255,0,405,266,30,133,30,266,120,266,465,0,255,0,465,266,240,266,360,266,75,133,405,133,45,133,360,133,285,266,375,1470397926
0,435,0,345,0,165,133,135,133,120,266,390,0,180,914,581,266,435,133,375,0,135,0,495,0,330,266,150,133,450,266,345,0,480,0,45,266,105,133,390,266,315,0,225,0,210,266,45,266,225,0,60,266,15,0,240,0,285,0,390,133,105,266,300,0,30,266,135,133,480,133,495,266,285,266,270,133,255,266,180,266,60,133,315,133,240,0,360,133,90,0,105,0,270,133,165,0,90,133,60,0,510,266,495,133,465,0,375,133,270,0,120,0,420,266,450,0,300,0,75,133,225,266,195,133,345,0,450,266,480,266,210,266,165,266,330,133,75,0,150,133,180,133,195,133,435,133,330,0,195,266,420,421,19,133,210,0,315,133,150,133,420,266,405,133,300,266,90,266,255,0,405,266,30,432,293,266,120,266,465,0,255,0,465,266,240,266,360,266,75,133,405,133,45,133,360,133,285,266,375,1470397941
0,435,0,345,0,165,133,135,133,120,266,390,0,180,914,581,266,435,133,375,0,135,0,495,0,330,266,150,133,450,266,345,0,480,0,45,266,105,133,390,266,315,0,225,0,210,266,45,266,225,0,60,663,308,0,240,0,285,0,390,133,105,266,300,0,30,266,135,133,480,133,495,266,285,266,270,133,255,266,180,266,60,133,315,133,240,0,360,133,90,0,105,0,270,133,165,0,90,133,60,0,510,266,495,133,465,0,375,133,270,0,120,0,420,266,450,0,300,0,75,133,225,266,195,133,345,0,450,266,480,266,210,266,165,266,330,133,75,0,150,133,180,133,195,133,435,133,330,0,195,266,420,421,19,133,210,0,315,133,150,133,420,266,405,133,300,266,90,266,255,0,405,266,30,665,321,266,120,266,465,0,255,0,465,266,240,266,360,266,75,133,405,133,45,133,360,133,285,266,375,1470397956
0,435,0,345,0,165,133,135,133,120,266,390,0,180,914,581,266,435,133,375,0,135,0,495,0,330,266,150,133,450,266,345,0,480,0,45,266,105,133,390,266,315,0,225,0,210,266,45,266,225,0,60,716,437,0,240,0,285,0,390,133,105,266,300,832,498,266,135,133,480,133,495,266,285,266,270,133,255,266,180,266,60,133,315,133,240,0,360,133,90,0,105,0,270,133,165,0,90,133,60,0,510,266,495,133,465,0,375,133,270,0,120,0,420,266,450,0,300,0,75,133,225,266,195,133,345,0,450,266,480,266,210,266,165,266,330,133,75,0,150,133,180,133,195,133,435,133,330,0,195,266,420,421,19,133,210,0,315,133,150,133,420,266,405,133,300,266,90,266,255,0,405,266,30,665,321,266,120,266,465,0,255,0,465,266,240,266,360,266,75,133,405,501,86,133,360,133,285,266,375,1470397971
0,435,0,345,0,165,133,135,133,120,266,390,0,180,914,581,266,435,133,375,0,135,0,495,0,330,266,150,133,450,266,345,0,480,884,32,266,105,133,390,266,315,0,225,0,210,266,45,266,225,0,60,716,437,0,240,0,285,0,390,133,105,266,300,832,498,266,135,133,480,133,495,266,285,266,270,133,255,266,180,266,60,133,315,133,240,0,360,133,90,0,105,0,270,133,165,0,90,133,60,0,510,266,495,133,465,0,375,133,270,0,120,0,420,266,450,0,300,0,75,133,225,266,195,133,345,0,450,266,480,266,210,266,165,266,330,133,75,0,150,133,180,133,195,133,435,133,330,0,195,266,420,421,19,133,210,0,315,133,150,133,420,266,405,133,300,266,90,266,255,0,405,581,286,665,321,266,120,266,465,0,255,0,465,266,240,266,360,266,75,133,405,585,20,133,360,133,285,266,375,1470397986
0,435,0,345,0,165,133,135,133,120,266,390,0,180,914,581,266,435,133,375,0,135,0,495,0,330,266,150,133,450,266,345,0,480,884,32,266,105,133,390,266,315,0,225,0,210,873,123,266,225,0,60,716,437,0,240,0,285,0,390,133,105,266,300,832,498,266,135,133,480,133,495,266,285,266,270,133,255,266,180,739,353,133,315,133,240,0,360,133,90,0,105,0,270,133,165,0,90,133,60,0,510,266,495,133,465,0,375,133,270,0,120,0,420,266,450,0,300,0,75,133,225,266,195,133,345,0,450,266,480,266,210,266,165,266,330,133,75,0,150,133,180,133,195,133,435,133,330,0,195,266,420,421,19,133,210,0,315,133,150,133,420,266,405,133,300,266,90,266,255,0,405,581,286,665,321,266,120,266,465,0,255,0,465,266,240,266,360,266,75,133,405,585,20,133,360,133,285,266,375,1470398001
0,435,0,345,0,165,133,135,133,120,266,390,0,180,914,581,266,435,133,375,0,135,0,495,0,330,266,150,133,450,266,345,0,480,884,32,266,105,133,390,266,315,0,225,0,210,873,123,266,225,0,60,716,437,0,240,0,285,0,390,133,105,266,300,832,498,266,135,133,480,133,495,266,285,266,270,133,255,266,180,739,353,133,315,133,240,0,360,133,90,0,105,0,270,133,165,0,90,133,60,0,510,266,495,133,465,0,375,133,270,0,120,0,420,266,450,0,300,0,75,133,225,266,195,133,345,0,450,266,480,266,210,266,165,266,330,469,461,0,150,133,180,133,195,133,435,133,330,0,195,266,420,421,19,133,210,0,315,133,150,133,420,266,405,133,300,266,90,266,255,0,405,581,286,665,321,266,120,266,465,0,255,0,465,266,240,266,360,510,69,133,405,585,20,133,360,133,285,266,375,1470398016
0,435,0,345,0,165,133,135,133,120,266,390,0,180,914,581,266,435,133,375,0,135,0,495,0,330,266,150,133,450,266,345,0,480,884,32,266,105,133,390,266,315,0,225,0,210,873,123,266,225,862,401,716,437,0,240,0,285,0,390,133,105,266,300,832,498,266,135,133,480,133,495,266,285,266,270,133,255,266,180,739,353,133,315,133,240,0,360,133,90,0,105,0,270,133,165,0,90,477,165,0,510,266,495,133,465,0,375,133,270,0,120,0,420,266,450,0,300,0,75,133,225,266,195,133,345,0,450,266,480,266,210,266,165,266,330,469,461,0,150,133,180,133,195,133,435,133,330,0,195,266,420,421,19,133,210,0,315,133,150,133,420,266,405,133,300,266,90,266,255,0,405,581,286,665,321,266,120,266,465,0,255,0,465,266,240,266,360,510,69,133,405,585,20,133,360,133,285,266,375,1470398031
0,435,0,345,0,165,133,135,133,120,266,390,0,180,914,581,266,435,133,375,0,135,0,495,0,330,266,150,133,450,266,345,0,480,884,32,266,105,133,390,266,315,0,225,0,210,873,123,266,225,823,444,716,437,0,240,0,285,0,390,133,105,266,300,832,498,266,135,133,480,133,495,266,285,266,270,133,255,266,180,739,353,133,315,133,240,0,360,133,90,0,105,0,270,133,165,0,90,477,165,0,510,266,495,133,465,0,375,133,270,0,120,0,420,266,450,0,300,513,92,133,225,266,195,133,345,0,450,266,480,266,210,266,165,266,330,469,461,0,150,133,180,133,195,133,435,133,330,0,195,266,420,421,19,133,210,0,315,133,150,133,420,266,405,133,300,266,90,266,255,0,405,581,286,665,321,266,120,266,465,0,255,0,465,266,240,266,360,510,69,133,405,585,20,133,360,133,285,266,375,1470398046
0,435,0,345,0,165,133,135,133,120,266,390,0,180,914,581,266,435,133,375,0,135,0,495,0,330,266,150,133,450,266,345,0,480,884,32,266,105,133,390,266,315,0,225,0,210,873,123,266,225,823,444,716,437,0,240,0,285,0,390,133,105,266,300,832,498,266,135,133,480,133,495,266,285,266,270,133,255,266,180,739,353,133,315,133,240,0,360,770,323,0,105,0,270,133,165,446,114,477,165,0,510,266,495,133,465,0,375,133,270,0,120,0,420,266,450,0,300,513,92,133,225,266,195,133,345,0,450,266,480,266,210,266,165,266,330,469,461,0,150,133,180,133,195,133,435,133,330,0,195,266,420,421,19,133,210,0,315,133,150,133,420,266,405,133,300,436,51,266,255,0,405,581,286,665,321,266,120,266,465,0,255,0,465,266,240,266,360,510,69,133,405,585,20,133,360,133,285,266,375,1470398061
