0,22*15+15,266,(79-67)*15+15,0,2*15+15,0,23*15+15,266,(71-67)*15+15,266,(81-67)*15+15,133,(51-34)*15+15,0,20*15+15,0,4*15+15,133,(62-34)*15+15,266,(99-67)*15+15,0,5*15+15,133,(49-34)*15+15,133,(40-34)*15+15,266,(93-67)*15+15,133,(42-34)*15+15,0,9*15+15,266,(72-67)*15+15,133,(34-34)*15+15,0,27*15+15,0,6*15+15,0,12*15+15,0,13*15+15,133,(39-34)*15+15,266,(75-67)*15+15,133,(59-34)*15+15,0,15*15+15,266,(85-67)*15+15,0,0*15+15,266,(67-67)*15+15,266,(80-67)*15+15,0,8*15+15,133,(60-34)*15+15,266,(78-67)*15+15,266,(82-67)*15+15,133,(56-34)*15+15,0,16*15+15,266,(97-67)*15+15,266,(96-67)*15+15,0,3*15+15,133,(63-34)*15+15,266,(87-67)*15+15,0,19*15+15,266,(98-67)*15+15,0,25*15+15,133,(57-34)*15+15,0,26*15+15,133,(54-34)*15+15,133,(35-34)*15+15,266,(70-67)*15+15,0,14*15+15,266,(95-67)*15+15,133,(48-34)*15+15,266,(89-67)*15+15,0,31*15+15,0,1*15+15,266,(84-67)*15+15,133,(44-34)*15+15,0,32*15+15,133,(45-34)*15+15,266,(76-67)*15+15,0,11*15+15,266,(83-67)*15+15,0,30*15+15,0,28*15+15,266,(86-67)*15+15,133,(50-34)*15+15,0,24*15+15,133,(36-34)*15+15,133,(58-34)*15+15,266,(88-67)*15+15,133,(65-34)*15+15,133,(64-34)*15+15,133,(37-34)*15+15,0,21*15+15,266,(92-67)*15+15,0,17*15+15,133,(52-34)*15+15,0,29*15+15,133,(46-34)*15+15,266,(77-67)*15+15,133,(53-34)*15+15,133,(47-34)*15+15,266,(91-67)*15+15,133,(55-34)*15+15,266,(69-67)*15+15,133,(41-34)*15+15,0,18*15+15,133,(43-34)*15+15,0,33*15+15,133,(38-34)*15+15,266,(74-67)*15+15,266,(94-67)*15+15,133,(66-34)*15+15,266,(68-67)*15+15,0,7*15+15,0,10*15+15,266,(90-67)*15+15,266,(73-67)*15+15,133,(61-34)*15+15,1464602121
0,345,266,195,0,45,0,360,266,75,266,225,133,270,0,315,0,75,133,435,266,495,0,90,133,240,133,105,266,405,133,135,0,150,266,90,133,15,0,420,0,105,0,195,0,210,133,90,266,135,133,390,0,240,266,285,500,38,266,15,266,210,0,135,133,405,266,180,266,240,133,345,0,255,266,465,266,450,0,60,133,450,266,315,0,300,266,480,0,390,133,360,0,405,133,315,133,30,266,60,0,225,266,435,133,225,266,345,0,480,0,30,266,270,133,165,0,495,133,180,266,150,0,180,266,255,0,465,0,435,266,300,133,255,0,375,133,45,133,375,266,330,133,480,133,465,133,60,0,330,266,390,0,270,133,285,0,450,133,195,266,165,133,300,133,210,266,375,133,330,266,45,133,120,0,285,133,150,0,510,133,75,266,120,266,420,133,495,266,30,0,120,0,165,266,360,266,105,133,420,1464602157
0,345,266,195,0,45,0,360,266,75,266,225,133,270,0,315,0,75,133,435,266,495,0,90,133,240,133,105,266,405,133,135,0,150,266,90,133,15,0,420,0,105,0,195,0,210,133,90,266,135,133,390,0,240,266,285,420,22,266,15,266,210,0,135,133,405,266,180,266,240,133,345,0,255,266,465,266,450,0,60,133,450,266,315,0,300,266,480,0,390,133,360,0,405,133,315,133,30,266,60,0,225,266,435,133,225,266,345,0,480,836,479,266,270,133,165,0,495,133,180,266,150,0,180,266,255,0,465,0,435,266,300,133,255,0,375,133,45,133,375,266,330,133,480,133,465,133,60,0,330,266,390,0,270,133,285,0,450,133,195,266,165,133,300,133,210,266,375,133,330,266,45,133,120,0,285,133,150,0,510,133,75,266,120,266,420,133,495,266,30,0,120,0,165,266,360,266,105,133,420,1464602172
0,345,266,195,649,482,0,360,266,75,266,225,133,270,0,315,507,51,133,435,266,495,-29,33,133,240,133,105,266,405,133,135,0,150,266,90,133,15,0,420,0,105,0,195,0,210,133,90,266,135,133,390,0,240,266,285,420,22,266,15,266,210,0,135,133,405,266,180,266,240,133,345,0,255,266,465,266,450,635,432,133,450,266,315,0,300,266,480,0,390,133,360,0,405,133,315,133,30,266,60,0,225,266,435,133,225,266,345,0,480,836,479,266,270,133,165,0,495,133,180,266,150,0,180,266,255,0,465,0,435,266,300,133,255,0,375,133,45,133,375,266,330,133,480,133,465,133,60,0,330,266,390,0,270,133,285,0,450,133,195,266,165,133,300,133,210,266,375,133,330,266,45,133,120,0,285,133,150,0,510,133,75,266,120,266,420,133,495,266,30,0,120,0,165,266,360,266,105,133,420,1464602187
0,345,266,195,649,482,0,360,266,75,266,225,133,270,0,315,504,38,133,435,266,495,943,24,133,240,133,105,266,405,133,135,0,150,266,90,133,15,0,420,739,394,0,195,0,210,133,90,266,135,133,390,0,240,266,285,420,22,266,15,266,210,0,135,133,405,266,180,266,240,133,345,0,255,266,465,266,450,635,432,133,450,266,315,0,300,266,480,0,390,133,360,0,405,133,315,133,30,266,60,0,225,266,435,133,225,266,345,0,480,836,479,266,270,133,165,0,495,133,180,266,150,0,180,266,255,0,465,0,435,266,300,133,255,0,375,133,45,133,375,266,330,133,480,133,465,133,60,0,330,266,390,0,270,133,285,0,450,133,195,266,165,133,300,133,210,266,375,133,330,266,45,133,120,0,285,133,150,0,510,133,75,266,120,266,420,133,495,266,30,0,120,0,165,266,360,266,105,133,420,1464602202
0,345,266,195,649,482,0,360,266,75,266,225,133,270,0,315,504,38,133,435,266,495,943,24,133,240,133,105,266,405,133,135,0,150,266,90,133,15,0,420,739,394,0,195,0,210,133,90,266,135,133,390,0,240,266,285,855,46,266,15,266,210,784,24,133,405,266,180,266,240,133,345,0,255,266,465,266,450,635,432,133,450,266,315,0,300,266,480,0,390,133,360,0,405,133,315,133,30,266,60,0,225,266,435,133,225,266,345,0,480,836,479,266,270,133,165,0,495,133,180,266,150,0,180,266,255,0,465,0,435,266,300,133,255,0,375,133,45,133,375,266,330,133,480,133,465,133,60,0,330,266,390,0,270,133,285,0,450,133,195,266,165,133,300,133,210,266,375,133,330,266,45,133,120,0,285,133,150,0,510,133,75,266,120,266,420,133,495,266,30,870,391,0,165,266,360,266,105,133,420,1464602217
0,345,266,195,649,482,0,360,266,75,266,225,133,270,0,315,917,51,133,435,266,495,834,48,133,240,133,105,266,405,133,135,0,150,266,90,133,15,0,420,739,394,0,195,0,210,133,90,266,135,133,390,0,240,266,285,911,26,266,15,266,210,784,24,133,405,266,180,266,240,133,345,0,255,266,465,266,450,635,432,133,450,266,315,0,300,266,480,0,390,133,360,0,405,133,315,133,30,266,60,0,225,266,435,133,225,266,345,0,480,836,479,266,270,133,165,0,495,133,180,266,150,0,180,266,255,0,465,0,435,266,300,133,255,0,375,133,45,133,375,266,330,133,480,133,465,133,60,0,330,266,390,0,270,133,285,0,450,133,195,266,165,133,300,133,210,266,375,133,330,266,45,133,120,0,285,133,150,0,510,133,75,266,120,266,420,133,495,266,30,870,391,0,165,266,360,266,105,133,420,1464602232
0,345,266,195,703,561,0,360,266,75,266,225,133,270,0,315,917,51,133,435,266,495,834,48,133,240,133,105,266,405,133,135,0,150,266,90,133,15,0,420,739,394,0,195,0,210,133,90,266,135,133,390,0,240,266,285,911,26,266,15,266,210,784,24,133,405,266,180,266,240,133,345,0,255,266,465,266,450,633,435,133,450,266,315,0,300,266,480,0,390,133,360,0,405,133,315,133,30,266,60,0,225,266,435,133,225,266,345,0,480,519,496,266,270,133,165,0,495,133,180,266,150,0,180,266,255,0,465,0,435,266,300,133,255,0,375,133,45,133,375,266,330,133,480,133,465,133,60,0,330,266,390,0,270,133,285,0,450,133,195,266,165,133,300,133,210,266,375,133,330,266,45,133,120,0,285,133,150,0,510,133,75,266,120,266,420,133,495,266,30,917,572,426,34,266,360,266,105,133,420,1464602247
0,345,266,195,707,570,0,360,266,75,266,225,133,270,0,315,917,51,133,435,266,495,834,48,133,240,133,105,266,405,133,135,691,500,266,90,133,15,0,420,495,412,440,388,0,210,133,90,266,135,133,390,0,240,266,285,911,26,266,15,266,210,784,24,133,405,266,180,266,240,133,345,0,255,266,465,266,450,717,548,133,450,266,315,0,300,266,480,0,390,133,360,0,405,133,315,133,30,266,60,0,225,266,435,133,225,266,345,0,480,519,496,266,270,133,165,0,495,133,180,266,150,665,261,266,255,0,465,0,435,266,300,133,255,0,375,133,45,133,375,266,330,133,480,133,465,133,60,0,330,266,390,0,270,133,285,0,450,133,195,266,165,133,300,133,210,266,375,133,330,266,45,133,120,0,285,133,150,0,510,133,75,266,120,266,420,133,495,266,30,917,572,426,34,266,360,266,105,133,420,1464602262
0,345,266,195,707,570,0,360,266,75,266,225,133,270,0,315,917,51,133,435,266,495,834,48,133,240,133,105,266,405,133,135,691,500,266,90,133,15,0,420,495,412,440,388,427,186,133,90,266,135,133,390,748,450,266,285,911,26,266,15,266,210,784,24,133,405,266,180,266,240,133,345,0,255,266,465,266,450,717,548,133,450,266,315,0,300,266,480,0,390,133,360,0,405,133,315,133,30,266,60,922,187,266,435,133,225,266,345,0,480,519,496,266,270,133,165,0,495,133,180,266,150,665,261,266,255,0,465,0,435,266,300,133,255,0,375,133,45,133,375,266,330,133,480,133,465,133,60,0,330,266,390,0,270,133,285,0,450,133,195,266,165,133,300,133,210,266,375,133,330,266,45,133,120,0,285,133,150,0,510,133,75,266,120,266,420,133,495,266,30,917,572,426,34,266,360,266,105,133,420,1464602277
0,345,266,195,656,575,0,360,266,75,266,225,133,270,0,315,917,51,133,435,266,495,834,48,133,240,133,105,266,405,133,135,691,500,266,90,133,15,0,420,495,412,440,388,427,186,133,90,266,135,133,390,695,576,266,285,911,26,266,15,266,210,784,24,133,405,266,180,266,240,133,345,502,33,266,465,266,450,717,548,133,450,266,315,0,300,266,480,0,390,133,360,0,405,133,315,133,30,266,60,922,187,266,435,133,225,266,345,0,480,519,496,266,270,133,165,0,495,133,180,266,150,665,261,266,255,0,465,0,435,266,300,133,255,0,375,133,45,133,375,266,330,133,480,133,465,133,60,0,330,266,390,422,202,133,285,0,450,133,195,266,165,133,300,133,210,266,375,133,330,266,45,133,120,0,285,133,150,0,510,133,75,266,120,266,420,133,495,266,30,917,572,426,34,266,360,266,105,133,420,1464602292
