0,6*15+15,0,28*15+15,133,(37-34)*15+15,0,26*15+15,133,(56-34)*15+15,133,(60-34)*15+15,133,(39-34)*15+15,133,(59-34)*15+15,133,(35-34)*15+15,266,(84-67)*15+15,0,8*15+15,133,(49-34)*15+15,266,(70-67)*15+15,0,16*15+15,266,(67-67)*15+15,266,(95-67)*15+15,133,(44-34)*15+15,133,(54-34)*15+15,0,25*15+15,133,(40-34)*15+15,0,22*15+15,266,(71-67)*15+15,133,(38-34)*15+15,133,(62-34)*15+15,266,(87-67)*15+15,266,(93-67)*15+15,133,(47-34)*15+15,266,(75-67)*15+15,266,(69-67)*15+15,266,(81-67)*15+15,266,(96-67)*15+15,133,(63-34)*15+15,133,(43-34)*15+15,133,(58-34)*15+15,266,(99-67)*15+15,266,(88-67)*15+15,266,(85-67)*15+15,133,(46-34)*15+15,0,30*15+15,0,20*15+15,133,(41-34)*15+15,133,(50-34)*15+15,0,3*15+15,0,10*15+15,266,(79-67)*15+15,133,(48-34)*15+15,266,(90-67)*15+15,133,(65-34)*15+15,0,1*15+15,0,9*15+15,0,18*15+15,133,(66-34)*15+15,266,(72-67)*15+15,133,(51-34)*15+15,266,(68-67)*15+15,0,2*15+15,133,(42-34)*15+15,133,(45-34)*15+15,0,7*15+15,0,21*15+15,133,(57-34)*15+15,0,12*15+15,266,(98-67)*15+15,266,(91-67)*15+15,0,15*15+15,266,(78-67)*15+15,0,19*15+15,0,32*15+15,0,11*15+15,266,(77-67)*15+15,0,29*15+15,266,(82-67)*15+15,0,0*15+15,0,4*15+15,133,(55-34)*15+15,0,31*15+15,266,(76-67)*15+15,0,24*15+15,133,(52-34)*15+15,133,(53-34)*15+15,0,14*15+15,0,33*15+15,0,13*15+15,266,(86-67)*15+15,0,17*15+15,133,(36-34)*15+15,266,(80-67)*15+15,133,(34-34)*15+15,266,(74-67)*15+15,266,(83-67)*15+15,0,23*15+15,133,(64-34)*15+15,266,(94-67)*15+15,0,27*15+15,266,(89-67)*15+15,266,(73-67)*15+15,133,(61-34)*15+15,266,(92-67)*15+15,0,5*15+15,266,(97-67)*15+15,1465998693
0,105,0,435,133,60,0,405,133,345,133,405,133,90,133,390,133,30,266,270,0,135,133,240,266,60,0,255,266,15,266,435,133,165,133,315,0,390,133,105,0,345,266,75,133,75,133,435,266,315,266,405,133,210,266,135,266,45,266,225,266,450,133,450,133,150,133,375,266,495,266,330,266,285,133,195,0,465,0,315,133,120,133,255,0,60,0,165,266,195,133,225,266,360,133,480,0,30,0,150,0,285,133,495,266,90,133,270,266,30,0,45,133,135,133,180,0,120,0,330,133,360,0,195,266,480,266,375,0,240,266,180,0,300,0,495,0,180,266,165,0,450,266,240,0,15,0,75,133,330,0,480,266,150,0,375,133,285,133,300,0,225,0,510,0,210,266,300,0,270,133,45,266,210,133,15,266,120,266,255,0,360,133,465,266,420,0,420,266,345,266,105,133,420,266,390,0,90,266,465,1465998730
0,105,0,435,133,60,0,405,133,345,133,405,133,90,133,390,133,30,266,270,0,135,133,240,266,60,0,255,266,15,266,435,133,165,133,315,0,390,133,105,0,345,266,75,133,75,133,435,266,315,266,405,133,210,266,135,266,45,266,225,266,450,133,450,133,150,133,375,266,495,266,330,266,285,133,195,0,465,0,315,133,120,133,255,0,60,0,165,266,195,133,225,266,360,133,480,0,30,0,150,0,285,133,495,266,90,133,270,266,30,0,45,133,135,133,180,0,120,0,330,133,360,0,195,266,480,266,375,0,240,266,180,0,300,0,495,0,180,266,165,0,450,266,240,413,23,0,75,133,330,0,480,266,150,0,375,133,285,133,300,0,225,0,510,0,210,266,300,0,270,133,45,266,210,133,15,266,120,266,255,0,360,133,465,266,420,0,420,266,345,266,105,133,420,266,390,0,90,266,465,1465998745
0,105,0,435,133,60,0,405,133,345,133,405,133,90,133,390,133,30,266,270,0,135,133,240,413,67,0,255,902,21,266,435,133,165,133,315,0,390,133,105,0,345,266,75,133,75,133,435,266,315,266,405,133,210,266,135,266,45,266,225,266,450,133,450,133,150,133,375,266,495,266,330,266,285,133,195,0,465,0,315,133,120,133,255,0,60,0,165,266,195,133,225,266,360,133,480,0,30,0,150,0,285,133,495,266,90,133,270,266,30,0,45,133,135,133,180,0,120,0,330,133,360,0,195,266,480,266,375,0,240,266,180,0,300,0,495,0,180,266,165,0,450,266,240,413,23,0,75,133,330,0,480,266,150,0,375,133,285,133,300,0,225,0,510,0,210,266,300,0,270,133,45,266,210,413,39,266,120,266,255,0,360,133,465,266,420,0,420,266,345,266,105,133,420,266,390,0,90,266,465,1465998760
0,105,0,435,904,51,0,405,133,345,133,405,133,90,133,390,133,30,266,270,0,135,133,240,413,67,0,255,902,21,266,435,133,165,133,315,0,390,133,105,0,345,266,75,903,69,133,435,266,315,266,405,133,210,266,135,266,45,266,225,266,450,133,450,133,150,133,375,266,495,266,330,266,285,133,195,0,465,0,315,133,120,133,255,0,60,0,165,266,195,133,225,266,360,133,480,0,30,0,150,0,285,133,495,266,90,133,270,266,30,903,36,133,135,133,180,0,120,0,330,133,360,0,195,266,480,266,375,0,240,266,180,0,300,0,495,0,180,266,165,0,450,266,240,413,23,0,75,133,330,0,480,266,150,0,375,133,285,133,300,0,225,0,510,0,210,266,300,0,270,133,45,266,210,413,39,266,120,266,255,0,360,133,465,266,420,0,420,266,345,266,105,133,420,266,390,0,90,266,465,1465998775
0,105,0,435,904,51,0,405,133,345,133,405,133,90,133,390,133,30,266,270,0,135,133,240,413,67,0,255,902,21,266,435,133,165,133,315,0,390,133,105,0,345,266,75,903,69,133,435,266,315,266,405,133,210,266,135,266,45,266,225,266,450,133,450,856,105,133,375,266,495,266,330,266,285,133,195,0,465,0,315,133,120,133,255,0,60,0,165,266,195,133,225,266,360,133,480,0,30,0,150,0,285,133,495,895,87,133,270,266,30,903,36,133,135,133,180,0,120,0,330,133,360,0,195,266,480,266,375,0,240,266,180,0,300,0,495,0,180,266,165,0,450,266,240,413,23,0,75,133,330,0,480,266,150,0,375,133,285,133,300,0,225,0,510,0,210,673,266,0,270,133,45,266,210,413,39,266,120,266,255,0,360,133,465,266,420,0,420,266,345,266,105,133,420,266,390,0,90,266,465,1465998790
0,105,0,435,904,51,0,405,133,345,133,405,133,90,133,390,133,30,266,270,0,135,133,240,413,67,0,255,902,21,266,435,133,165,133,315,0,390,133,105,0,345,906,126,903,69,133,435,879,144,266,405,133,210,266,135,266,45,266,225,266,450,133,450,856,105,133,375,266,495,266,330,413,55,133,195,0,465,0,315,133,120,133,255,0,60,0,165,266,195,133,225,266,360,133,480,0,30,0,150,0,285,133,495,895,87,133,270,266,30,903,36,133,135,133,180,0,120,0,330,133,360,0,195,266,480,900,162,0,240,266,180,0,300,0,495,0,180,266,165,0,450,266,240,413,23,0,75,133,330,0,480,266,150,0,375,133,285,133,300,0,225,0,510,0,210,674,266,0,270,133,45,266,210,413,39,266,120,266,255,0,360,133,465,266,420,0,420,266,345,266,105,133,420,266,390,0,90,266,465,1465998805
0,105,0,435,904,51,0,405,133,345,133,405,133,90,133,390,929,209,266,270,0,135,133,240,413,67,0,255,902,21,266,435,133,165,133,315,0,390,133,105,0,345,906,126,903,69,133,435,879,144,266,405,133,210,910,178,266,45,266,225,266,450,133,450,856,105,133,375,266,495,414,85,413,55,133,195,0,465,0,315,133,120,133,255,0,60,0,165,266,195,133,225,266,360,133,480,0,30,0,150,0,285,133,495,895,87,133,270,266,30,903,36,133,135,133,180,0,120,0,330,133,360,0,195,266,480,900,162,0,240,266,180,0,300,0,495,0,180,266,165,0,450,266,240,413,23,0,75,133,330,0,480,266,150,0,375,133,285,133,300,0,225,0,510,0,210,674,266,0,270,676,294,266,210,413,39,266,120,266,255,0,360,133,465,266,420,0,420,675,280,266,105,133,420,266,390,0,90,266,465,1465998820
0,105,0,435,904,51,0,405,133,345,133,405,133,90,133,390,913,195,266,270,0,135,133,240,413,67,0,255,902,21,266,435,133,165,133,315,0,390,133,105,0,345,906,126,903,69,133,435,879,144,266,405,133,210,910,178,266,45,266,225,266,450,133,450,856,105,133,375,266,495,414,85,413,55,133,195,0,465,0,315,133,120,133,255,0,60,0,165,266,195,133,225,266,360,133,480,0,30,0,150,0,285,133,495,895,87,133,270,266,30,903,36,133,135,133,180,0,120,0,330,133,360,0,195,266,480,900,162,0,240,266,180,0,300,0,495,0,180,266,165,0,450,266,240,413,23,0,75,133,330,0,480,266,150,0,375,133,285,133,300,0,225,0,510,0,210,674,266,0,270,676,294,266,210,413,39,266,120,266,255,0,360,133,465,266,420,0,420,675,280,266,105,133,420,266,390,0,90,266,465,1465998835
0,105,0,435,904,51,0,405,133,345,133,405,133,90,133,390,913,195,266,270,0,135,133,240,413,67,0,255,902,21,266,435,133,165,133,315,0,390,133,105,0,345,906,126,903,69,133,435,879,144,266,405,133,210,910,178,266,45,266,225,266,450,133,450,856,105,133,375,266,495,414,85,413,55,133,195,0,465,0,315,133,120,133,255,0,60,0,165,266,195,906,211,266,360,133,480,0,30,0,150,0,285,133,495,895,87,133,270,266,30,903,36,133,135,133,180,0,120,0,330,133,360,0,195,266,480,900,162,0,240,266,180,0,300,0,495,0,180,266,165,0,450,266,240,413,23,0,75,133,330,0,480,266,150,0,375,133,285,133,300,0,225,0,510,0,210,674,266,0,270,676,294,266,210,413,39,266,120,266,255,0,360,133,465,266,420,0,420,675,280,266,105,133,420,266,390,0,90,266,465,1465998850
0,105,0,435,904,51,0,405,133,345,133,405,133,90,133,390,913,195,266,270,0,135,133,240,413,67,0,255,902,21,266,435,133,165,133,315,0,390,133,105,0,345,906,126,903,69,133,435,879,144,266,405,133,210,910,178,266,45,266,225,266,450,133,450,856,105,133,375,266,495,414,85,413,55,133,195,0,465,0,315,133,120,133,255,0,60,0,165,266,195,906,211,266,360,133,480,0,30,0,150,0,285,133,495,895,87,133,270,266,30,903,36,133,135,133,180,0,120,0,330,133,360,0,195,266,480,900,162,0,240,266,180,0,300,0,495,0,180,266,165,0,450,266,240,413,23,0,75,133,330,0,480,266,150,0,375,133,285,133,300,0,225,0,510,0,210,674,266,0,270,676,294,266,210,413,39,266,120,266,255,0,360,133,465,266,420,0,420,675,280,266,105,133,420,266,390,0,90,266,465,1465998865
