0,3*15+15,0,13*15+15,0,15*15+15,0,33*15+15,0,28*15+15,133,(57-34)*15+15,266,(83-67)*15+15,266,(78-67)*15+15,0,25*15+15,0,2*15+15,133,(64-34)*15+15,266,(68-67)*15+15,133,(43-34)*15+15,0,11*15+15,133,(53-34)*15+15,266,(97-67)*15+15,0,22*15+15,0,20*15+15,133,(50-34)*15+15,133,(39-34)*15+15,266,(72-67)*15+15,0,21*15+15,0,30*15+15,133,(36-34)*15+15,133,(62-34)*15+15,133,(46-34)*15+15,0,7*15+15,133,(34-34)*15+15,266,(92-67)*15+15,266,(79-67)*15+15,0,31*15+15,133,(42-34)*15+15,266,(85-67)*15+15,133,(52-34)*15+15,133,(41-34)*15+15,266,(89-67)*15+15,0,27*15+15,133,(44-34)*15+15,266,(81-67)*15+15,0,9*15+15,266,(80-67)*15+15,133,(54-34)*15+15,133,(55-34)*15+15,266,(82-67)*15+15,133,(51-34)*15+15,266,(76-67)*15+15,133,(63-34)*15+15,0,14*15+15,0,0*15+15,266,(84-67)*15+15,266,(98-67)*15+15,0,4*15+15,133,(48-34)*15+15,266,(93-67)*15+15,266,(70-67)*15+15,0,12*15+15,266,(99-67)*15+15,133,(65-34)*15+15,0,26*15+15,133,(59-34)*15+15,266,(77-67)*15+15,0,23*15+15,266,(87-67)*15+15,0,5*15+15,0,16*15+15,266,(86-67)*15+15,133,(38-34)*15+15,133,(35-34)*15+15,133,(37-34)*15+15,266,(94-67)*15+15,133,(66-34)*15+15,133,(61-34)*15+15,266,(75-67)*15+15,0,19*15+15,133,(45-34)*15+15,133,(60-34)*15+15,0,1*15+15,266,(90-67)*15+15,266,(91-67)*15+15,266,(73-67)*15+15,266,(96-67)*15+15,133,(49-34)*15+15,0,32*15+15,133,(58-34)*15+15,133,(40-34)*15+15,0,8*15+15,266,(67-67)*15+15,266,(74-67)*15+15,0,18*15+15,0,6*15+15,0,24*15+15,0,29*15+15,0,10*15+15,0,17*15+15,133,(47-34)*15+15,266,(71-67)*15+15,266,(95-67)*15+15,266,(88-67)*15+15,133,(56-34)*15+15,266,(69-67)*15+15,1477718678
0,60,0,210,0,240,0,510,0,435,133,360,266,255,266,180,0,390,0,45,133,465,266,30,133,150,0,180,133,300,266,465,0,345,0,315,133,255,133,90,266,90,0,330,0,465,133,45,133,435,133,195,0,120,133,15,266,390,266,195,0,480,133,135,266,285,133,285,133,120,266,345,0,420,133,165,266,225,0,150,266,210,133,315,133,330,266,240,133,270,266,150,133,450,0,225,0,15,266,270,266,480,0,75,133,225,266,405,266,60,0,195,266,495,133,480,0,405,133,390,266,165,0,360,266,315,0,90,0,255,266,300,133,75,133,30,133,60,266,420,133,495,133,420,266,135,0,300,133,180,133,405,0,30,266,360,266,375,266,105,266,450,133,240,0,495,133,375,133,105,0,135,266,15,266,120,0,285,0,105,0,375,0,450,0,165,0,270,133,210,266,75,266,435,266,330,133,345,266,45,1477718732
0,60,0,210,0,240,0,510,0,435,133,360,266,255,266,180,0,390,0,45,133,465,266,30,133,150,0,180,133,300,266,465,0,345,0,315,133,255,133,90,266,90,0,330,0,465,133,45,133,435,133,195,0,120,133,15,266,390,266,195,0,480,133,135,266,285,133,285,133,120,266,345,0,420,133,165,266,225,0,150,266,210,133,315,133,330,266,240,133,270,266,150,133,450,0,225,0,15,266,270,266,480,0,75,133,225,266,405,266,60,0,195,266,495,133,480,0,405,133,390,266,165,0,360,266,315,0,90,0,255,266,300,133,75,133,30,133,60,266,420,133,495,133,420,266,135,0,300,133,180,133,405,0,30,266,360,266,375,266,105,266,450,449,211,0,495,133,375,133,105,0,135,266,15,266,120,0,285,0,105,0,375,0,450,0,165,0,270,133,210,266,75,266,435,266,330,133,345,266,45,1477718751
0,60,0,210,0,240,0,510,0,435,133,360,266,255,266,180,0,390,0,45,133,465,266,30,133,150,0,180,133,300,266,465,0,345,0,315,133,255,133,90,266,90,0,330,0,465,133,45,133,435,133,195,0,120,451,118,266,390,266,195,0,480,133,135,266,285,133,285,133,120,266,345,0,420,133,165,266,225,0,150,266,210,133,315,133,330,266,240,133,270,266,150,133,450,0,225,0,15,266,270,266,480,0,75,457,181,266,405,266,60,0,195,266,495,133,480,0,405,133,390,266,165,0,360,266,315,0,90,0,255,266,300,133,75,133,30,133,60,266,420,133,495,133,420,266,135,0,300,133,180,133,405,0,30,266,360,266,375,266,105,266,450,832,365,0,495,133,375,133,105,0,135,266,15,266,120,0,285,0,105,0,375,0,450,0,165,0,270,133,210,266,75,266,435,266,330,133,345,266,45,1477718762
0,60,0,210,0,240,0,510,0,435,133,360,266,255,266,180,0,390,0,45,133,465,266,30,133,150,0,180,133,300,266,465,0,345,0,315,133,255,133,90,266,90,0,330,0,465,133,45,133,435,133,195,0,120,442,145,266,390,266,195,0,480,133,135,266,285,133,285,133,120,266,345,0,420,133,165,266,225,0,150,266,210,133,315,133,330,266,240,133,270,266,150,133,450,0,225,867,153,266,270,266,480,0,75,457,181,266,405,266,60,0,195,266,495,133,480,0,405,133,390,266,165,0,360,266,315,0,90,0,255,266,300,133,75,133,30,133,60,266,420,133,495,133,420,266,135,0,300,133,180,133,405,828,182,266,360,266,375,266,105,266,450,846,301,0,495,133,375,133,105,0,135,266,15,266,120,0,285,0,105,0,375,0,450,0,165,0,270,133,210,266,75,266,435,266,330,133,345,266,45,1477718777
748,432,0,210,0,240,0,510,0,435,133,360,266,255,266,180,0,390,0,45,133,465,266,30,133,150,0,180,133,300,266,465,0,345,0,315,133,255,133,90,266,90,0,330,0,465,133,45,133,435,133,195,0,120,442,145,266,390,266,195,0,480,133,135,266,285,133,285,133,120,266,345,0,420,133,165,266,225,0,150,266,210,133,315,133,330,266,240,133,270,266,150,133,450,0,225,867,153,266,270,266,480,0,75,457,181,266,405,266,60,0,195,266,495,133,480,0,405,133,390,266,165,0,360,266,315,0,90,0,255,266,300,133,75,133,30,133,60,266,420,133,495,133,420,266,135,0,300,133,180,133,405,845,177,266,360,266,375,266,105,266,450,846,301,0,495,133,375,133,105,0,135,266,15,266,120,0,285,0,105,0,375,0,450,0,165,0,270,133,210,266,75,266,435,266,330,133,345,266,45,1477718792
748,432,0,210,0,240,0,510,0,435,133,360,266,255,266,180,0,390,0,45,133,465,266,30,133,150,0,180,133,300,266,465,0,345,0,315,133,255,133,90,266,90,0,330,0,465,133,45,133,435,133,195,0,120,442,145,266,390,266,195,0,480,133,135,266,285,133,285,133,120,266,345,0,420,133,165,266,225,0,150,266,210,133,315,133,330,266,240,133,270,266,150,133,450,0,225,867,153,266,270,266,480,0,75,457,181,266,405,266,60,0,195,266,495,133,480,0,405,133,390,266,165,0,360,266,315,0,90,0,255,266,300,133,75,133,30,133,60,266,420,133,495,133,420,266,135,0,300,133,180,133,405,845,177,847,191,826,288,266,105,266,450,846,301,0,495,133,375,133,105,0,135,266,15,266,120,0,285,0,105,0,375,0,450,0,165,0,270,133,210,266,75,266,435,266,330,133,345,266,45,1477718811
748,432,0,210,0,240,0,510,0,435,133,360,266,255,266,180,0,390,0,45,133,465,266,30,133,150,0,180,133,300,266,465,0,345,0,315,133,255,133,90,266,90,0,330,0,465,133,45,133,435,133,195,0,120,442,145,266,390,266,195,0,480,133,135,266,285,133,285,133,120,266,345,0,420,133,165,266,225,0,150,266,210,133,315,133,330,266,240,133,270,266,150,133,450,0,225,814,137,266,270,266,480,0,75,457,181,266,405,266,60,0,195,266,495,133,480,0,405,133,390,266,165,0,360,266,315,0,90,0,255,266,300,133,75,133,30,133,60,266,420,133,495,133,420,266,135,0,300,133,180,133,405,845,177,847,191,902,261,266,105,266,450,903,276,0,495,133,375,133,105,0,135,266,15,266,120,0,285,0,105,0,375,0,450,0,165,0,270,133,210,266,75,266,435,266,330,133,345,266,45,1477718822
748,432,0,210,0,240,0,510,0,435,133,360,266,255,266,180,0,390,0,45,133,465,266,30,133,150,0,180,422,189,266,465,0,345,0,315,133,255,133,90,266,90,0,330,0,465,133,45,133,435,133,195,0,120,442,145,266,390,266,195,0,480,133,135,266,285,133,285,133,120,266,345,0,420,133,165,266,225,0,150,266,210,133,315,133,330,266,240,133,270,266,150,133,450,0,225,865,153,266,270,266,480,0,75,457,181,266,405,266,60,0,195,266,495,133,480,0,405,133,390,266,165,0,360,266,315,0,90,0,255,266,300,133,75,133,30,133,60,266,420,133,495,133,420,266,135,0,300,133,180,133,405,787,230,785,216,902,261,266,105,266,450,903,276,0,495,133,375,133,105,0,135,266,15,266,120,0,285,0,105,0,375,0,450,0,165,0,270,133,210,266,75,266,435,266,330,133,345,266,45,1477718837
748,432,0,210,0,240,0,510,0,435,133,360,266,255,266,180,0,390,0,45,133,465,266,30,133,150,0,180,444,160,266,465,0,345,0,315,328,190,133,90,266,90,0,330,0,465,133,45,133,435,133,195,0,120,442,145,266,390,266,195,0,480,133,135,266,285,133,285,133,120,266,345,0,420,133,165,266,225,0,150,266,210,133,315,133,330,266,240,133,270,266,150,133,450,0,225,865,153,266,270,266,480,0,75,457,181,266,405,266,60,0,195,266,495,133,480,0,405,133,390,266,165,0,360,514,350,0,90,0,255,544,222,133,75,133,30,133,60,266,420,133,495,133,420,266,135,0,300,133,180,133,405,787,230,785,216,902,261,266,105,266,450,903,276,0,495,133,375,133,105,0,135,266,15,266,120,0,285,0,105,0,375,0,450,0,165,0,270,133,210,266,75,266,435,266,330,133,345,266,45,1477718852
767,513,0,210,0,240,0,510,0,435,133,360,266,255,266,180,0,390,0,45,133,465,266,30,133,150,0,180,444,160,266,465,0,345,0,315,546,128,133,90,266,90,0,330,0,465,133,45,133,435,133,195,0,120,442,145,266,390,266,195,0,480,133,135,266,285,638,490,133,120,266,345,0,420,133,165,266,225,0,150,266,210,133,315,133,330,266,240,133,270,266,150,133,450,0,225,865,153,266,270,266,480,0,75,457,181,266,405,266,60,0,195,266,495,133,480,0,405,133,390,266,165,0,360,514,350,0,90,0,255,544,222,133,75,133,30,133,60,266,420,133,495,133,420,266,135,0,300,133,180,133,405,787,230,785,216,902,261,266,105,266,450,903,276,0,495,133,375,133,105,0,135,266,15,266,120,0,285,0,105,0,375,0,450,0,165,0,270,133,210,266,75,266,435,266,330,133,345,266,45,1477718871
