133,(51-34)*15+15,266,(90-67)*15+15,133,(62-34)*15+15,0,17*15+15,0,33*15+15,133,(65-34)*15+15,133,(37-34)*15+15,266,(98-67)*15+15,266,(91-67)*15+15,133,(48-34)*15+15,0,28*15+15,0,16*15+15,266,(97-67)*15+15,266,(77-67)*15+15,266,(82-67)*15+15,133,(41-34)*15+15,133,(44-34)*15+15,133,(42-34)*15+15,0,26*15+15,133,(60-34)*15+15,0,15*15+15,0,31*15+15,266,(72-67)*15+15,0,24*15+15,266,(96-67)*15+15,0,13*15+15,133,(55-34)*15+15,266,(68-67)*15+15,0,29*15+15,133,(57-34)*15+15,133,(54-34)*15+15,266,(75-67)*15+15,266,(89-67)*15+15,266,(73-67)*15+15,266,(87-67)*15+15,266,(76-67)*15+15,133,(38-34)*15+15,266,(78-67)*15+15,0,14*15+15,133,(66-34)*15+15,0,6*15+15,0,25*15+15,0,12*15+15,133,(59-34)*15+15,266,(74-67)*15+15,266,(86-67)*15+15,266,(79-67)*15+15,133,(34-34)*15+15,133,(47-34)*15+15,0,22*15+15,266,(95-67)*15+15,0,18*15+15,266,(92-67)*15+15,133,(50-34)*15+15,266,(81-67)*15+15,266,(80-67)*15+15,133,(63-34)*15+15,133,(35-34)*15+15,266,(70-67)*15+15,0,2*15+15,0,23*15+15,0,4*15+15,266,(83-67)*15+15,133,(64-34)*15+15,133,(46-34)*15+15,0,27*15+15,0,11*15+15,266,(71-67)*15+15,0,30*15+15,133,(53-34)*15+15,0,0*15+15,0,7*15+15,133,(45-34)*15+15,0,3*15+15,133,(43-34)*15+15,0,20*15+15,266,(88-67)*15+15,0,1*15+15,133,(56-34)*15+15,133,(49-34)*15+15,266,(67-67)*15+15,0,5*15+15,266,(93-67)*15+15,266,(85-67)*15+15,0,8*15+15,133,(40-34)*15+15,0,10*15+15,266,(69-67)*15+15,0,19*15+15,266,(84-67)*15+15,133,(36-34)*15+15,133,(61-34)*15+15,266,(99-67)*15+15,0,21*15+15,133,(52-34)*15+15,133,(58-34)*15+15,266,(94-67)*15+15,133,(39-34)*15+15,0,9*15+15,0,32*15+15,1465219377
133,270,266,360,133,435,0,270,0,510,133,480,133,60,266,480,266,375,133,225,0,435,0,255,266,465,266,165,266,240,133,120,133,165,133,135,0,405,133,405,0,240,0,480,266,90,0,375,266,450,0,210,133,330,266,30,0,450,133,360,133,315,266,135,266,345,266,105,266,315,266,150,133,75,266,180,0,225,133,495,0,105,0,390,0,195,133,390,266,120,266,300,266,195,133,15,133,210,0,345,266,435,0,285,266,390,133,255,266,225,266,210,133,450,133,30,266,60,0,45,0,360,0,75,266,255,133,465,133,195,0,420,0,180,266,75,0,465,133,300,0,15,0,120,133,180,0,60,133,150,0,315,266,330,0,30,133,345,133,240,266,15,0,90,266,405,266,285,0,135,133,105,0,165,266,45,0,300,266,270,133,45,133,420,266,495,0,330,133,285,133,375,266,420,133,90,0,150,0,495,1465219392
133,270,266,360,133,435,0,270,0,510,133,480,133,60,266,480,266,375,133,225,0,435,0,255,266,465,266,165,266,240,133,120,133,165,133,135,0,405,133,405,0,240,0,480,266,90,0,375,266,450,0,210,133,330,266,30,0,450,133,360,133,315,266,135,266,345,266,105,266,315,266,150,133,75,266,180,0,225,133,495,0,105,0,390,0,195,133,390,266,120,266,300,266,195,133,15,133,210,0,345,266,435,0,285,266,390,133,255,266,225,266,210,133,450,133,30,266,60,0,45,0,360,0,75,266,255,133,465,133,195,0,420,0,180,266,75,0,465,133,300,652,60,0,120,133,180,0,60,133,150,0,315,266,330,671,497,133,345,133,240,266,15,0,90,266,405,266,285,0,135,133,105,0,165,266,45,0,300,266,270,133,45,133,420,266,495,0,330,133,285,133,375,266,420,133,90,0,150,0,495,1465219407
133,270,266,360,133,435,0,270,0,510,133,480,133,60,266,480,266,375,133,225,0,435,0,255,266,465,266,165,266,240,133,120,133,165,133,135,0,405,133,405,0,240,0,480,266,90,0,375,266,450,0,210,133,330,266,30,0,450,133,360,133,315,266,135,266,345,266,105,266,315,266,150,133,75,266,180,0,225,133,495,0,105,0,390,0,195,133,390,266,120,266,300,266,195,133,15,133,210,0,345,266,435,0,285,266,390,133,255,266,225,266,210,133,450,133,30,266,60,661,448,0,360,0,75,266,255,133,465,133,195,0,420,0,180,266,75,0,465,133,300,652,60,0,120,133,180,823,269,133,150,0,315,266,330,677,339,133,345,133,240,266,15,0,90,266,405,266,285,0,135,133,105,0,165,266,45,0,300,266,270,133,45,133,420,266,495,0,330,133,285,133,375,266,420,133,90,0,150,0,495,1465219422
133,270,266,360,133,435,0,270,0,510,133,480,133,60,266,480,266,375,133,225,0,435,0,255,266,465,266,165,266,240,133,120,133,165,133,135,0,405,133,405,0,240,0,480,266,90,0,375,266,450,0,210,133,330,266,30,0,450,133,360,133,315,266,135,266,345,266,105,266,315,266,150,133,75,266,180,0,225,133,495,0,105,0,390,0,195,133,390,266,120,266,300,266,195,133,15,133,210,0,345,266,435,0,285,266,390,133,255,266,225,266,210,133,450,133,30,266,60,661,448,0,360,653,32,266,255,133,465,133,195,0,420,0,180,266,75,0,465,133,300,652,60,0,120,133,180,816,263,133,150,0,315,266,330,677,339,133,345,133,240,266,15,655,404,266,405,266,285,0,135,133,105,0,165,266,45,0,300,266,270,133,45,133,420,266,495,0,330,133,285,133,375,266,420,133,90,0,150,0,495,1465219437
133,270,266,360,133,435,0,270,0,510,133,480,133,60,266,480,266,375,133,225,0,435,0,255,266,465,266,165,266,240,133,120,133,165,133,135,0,405,133,405,0,240,0,480,266,90,0,375,266,450,0,210,133,330,266,30,0,450,133,360,133,315,266,135,266,345,266,105,266,315,266,150,133,75,266,180,0,225,133,495,669,128,0,390,0,195,133,390,266,120,266,300,266,195,133,15,133,210,0,345,266,435,0,285,266,390,133,255,266,225,266,210,133,450,133,30,266,60,661,448,0,360,653,32,266,255,133,465,133,195,0,420,0,180,266,75,0,465,133,300,652,60,790,289,133,180,816,263,133,150,0,315,266,330,677,339,133,345,133,240,266,15,665,476,266,405,266,285,0,135,133,105,0,165,266,45,0,300,266,270,133,45,133,420,266,495,0,330,133,285,133,375,266,420,133,90,0,150,0,495,1465219452
133,270,266,360,133,435,0,270,0,510,133,480,133,60,266,480,266,375,133,225,0,435,0,255,266,465,266,165,266,240,133,120,133,165,133,135,0,405,133,405,0,240,0,480,266,90,0,375,266,450,0,210,133,330,266,30,0,450,133,360,133,315,266,135,266,345,266,105,266,315,266,150,133,75,266,180,0,225,133,495,656,92,0,390,0,195,133,390,266,120,266,300,266,195,133,15,133,210,0,345,266,435,0,285,266,390,133,255,266,225,266,210,133,450,133,30,266,60,661,448,0,360,653,32,266,255,133,465,133,195,0,420,0,180,266,75,0,465,133,300,652,60,790,289,133,180,816,263,133,150,0,315,266,330,677,339,133,345,133,240,266,15,665,476,266,405,266,285,661,311,133,105,534,268,266,45,0,300,266,270,133,45,133,420,266,495,0,330,133,285,133,375,266,420,133,90,510,284,0,495,1465219467
133,270,266,360,133,435,0,270,0,510,133,480,133,60,266,480,266,375,133,225,0,435,0,255,266,465,266,165,266,240,133,120,133,165,133,135,0,405,133,405,0,240,0,480,266,90,0,375,266,450,0,210,133,330,266,30,0,450,133,360,133,315,266,135,266,345,266,105,266,315,266,150,133,75,266,180,0,225,133,495,656,92,0,390,842,363,133,390,266,120,266,300,266,195,133,15,133,210,0,345,266,435,0,285,266,390,133,255,266,225,266,210,133,450,133,30,266,60,661,448,0,360,653,32,266,255,133,465,133,195,0,420,846,126,266,75,0,465,133,300,652,60,790,289,133,180,816,263,133,150,0,315,266,330,674,384,133,345,133,240,266,15,665,476,266,405,266,285,661,311,133,105,488,200,266,45,0,300,266,270,133,45,133,420,266,495,0,330,133,285,133,375,266,420,133,90,510,284,0,495,1465219482
133,270,266,360,133,435,0,270,0,510,133,480,133,60,266,480,266,375,133,225,0,435,0,255,266,465,266,165,266,240,133,120,133,165,133,135,0,405,133,405,0,240,0,480,266,90,0,375,266,450,792,107,133,330,266,30,0,450,133,360,133,315,266,135,266,345,266,105,266,315,266,150,133,75,266,180,504,399,133,495,656,92,0,390,842,363,133,390,266,120,266,300,266,195,133,15,133,210,0,345,266,435,0,285,266,390,133,255,266,225,266,210,133,450,133,30,266,60,661,448,0,360,653,32,266,255,133,465,133,195,0,420,846,126,266,75,0,465,133,300,652,60,790,289,133,180,816,263,133,150,0,315,266,330,674,384,133,345,133,240,266,15,665,476,266,405,266,285,654,327,133,105,488,200,266,45,0,300,266,270,133,45,133,420,266,495,0,330,133,285,133,375,266,420,133,90,510,284,0,495,1465219497
133,270,266,360,133,435,0,270,0,510,133,480,133,60,266,480,266,375,133,225,0,435,781,419,266,465,266,165,266,240,133,120,133,165,133,135,0,405,133,405,574,246,0,480,266,90,0,375,266,450,792,107,133,330,266,30,0,450,133,360,133,315,266,135,266,345,266,105,266,315,266,150,133,75,266,180,509,436,133,495,656,92,0,390,842,363,133,390,266,120,266,300,266,195,133,15,133,210,0,345,266,435,0,285,266,390,133,255,266,225,266,210,133,450,133,30,266,60,661,448,0,360,653,32,266,255,133,465,133,195,0,420,846,126,266,75,0,465,133,300,652,60,790,289,133,180,816,263,133,150,0,315,266,330,674,384,133,345,133,240,266,15,665,476,266,405,266,285,654,327,133,105,488,200,266,45,0,300,266,270,133,45,133,420,266,495,0,330,133,285,133,375,266,420,133,90,510,284,0,495,1465219512
133,270,266,360,133,435,810,433,0,510,133,480,133,60,266,480,266,375,133,225,0,435,779,340,266,465,266,165,266,240,133,120,133,165,133,135,0,405,133,405,574,246,0,480,266,90,0,375,266,450,792,107,133,330,266,30,0,450,133,360,133,315,266,135,266,345,266,105,266,315,266,150,133,75,266,180,509,436,133,495,656,92,0,390,842,363,133,390,266,120,266,300,266,195,133,15,133,210,0,345,266,435,871,152,266,390,133,255,266,225,266,210,133,450,133,30,266,60,661,448,0,360,653,32,266,255,133,465,133,195,0,420,846,126,266,75,0,465,133,300,652,60,790,289,133,180,816,263,133,150,0,315,266,330,674,384,133,345,133,240,266,15,665,476,266,405,266,285,654,327,133,105,488,200,266,45,0,300,266,270,133,45,133,420,266,495,0,330,133,285,133,375,266,420,133,90,510,284,0,495,1465219527
