266,(94-67)*15+15,0,9*15+15,266,(77-67)*15+15,133,(39-34)*15+15,0,22*15+15,266,(84-67)*15+15,0,21*15+15,0,26*15+15,0,25*15+15,133,(47-34)*15+15,266,(76-67)*15+15,266,(83-67)*15+15,0,29*15+15,266,(70-67)*15+15,133,(62-34)*15+15,133,(43-34)*15+15,0,23*15+15,0,18*15+15,266,(89-67)*15+15,133,(53-34)*15+15,0,4*15+15,133,(44-34)*15+15,266,(91-67)*15+15,266,(68-67)*15+15,0,5*15+15,0,31*15+15,0,14*15+15,0,16*15+15,133,(65-34)*15+15,0,27*15+15,133,(35-34)*15+15,266,(98-67)*15+15,133,(54-34)*15+15,0,15*15+15,133,(60-34)*15+15,133,(52-34)*15+15,266,(75-67)*15+15,0,28*15+15,133,(41-34)*15+15,266,(71-67)*15+15,133,(38-34)*15+15,133,(46-34)*15+15,0,32*15+15,266,(88-67)*15+15,0,11*15+15,133,(40-34)*15+15,133,(49-34)*15+15,0,20*15+15,133,(50-34)*15+15,266,(72-67)*15+15,0,12*15+15,133,(45-34)*15+15,0,17*15+15,266,(69-67)*15+15,133,(42-34)*15+15,133,(34-34)*15+15,0,7*15+15,266,(73-67)*15+15,133,(59-34)*15+15,0,1*15+15,266,(90-67)*15+15,0,6*15+15,0,24*15+15,266,(67-67)*15+15,133,(36-34)*15+15,266,(79-67)*15+15,0,33*15+15,133,(66-34)*15+15,266,(95-67)*15+15,266,(99-67)*15+15,266,(87-67)*15+15,133,(57-34)*15+15,266,(93-67)*15+15,266,(96-67)*15+15,266,(78-67)*15+15,133,(63-34)*15+15,266,(80-67)*15+15,0,3*15+15,266,(85-67)*15+15,0,30*15+15,266,(97-67)*15+15,0,19*15+15,0,8*15+15,133,(58-34)*15+15,266,(74-67)*15+15,0,13*15+15,266,(92-67)*15+15,0,10*15+15,133,(61-34)*15+15,266,(82-67)*15+15,133,(56-34)*15+15,133,(37-34)*15+15,133,(51-34)*15+15,266,(86-67)*15+15,0,2*15+15,133,(55-34)*15+15,133,(64-34)*15+15,133,(48-34)*15+15,266,(81-67)*15+15,0,0*15+15,1465215417
842,65,0,150,800,489,133,90,0,345,649,145,696,399,0,405,0,390,133,210,736,53,696,83,0,450,266,60,133,435,133,150,0,360,0,285,824,493,133,300,0,75,133,165,266,375,266,30,0,90,0,480,0,225,501,531,750,89,718,456,133,30,266,480,133,315,0,240,133,405,133,285,645,52,0,435,796,115,266,75,133,75,133,195,0,495,716,498,0,180,133,105,133,240,0,315,133,255,266,90,0,195,133,180,0,270,641,259,133,135,133,15,710,288,472,84,133,390,0,30,765,521,0,105,0,375,266,15,133,45,266,195,0,510,133,495,266,435,266,495,266,315,133,360,266,405,266,450,266,180,133,450,533,127,0,60,515,61,607,154,525,37,0,300,439,54,585,177,527,151,0,210,754,414,0,165,133,420,266,240,133,345,133,60,133,270,701,268,0,45,133,330,449,25,591,130,623,290,0,15,1465215602
842,65,0,150,800,489,133,90,0,345,649,145,696,399,0,405,0,390,133,210,736,53,696,83,0,450,266,60,133,435,133,150,0,360,0,285,824,493,133,300,0,75,133,165,266,375,266,30,0,90,0,480,0,225,501,531,750,89,718,456,133,30,266,480,133,315,0,240,133,405,133,285,645,52,0,435,796,115,266,75,133,75,133,195,0,495,716,498,0,180,133,105,133,240,0,315,133,255,266,90,0,195,133,180,0,270,641,259,133,135,133,15,710,288,472,84,133,390,0,30,765,521,0,105,0,375,266,15,133,45,266,195,0,510,133,495,266,435,266,495,266,315,133,360,266,405,266,450,266,180,133,450,533,127,0,60,515,61,607,154,525,37,0,300,439,54,585,177,527,151,0,210,754,414,0,165,133,420,266,240,133,345,133,60,133,270,701,268,0,45,725,354,463,28,591,130,623,290,0,15,1465215617
842,65,0,150,800,489,133,90,0,345,649,145,696,399,0,405,0,390,133,210,736,53,696,83,0,450,266,60,133,435,133,150,0,360,0,285,824,493,133,300,0,75,133,165,266,375,266,30,0,90,0,480,0,225,627,529,750,89,718,456,133,30,266,480,133,315,0,240,133,405,133,285,645,52,0,435,796,115,266,75,133,75,133,195,0,495,716,498,0,180,133,105,133,240,0,315,133,255,674,446,0,195,133,180,0,270,641,259,466,523,133,15,710,288,472,84,133,390,0,30,765,521,0,105,0,375,266,15,133,45,266,195,0,510,133,495,266,435,266,495,266,315,133,360,266,405,266,450,266,180,133,450,533,127,0,60,515,61,607,154,525,37,0,300,439,54,585,177,527,151,0,210,754,414,0,165,133,420,266,240,133,345,133,60,133,270,701,268,0,45,725,354,463,28,591,130,623,290,0,15,1465215632
842,65,0,150,800,489,651,70,0,345,649,145,696,399,0,405,0,390,133,210,736,53,741,113,0,450,266,60,133,435,133,150,0,360,0,285,824,493,133,300,0,75,133,165,266,375,266,30,0,90,0,480,0,225,627,529,757,77,718,456,133,30,266,480,133,315,0,240,133,405,133,285,645,52,0,435,796,115,266,75,133,75,133,195,0,495,716,498,0,180,582,88,133,240,0,315,133,255,674,446,0,195,133,180,0,270,641,259,466,523,463,551,710,288,472,84,133,390,0,30,765,521,0,105,0,375,266,15,133,45,266,195,0,510,133,495,266,435,266,495,266,315,133,360,266,405,266,450,266,180,133,450,533,127,0,60,515,61,607,154,525,37,0,300,439,54,585,177,527,151,0,210,754,414,0,165,133,420,266,240,133,345,133,60,133,270,701,268,0,45,725,354,463,28,591,130,623,290,0,15,1465215647
838,64,0,150,800,489,651,70,0,345,679,223,696,399,0,405,0,390,133,210,736,53,719,79,0,450,266,60,133,435,133,150,0,360,0,285,864,508,133,300,0,75,133,165,266,375,266,30,0,90,0,480,0,225,627,529,757,77,718,456,133,30,266,480,133,315,0,240,133,405,133,285,645,52,0,435,788,50,266,75,133,75,133,195,0,495,716,498,0,180,582,88,133,240,0,315,133,255,674,446,0,195,133,180,0,270,641,259,466,523,463,551,710,288,472,84,133,390,0,30,765,521,0,105,0,375,266,15,133,45,266,195,0,510,133,495,266,435,266,495,266,315,133,360,266,405,266,450,266,180,133,450,533,127,0,60,515,61,607,154,525,37,0,300,439,54,585,177,527,151,0,210,754,414,0,165,133,420,266,240,133,345,133,60,133,270,701,268,0,45,725,354,463,28,591,130,623,290,0,15,1465215662
838,64,0,150,800,489,651,70,0,345,679,223,696,399,0,405,0,390,133,210,736,53,719,79,0,450,266,60,133,435,133,150,754,396,0,285,864,508,133,300,0,75,133,165,266,375,266,30,0,90,0,480,0,225,627,529,757,77,718,456,133,30,266,480,133,315,0,240,133,405,133,285,645,52,0,435,788,50,266,75,133,75,133,195,0,495,717,530,0,180,582,88,133,240,0,315,133,255,674,446,0,195,133,180,0,270,641,259,466,523,463,551,710,288,472,84,133,390,0,30,856,527,0,105,0,375,266,15,133,45,266,195,0,510,133,495,266,435,266,495,266,315,133,360,266,405,266,450,266,180,133,450,533,127,0,60,515,61,607,154,525,37,0,300,439,54,585,177,527,151,0,210,754,414,0,165,133,420,266,240,133,345,133,60,133,270,701,268,0,45,725,354,463,28,591,130,623,290,0,15,1465215677
838,64,0,150,800,489,651,70,0,345,679,223,696,399,0,405,0,390,133,210,736,53,719,79,0,450,266,60,133,435,133,150,754,396,0,285,864,508,133,300,0,75,133,165,266,375,266,30,0,90,0,480,0,225,627,529,757,77,718,456,133,30,266,480,133,315,0,240,133,405,133,285,645,52,0,435,788,50,266,75,133,75,133,195,0,495,717,530,0,180,582,88,133,240,0,315,133,255,674,446,0,195,133,180,0,270,641,259,466,523,463,551,630,193,472,84,133,390,0,30,856,527,0,105,0,375,266,15,133,45,266,195,555,290,133,495,266,435,266,495,266,315,133,360,266,405,266,450,266,180,133,450,533,127,0,60,515,61,607,154,525,37,0,300,439,54,585,177,527,151,0,210,754,414,0,165,133,420,266,240,133,345,133,60,133,270,474,199,0,45,725,354,463,28,591,130,623,290,0,15,1465215692
838,64,0,150,800,489,651,70,0,345,679,223,696,399,0,405,0,390,133,210,736,53,719,79,0,450,266,60,133,435,133,150,754,396,0,285,864,508,133,300,0,75,133,165,266,375,266,30,0,90,0,480,0,225,627,529,757,77,718,456,133,30,266,480,133,315,0,240,133,405,133,285,645,52,0,435,788,50,266,75,133,75,133,195,0,495,717,530,0,180,582,88,133,240,0,315,133,255,674,446,0,195,133,180,0,270,641,259,466,523,463,551,676,112,472,84,133,390,0,30,856,527,0,105,0,375,266,15,133,45,266,195,555,290,133,495,266,435,266,495,266,315,133,360,266,405,266,450,266,180,133,450,495,133,0,60,515,61,467,143,525,37,0,300,439,54,467,128,497,149,0,210,754,414,0,165,133,420,266,240,133,345,133,60,133,270,474,199,0,45,725,354,463,28,559,120,623,290,0,15,1465215707
838,64,0,150,800,489,651,70,0,345,679,223,696,399,0,405,0,390,133,210,736,53,719,79,0,450,714,34,133,435,133,150,754,396,0,285,864,508,133,300,0,75,133,165,266,375,266,30,0,90,0,480,0,225,627,529,757,77,718,456,133,30,266,480,133,315,0,240,133,405,133,285,645,52,0,435,788,50,266,75,133,75,133,195,0,495,717,530,0,180,582,88,133,240,0,315,738,104,674,446,0,195,133,180,0,270,641,259,466,523,463,551,676,112,472,84,133,390,0,30,856,527,0,105,0,375,266,15,133,45,266,195,555,290,133,495,266,435,266,495,266,315,133,360,266,405,266,450,266,180,133,450,495,133,0,60,515,61,467,143,525,37,0,300,439,54,469,167,497,149,0,210,754,414,0,165,133,420,266,240,133,345,133,60,133,270,611,112,0,45,725,354,463,28,559,120,623,290,0,15,1465215722
838,64,0,150,800,489,651,70,0,345,679,223,696,399,0,405,0,390,133,210,736,53,719,79,0,450,722,33,133,435,133,150,754,396,0,285,864,508,133,300,0,75,133,165,266,375,266,30,0,90,0,480,0,225,627,529,757,77,718,456,133,30,760,93,133,315,0,240,133,405,133,285,645,52,0,435,788,50,266,75,133,75,133,195,0,495,717,530,0,180,582,88,133,240,0,315,859,41,674,446,0,195,133,180,0,270,641,259,466,523,463,551,676,112,472,84,133,390,0,30,856,527,0,105,0,375,266,15,133,45,266,195,555,290,133,495,266,435,266,495,266,315,133,360,266,405,266,450,266,180,133,450,495,133,0,60,515,61,467,143,525,37,0,300,439,54,469,167,497,149,0,210,754,414,0,165,133,420,266,240,133,345,133,60,133,270,611,112,0,45,725,354,463,28,559,120,623,290,0,15,1465215737
791,34,0,150,800,489,651,70,0,345,679,223,696,399,0,405,0,390,133,210,736,53,719,79,0,450,722,33,133,435,133,150,754,396,0,285,864,508,133,300,0,75,133,165,266,375,266,30,0,90,0,480,0,225,627,529,757,77,718,456,840,82,762,97,133,315,0,240,133,405,133,285,645,52,0,435,788,54,266,75,133,75,133,195,0,495,717,530,0,180,582,88,133,240,0,315,859,41,674,446,0,195,133,180,0,270,641,259,466,523,463,551,676,112,472,84,133,390,0,30,856,527,0,105,0,375,266,15,133,45,266,195,555,290,133,495,266,435,266,495,266,315,133,360,266,405,266,450,266,180,133,450,495,133,0,60,515,61,467,143,525,37,0,300,439,54,469,167,497,149,0,210,754,414,0,165,133,420,266,240,133,345,133,60,133,270,611,112,0,45,725,354,463,28,559,120,623,290,0,15,1465215752
791,34,0,150,800,489,651,70,0,345,679,223,696,399,0,405,0,390,133,210,736,53,718,86,0,450,722,33,133,435,638,134,754,396,0,285,864,508,133,300,0,75,465,497,266,375,266,30,0,90,0,480,0,225,627,529,757,77,718,456,840,82,762,97,133,315,0,240,133,405,133,285,645,52,0,435,788,54,266,75,133,75,133,195,0,495,717,530,0,180,582,88,133,240,0,315,859,41,674,446,0,195,133,180,0,270,641,259,466,523,463,551,676,112,472,84,133,390,0,30,856,527,0,105,0,375,266,15,133,45,266,195,555,290,133,495,266,435,266,495,266,315,133,360,266,405,266,450,266,180,133,450,495,133,0,60,515,61,467,143,525,37,0,300,439,54,469,167,497,149,0,210,754,414,0,165,133,420,266,240,133,345,133,60,133,270,611,112,0,45,725,354,463,28,559,120,623,290,0,15,1465215767
791,34,0,150,800,489,651,70,0,345,679,223,696,399,0,405,0,390,133,210,736,53,718,86,0,450,722,33,133,435,638,134,754,396,0,285,864,508,133,300,0,75,465,497,266,375,266,30,0,90,0,480,0,225,627,529,757,77,718,456,840,82,762,97,133,315,0,240,133,405,133,285,645,52,0,435,788,54,266,75,133,75,133,195,0,495,717,530,0,180,582,88,133,240,0,315,859,41,674,446,0,195,133,180,0,270,641,259,466,523,463,551,676,112,472,84,133,390,0,30,856,527,0,105,0,375,266,15,133,45,266,195,555,290,133,495,266,435,266,495,266,315,133,360,266,405,266,450,266,180,133,450,495,133,457,122,515,61,467,143,525,37,0,300,439,54,469,167,497,149,0,210,754,414,0,165,133,420,266,240,133,345,133,60,444,211,611,112,504,92,725,354,463,28,559,120,623,290,0,15,1465215782
791,34,0,150,800,489,651,70,0,345,679,223,696,399,0,405,0,390,133,210,736,53,718,86,0,450,722,33,133,435,638,134,754,396,0,285,864,508,133,300,0,75,465,497,266,375,266,30,0,90,0,480,0,225,627,529,757,77,718,456,840,82,762,97,133,315,0,240,133,405,133,285,645,52,0,435,788,54,266,75,133,75,133,195,0,495,717,530,0,180,582,88,133,240,0,315,859,41,674,446,0,195,133,180,0,270,641,259,466,523,463,551,676,112,534,26,133,390,0,30,856,527,0,105,0,375,266,15,133,45,266,195,555,290,133,495,266,435,266,495,266,315,133,360,266,405,266,450,266,180,133,450,495,133,457,122,524,44,467,143,420,89,0,300,422,54,469,167,497,149,0,210,754,414,0,165,133,420,266,240,133,345,133,60,444,211,611,112,432,72,725,354,463,28,559,120,623,290,0,15,1465215797
791,34,0,150,800,489,651,70,0,345,679,223,696,399,0,405,0,390,133,210,736,53,718,86,0,450,722,33,133,435,638,134,754,396,0,285,864,508,133,300,0,75,465,497,266,375,266,30,0,90,0,480,0,225,627,529,757,77,718,456,840,82,762,97,133,315,0,240,133,405,133,285,645,52,0,435,788,54,266,75,133,75,133,195,0,495,717,530,0,180,582,88,133,240,0,315,859,41,674,446,0,195,133,180,0,270,641,259,466,523,463,551,676,112,534,26,133,390,0,30,856,527,0,105,0,375,266,15,133,45,266,195,555,290,133,495,266,435,266,495,266,315,133,360,266,405,266,450,266,180,133,450,417,128,419,108,524,44,463,130,420,89,0,300,422,54,411,147,464,146,0,210,754,414,0,165,133,420,266,240,133,345,133,60,489,167,611,112,432,72,725,354,463,28,559,120,623,290,0,15,1465215813
791,34,0,150,800,489,651,70,0,345,679,223,696,399,0,405,0,390,133,210,736,53,718,86,0,450,722,33,133,435,638,134,754,396,0,285,864,508,133,300,0,75,465,497,266,375,266,30,0,90,0,480,0,225,627,529,757,77,710,522,840,82,762,97,133,315,0,240,133,405,133,285,645,52,0,435,788,54,601,440,133,75,133,195,0,495,875,459,0,180,582,88,133,240,0,315,859,41,674,446,0,195,133,180,0,270,641,259,466,523,463,551,676,112,534,26,133,390,0,30,856,527,0,105,0,375,266,15,133,45,266,195,555,290,133,495,266,435,266,495,266,315,133,360,266,405,266,450,266,180,133,450,417,128,419,108,524,44,463,130,420,89,0,300,422,54,411,147,464,146,0,210,754,414,0,165,133,420,266,240,133,345,133,60,489,167,611,112,432,72,725,354,463,28,559,120,623,290,0,15,1465215828
791,34,0,150,800,489,651,70,0,345,679,223,696,399,0,405,0,390,133,210,736,53,718,86,0,450,722,33,519,549,638,134,754,396,0,285,864,508,133,300,0,75,465,497,266,375,266,30,0,90,0,480,0,225,627,529,757,77,710,522,840,82,762,97,133,315,0,240,133,405,133,285,645,52,0,435,788,54,601,440,133,75,133,195,0,495,875,459,0,180,582,88,133,240,0,315,859,41,674,446,0,195,133,180,0,270,641,259,466,523,463,551,676,112,534,26,133,390,0,30,856,527,0,105,0,375,266,15,133,45,266,195,555,290,133,495,266,435,266,495,266,315,133,360,266,405,266,450,266,180,133,450,417,128,419,108,524,44,463,130,420,89,0,300,422,54,411,147,464,146,0,210,754,414,0,165,133,420,266,240,133,345,133,60,489,167,611,112,432,72,623,378,463,28,559,120,623,290,0,15,1465215843
791,34,0,150,800,489,651,70,0,345,679,223,696,399,0,405,468,463,133,210,736,53,718,86,0,450,722,33,519,549,638,134,754,396,0,285,864,508,133,300,0,75,465,497,266,375,266,30,0,90,0,480,0,225,627,529,757,77,710,522,840,82,762,97,133,315,0,240,133,405,133,285,648,54,0,435,788,54,601,440,133,75,133,195,0,495,875,459,0,180,582,88,133,240,0,315,859,41,674,446,0,195,133,180,0,270,641,259,466,523,463,551,676,112,534,26,133,390,0,30,856,527,0,105,0,375,266,15,133,45,266,195,555,290,133,495,266,435,266,495,266,315,133,360,266,405,266,450,266,180,133,450,417,128,419,108,524,44,463,130,420,89,576,35,422,54,411,147,464,146,0,210,754,414,0,165,133,420,266,240,133,345,133,60,489,167,611,112,432,72,623,378,463,28,559,120,623,290,0,15,1465215858
791,34,0,150,800,489,651,70,0,345,679,223,696,399,0,405,468,463,133,210,736,53,718,86,0,450,722,33,519,549,638,134,754,396,0,285,864,508,133,300,0,75,465,497,266,375,266,30,0,90,0,480,0,225,627,529,757,77,710,522,840,82,762,97,133,315,0,240,133,405,133,285,648,54,0,435,788,54,601,440,133,75,133,195,0,495,875,459,0,180,582,88,133,240,0,315,859,41,674,446,0,195,133,180,0,270,641,259,466,523,463,551,676,112,534,26,133,390,0,30,856,527,0,105,0,375,266,15,133,45,266,195,555,290,133,495,266,435,266,495,266,315,133,360,266,405,266,450,266,180,133,450,417,128,419,108,524,44,463,130,420,89,576,35,422,54,411,147,464,146,0,210,754,414,0,165,133,420,266,240,133,345,133,60,489,167,611,112,432,72,623,378,463,28,559,120,623,290,525,318,1465215873
