266,(90-67)*15+15,133,(51-34)*15+15,133,(50-34)*15+15,133,(53-34)*15+15,0,16*15+15,133,(52-34)*15+15,0,25*15+15,0,22*15+15,266,(98-67)*15+15,266,(74-67)*15+15,266,(80-67)*15+15,133,(46-34)*15+15,266,(76-67)*15+15,266,(79-67)*15+15,266,(83-67)*15+15,0,27*15+15,0,18*15+15,266,(81-67)*15+15,0,5*15+15,266,(95-67)*15+15,266,(91-67)*15+15,133,(57-34)*15+15,133,(49-34)*15+15,266,(89-67)*15+15,133,(55-34)*15+15,133,(40-34)*15+15,133,(37-34)*15+15,0,7*15+15,266,(68-67)*15+15,266,(82-67)*15+15,133,(44-34)*15+15,0,15*15+15,0,24*15+15,266,(72-67)*15+15,133,(34-34)*15+15,133,(47-34)*15+15,266,(96-67)*15+15,0,26*15+15,266,(94-67)*15+15,133,(62-34)*15+15,266,(87-67)*15+15,133,(63-34)*15+15,133,(35-34)*15+15,266,(77-67)*15+15,133,(39-34)*15+15,266,(71-67)*15+15,0,6*15+15,266,(86-67)*15+15,133,(64-34)*15+15,0,14*15+15,0,2*15+15,266,(99-67)*15+15,0,29*15+15,266,(92-67)*15+15,0,21*15+15,0,11*15+15,266,(93-67)*15+15,0,0*15+15,266,(67-67)*15+15,133,(66-34)*15+15,0,13*15+15,266,(97-67)*15+15,266,(84-67)*15+15,133,(54-34)*15+15,0,3*15+15,266,(75-67)*15+15,133,(56-34)*15+15,0,28*15+15,0,12*15+15,133,(36-34)*15+15,266,(69-67)*15+15,0,9*15+15,266,(73-67)*15+15,133,(45-34)*15+15,0,19*15+15,0,17*15+15,0,10*15+15,133,(65-34)*15+15,133,(48-34)*15+15,266,(78-67)*15+15,133,(59-34)*15+15,0,20*15+15,133,(58-34)*15+15,0,30*15+15,266,(85-67)*15+15,0,32*15+15,133,(61-34)*15+15,133,(41-34)*15+15,266,(70-67)*15+15,266,(88-67)*15+15,133,(38-34)*15+15,0,33*15+15,133,(42-34)*15+15,0,23*15+15,0,1*15+15,133,(60-34)*15+15,0,8*15+15,0,31*15+15,133,(43-34)*15+15,0,4*15+15,1473237513
266,360,133,270,133,255,133,300,0,255,133,285,0,390,0,345,266,480,266,120,266,210,133,195,266,150,266,195,266,255,0,420,0,285,266,225,0,90,266,435,266,375,133,360,133,240,266,345,133,330,133,105,133,60,0,120,266,30,266,240,133,165,0,240,0,375,266,90,133,15,133,210,266,450,0,405,266,420,133,435,266,315,133,450,133,30,266,165,133,90,266,75,0,105,266,300,133,465,0,225,663,140,266,495,0,450,266,390,0,330,0,180,266,405,406,21,266,15,133,495,0,210,266,465,266,270,133,315,183,98,266,135,133,345,0,435,0,195,133,45,266,45,0,150,266,105,133,180,0,300,0,270,0,165,133,480,133,225,266,180,133,390,0,315,133,375,0,465,266,285,0,495,133,420,133,120,266,60,266,330,133,75,0,510,133,135,0,360,692,116,133,405,0,135,0,480,133,150,0,75,1473237542
266,360,133,270,133,255,133,300,0,255,133,285,0,390,0,345,266,480,266,120,266,210,133,195,266,150,266,195,266,255,0,420,0,285,266,225,653,271,266,435,266,375,133,360,133,240,266,345,133,330,133,105,133,60,546,316,266,30,266,240,133,165,0,240,0,375,266,90,133,15,133,210,266,450,0,405,266,420,133,435,266,315,133,450,133,30,266,165,133,90,266,75,944,361,266,300,133,465,0,225,663,140,266,495,0,450,266,390,0,330,0,180,266,405,406,21,266,15,133,495,0,210,266,465,266,270,133,315,448,241,266,135,133,345,0,435,0,195,133,45,266,45,0,150,266,105,133,180,0,300,0,270,0,165,133,480,133,225,266,180,133,390,0,315,133,375,0,465,266,285,0,495,133,420,133,120,266,60,266,330,133,75,0,510,133,135,0,360,692,116,133,405,809,134,0,480,133,150,551,262,1473237557
266,360,133,270,133,255,133,300,0,255,133,285,0,390,0,345,266,480,266,120,266,210,133,195,266,150,266,195,266,255,0,420,0,285,266,225,653,271,266,435,266,375,133,360,133,240,266,345,133,330,133,105,133,60,546,316,266,30,266,240,133,165,0,240,0,375,266,90,133,15,133,210,266,450,0,405,266,420,133,435,266,315,133,450,133,30,266,165,133,90,266,75,944,361,266,300,133,465,0,225,663,140,266,495,0,450,266,390,0,330,732,348,266,405,406,21,266,15,133,495,0,210,266,465,266,270,133,315,448,241,266,135,133,345,0,435,158,220,133,45,266,45,658,455,266,105,133,180,0,300,0,270,731,183,133,480,133,225,266,180,133,390,0,315,133,375,0,465,266,285,0,495,133,420,133,120,266,60,266,330,133,75,0,510,133,135,0,360,692,116,133,405,809,134,0,480,133,150,551,262,1473237572
266,360,133,270,133,255,133,300,0,255,133,285,0,390,0,345,266,480,266,120,266,210,133,195,266,150,266,195,266,255,0,420,0,285,266,225,653,271,266,435,266,375,133,360,133,240,266,345,133,330,133,105,133,60,546,316,266,30,266,240,133,165,0,240,0,375,266,90,133,15,133,210,266,450,0,405,266,420,133,435,266,315,133,450,133,30,266,165,133,90,266,75,944,361,266,300,133,465,0,225,663,140,266,495,0,450,266,390,0,330,732,348,266,405,406,21,266,15,133,495,824,277,266,465,266,270,133,315,448,241,266,135,133,345,0,435,801,444,133,45,266,45,658,455,266,105,133,180,0,300,0,270,731,183,133,480,133,225,266,180,133,390,0,315,133,375,0,465,266,285,0,495,133,420,133,120,266,60,266,330,133,75,0,510,133,135,0,360,692,116,133,405,809,134,0,480,133,150,551,262,1473237587
266,360,133,270,133,255,133,300,0,255,133,285,0,390,0,345,266,480,266,120,266,210,133,195,266,150,266,195,266,255,0,420,0,285,266,225,653,271,266,435,266,375,133,360,133,240,266,345,133,330,133,105,133,60,546,316,266,30,266,240,133,165,0,240,0,375,266,90,133,15,133,210,266,450,0,405,266,420,133,435,266,315,133,450,133,30,266,165,133,90,266,75,944,361,266,300,133,465,-1,225,663,140,266,495,0,450,266,390,0,330,732,348,266,405,406,21,266,15,133,495,824,277,266,465,266,270,133,315,448,241,266,135,133,345,0,435,801,444,133,45,266,45,658,455,266,105,133,180,0,300,0,270,731,183,133,480,133,225,266,180,133,390,0,315,133,375,0,465,266,285,0,495,133,420,133,120,266,60,266,330,133,75,0,510,133,135,0,360,692,116,133,405,809,134,0,480,133,150,551,262,1473237602
266,360,133,270,133,255,133,300,0,255,133,285,0,390,0,345,266,480,266,120,266,210,133,195,266,150,266,195,266,255,0,420,0,285,266,225,582,308,266,435,266,375,133,360,133,240,266,345,133,330,133,105,133,60,572,233,266,30,266,240,133,165,0,240,0,375,266,90,133,15,133,210,266,450,0,405,266,420,133,435,266,315,133,450,133,30,266,165,133,90,266,75,944,361,266,300,133,465,446,342,663,140,266,495,0,450,266,390,0,330,732,348,266,405,406,21,266,15,133,495,824,277,266,465,266,270,133,315,413,328,266,135,133,345,0,435,801,444,133,45,266,45,658,455,266,105,133,180,0,300,0,270,731,183,133,480,133,225,266,180,133,390,0,315,133,375,0,465,266,285,0,495,133,420,133,120,266,60,266,330,133,75,0,510,133,135,0,360,692,116,133,405,809,134,0,480,133,150,516,341,1473237617
