Row,Var1,Var2
Sadness,-227.990209696702,169.225594184406
Anger,-380,90.0010440204631
Happiness,191.20023507928,116.982152940884
Fear,-344.750546346863,120.853831480022
Surprise,298.945875466271,-23.3419437641605
Disgust,-337.748220346947,43.9601923037023
Pride,123.331882719635,131.354882527897
Gratefulness,247.270897760846,70.1348940066035
LongingFor,344.888222848558,69.7156734253311
Despise,-337.88275960979,81.1340587080232
Despair,-264.333030045955,105.056256347057
Shame,-308.265161798568,109.538873873788
Guilt,-297.83152528993,80.8065717239719
Disappointment,-286.578048752482,135.279387485136
Pleasure,223.241731413903,127.087902126316
Nervousness,-254.530952383782,17.0319618049368
Winning,147.06162918852,110.90220812233
Losing,-307.973135415407,178.197108978487
Succeeding,212.769126870793,88.6945469881729
Failing,-316.999583121541,147.426890219791
Wanting,194.09346628877,166.029982450096
Craving,213.712167772407,194.144686119099
Waiting,300.821962667632,-176.245834936536
SelfRegulation,209.930783021966,-161.023108415197
SocialLonging,357.145587679275,90.0010440204632
Speaking,176.813752427931,-43.7992564811116
Laughing,180.545355008608,84.4702451346031
Love,250.172502537187,104.634428581316
SocialExclusion,-251.701211419489,137.527334189898
Togetherness,285.999856670219,112.322389278795
Loneliness,-219.267050738169,131.171210768576
Ostracism,-271.048488928304,168.458644596987
ClosenessInSocialRelations,260.381074164139,134.55231381742
Hostility,-371.153013570266,61.1366590297363
Sympathy,283.504065753703,73.3544806689714
Anxiety,-261.029223137378,69.6434518071519
Panic,-284.352251370555,39.1285224333456
Stress,-235.686093484564,44.771442433179
Depression,-227.697861589752,93.8195208383135
Mania,-118.852358462821,84.1916877818763
Eating,53.5068275918331,-75.468049576947
Drinking,24.370402256219,-63.573843181896
Hunger,-14.5631276779909,-109.267928884972
Satiation,58.5096273229616,-44.3550575979546
Thirst,-20.8347675070294,-84.2407527771345
Sweating,-69.3817547658147,-40.029390526523
Urinating,7.43918238791152,-9.73051621441843
Defecation,-15.0318105866478,-17.4138084991521
Tiredness,-186.300380986495,18.6659809188802
Vitality,153.452421966768,53.358812427757
Exhaustion,-195.630952624215,46.8098455462357
Breathing,94.4986299222955,-3.72365574646053
Heartbeat,72.5842346311969,24.7692742726256
Drunkenness,-297.085352294813,-112.812735567576
SexualArousal,249.578871001841,185.153062146759
Orgasm,232.221786143312,159.998590905925
Shivering,-214.664495334974,-44.0343636590778
Hangover,-267.083329504407,-103.400160837969
Heartburn,-198.654405923039,-83.8702102929805
Suffocation,-278.026374504781,-31.6435987990626
Relaxation,207.473170059398,48.4483040666875
Sleeping,183.804496953283,8.17767526619149
Thinking,236.829344518808,-76.8745972513754
Remembering,280.350651445631,-128.631935397545
Attending,268.657176041721,-67.9553340381749
Forgetting,260.377039770871,-182.88057777853
Reading,217.015161392918,-42.516526728586
Imagining,201.310360244694,-79.3204483860261
Daydreaming,225.534681741149,11.994285365902
Inferring,252.224734625077,-104.326187031551
Reasoning,221.762182180834,-111.898811351564
Estimating,244.853831324582,-141.61928693664
BeingConscious,256.19206028398,-39.1726385673736
Memorizing,283.30053097262,-95.3417632411909
Recognition,305.741359333576,-65.572325136904
Recollection,311.393092488783,-108.524518368747
HavingFlu,-159.219002061242,-132.190068281196
HavingFever,-184.980989621836,-115.091264135905
HavingStomachFlu,-221.429519659108,-109.750870081618
HavingCold,-158.722429919755,-96.883766544872
HavingHeadache,-235.862473741797,-143.935878190307
FeelingNauseous,-236.246680089614,-78.9233746905886
HavingToothache,-202.693226415933,-141.671191373314
Coughing,-129.896493029148,-113.172839844106
Sneezing,-101.719818571207,-131.28450950262
Aching,-178.634494423536,-163.171595149507
BeingDazzled,133.310088691292,-127.530886591249
Seeing,138.50786057317,-60.5115040610025
Hearing,143.788800935657,-32.2198232044314
FeelingTouch,286.140421532734,158.001375310177
Smelling,104.427806436953,-46.141245299289
Tasting,85.8937433104026,-72.9852445024495
Itching,-132.415924568886,-162.21564033902
Numbness,-153.379266848966,-24.7290547217335
FeelingPain,-212.039519380813,-177.163565889832
Hotness,-77.3862773825946,-65.6450414156961
Coldness,-124.945657522954,-67.9864530188975
Dizziness,-172.482338426511,-59.6113852233529
Movement,128.240920652509,20.3845859973664
Acceleration,-80.140085191253,76.9205005926734
