266,(69-67)*15+15,133,(47-34)*15+15,133,(56-34)*15+15,133,(34-34)*15+15,0,32*15+15,266,(70-67)*15+15,0,29*15+15,133,(59-34)*15+15,133,(36-34)*15+15,266,(79-67)*15+15,133,(45-34)*15+15,0,11*15+15,133,(37-34)*15+15,133,(46-34)*15+15,0,27*15+15,0,6*15+15,0,5*15+15,133,(48-34)*15+15,266,(89-67)*15+15,133,(52-34)*15+15,0,4*15+15,133,(62-34)*15+15,133,(54-34)*15+15,133,(64-34)*15+15,266,(71-67)*15+15,133,(60-34)*15+15,0,15*15+15,266,(76-67)*15+15,266,(83-67)*15+15,266,(88-67)*15+15,133,(50-34)*15+15,133,(35-34)*15+15,133,(55-34)*15+15,266,(86-67)*15+15,0,30*15+15,266,(82-67)*15+15,133,(39-34)*15+15,266,(96-67)*15+15,133,(57-34)*15+15,133,(63-34)*15+15,0,16*15+15,266,(85-67)*15+15,133,(44-34)*15+15,133,(41-34)*15+15,266,(73-67)*15+15,133,(53-34)*15+15,0,2*15+15,133,(40-34)*15+15,0,24*15+15,133,(43-34)*15+15,266,(99-67)*15+15,266,(81-67)*15+15,133,(51-34)*15+15,266,(97-67)*15+15,266,(91-67)*15+15,0,26*15+15,0,3*15+15,0,18*15+15,0,19*15+15,266,(98-67)*15+15,266,(80-67)*15+15,266,(84-67)*15+15,133,(49-34)*15+15,0,13*15+15,0,0*15+15,0,22*15+15,266,(68-67)*15+15,266,(75-67)*15+15,0,8*15+15,266,(77-67)*15+15,266,(78-67)*15+15,0,33*15+15,0,28*15+15,133,(38-34)*15+15,133,(66-34)*15+15,0,1*15+15,266,(67-67)*15+15,0,14*15+15,266,(92-67)*15+15,0,25*15+15,266,(72-67)*15+15,0,9*15+15,133,(61-34)*15+15,266,(93-67)*15+15,0,21*15+15,0,10*15+15,0,12*15+15,266,(95-67)*15+15,266,(74-67)*15+15,266,(87-67)*15+15,0,17*15+15,0,23*15+15,0,31*15+15,133,(42-34)*15+15,0,7*15+15,266,(94-67)*15+15,0,20*15+15,266,(90-67)*15+15,133,(58-34)*15+15,133,(65-34)*15+15,1467024196
266,45,133,210,133,345,133,15,0,495,266,60,0,450,133,390,133,45,266,195,133,180,0,180,133,60,133,195,0,420,0,105,0,90,133,225,266,345,133,285,0,75,133,435,133,315,133,465,266,75,133,405,0,240,266,150,266,255,266,330,133,255,133,30,133,330,266,300,0,465,266,240,133,90,266,450,133,360,133,450,0,255,266,285,133,165,133,120,266,105,133,300,0,45,133,105,0,375,133,150,293,494,266,225,133,270,266,465,266,375,0,405,0,60,0,285,0,300,266,480,266,210,266,270,133,240,0,210,0,15,0,345,266,30,266,135,0,135,266,165,266,180,0,510,0,435,133,75,133,495,0,30,266,15,0,225,266,390,0,390,266,90,0,150,133,420,266,405,0,330,0,165,0,195,266,435,266,120,266,315,0,270,0,360,0,480,133,135,0,120,266,420,0,315,266,360,133,375,133,480,1467024212
266,45,133,210,416,23,133,15,0,495,266,60,0,450,133,390,133,45,266,195,133,180,0,180,133,60,133,195,0,420,0,105,0,90,133,225,266,345,133,285,0,75,133,435,133,315,133,465,266,75,133,405,0,240,266,150,266,255,266,330,133,255,133,30,133,330,266,300,0,465,266,240,133,90,266,450,133,360,133,450,0,255,266,285,133,165,133,120,266,105,133,300,0,45,133,105,0,375,133,150,897,520,266,225,133,270,266,465,266,375,525,80,0,60,0,285,0,300,266,480,266,210,266,270,133,240,0,210,0,15,0,345,266,30,266,135,0,135,266,165,266,180,0,510,0,435,133,75,133,495,0,30,266,15,0,225,266,390,0,390,266,90,0,150,133,420,266,405,0,330,0,165,0,195,266,435,266,120,266,315,0,270,0,360,0,480,133,135,0,120,266,420,0,315,266,360,133,375,133,480,1467024227
266,45,133,210,416,23,133,15,0,495,266,60,0,450,133,390,133,45,266,195,133,180,0,180,133,60,133,195,0,420,0,105,0,90,133,225,266,345,133,285,0,75,133,435,133,315,133,465,266,75,133,405,425,82,266,150,266,255,266,330,133,255,133,30,133,330,266,300,0,465,266,240,133,90,266,450,133,360,133,450,0,255,266,285,133,165,133,120,266,105,133,300,0,45,133,105,0,375,133,150,897,520,266,225,133,270,266,465,266,375,525,80,862,466,0,285,0,300,266,480,266,210,266,270,133,240,0,210,0,15,0,345,266,30,266,135,0,135,266,165,266,180,0,510,0,435,133,75,133,495,0,30,266,15,0,225,266,390,0,390,266,90,0,150,133,420,266,405,0,330,0,165,0,195,266,435,266,120,266,315,0,270,0,360,0,480,133,135,920,454,266,420,0,315,266,360,133,375,133,480,1467024242
266,45,133,210,416,23,133,15,0,495,266,60,0,450,133,390,133,45,266,195,133,180,0,180,133,60,133,195,0,420,0,105,0,90,133,225,266,345,133,285,0,75,133,435,133,315,133,465,519,503,133,405,425,82,266,150,266,255,266,330,133,255,133,30,133,330,266,300,0,465,266,240,133,90,266,450,133,360,133,450,0,255,266,285,133,165,133,120,266,105,133,300,0,45,669,307,0,375,133,150,897,520,266,225,133,270,266,465,266,375,525,80,862,466,0,285,0,300,266,480,266,210,266,270,133,240,0,210,0,15,0,345,266,30,266,135,0,135,266,165,266,180,0,510,0,435,133,75,133,495,0,30,810,432,0,225,511,300,0,390,266,90,0,150,133,420,266,405,0,330,0,165,0,195,266,435,266,120,266,315,0,270,0,360,0,480,133,135,920,454,266,420,0,315,266,360,133,375,133,480,1467024257
266,45,133,210,416,23,133,15,0,495,266,60,0,450,133,390,133,45,266,195,133,180,0,180,133,60,133,195,0,420,0,105,0,90,133,225,266,345,133,285,0,75,133,435,133,315,133,465,519,503,133,405,425,82,266,150,451,470,266,330,133,255,133,30,133,330,266,300,0,465,266,240,133,90,266,450,133,360,133,450,0,255,673,322,133,165,133,120,266,105,133,300,0,45,669,307,0,375,133,150,897,520,266,225,133,270,266,465,266,375,525,80,862,466,0,285,0,300,266,480,266,210,540,450,133,240,0,210,0,15,0,345,266,30,266,135,0,135,266,165,266,180,0,510,0,435,133,75,133,495,0,30,810,432,0,225,816,256,0,390,266,90,0,150,133,420,266,405,0,330,0,165,0,195,266,435,266,120,266,315,0,270,0,360,0,480,133,135,920,454,266,420,0,315,266,360,133,375,133,480,1467024272
266,45,133,210,416,23,133,15,0,495,266,60,0,450,133,390,133,45,266,195,133,180,0,180,133,60,133,195,0,420,0,105,0,90,133,225,266,345,133,285,0,75,133,435,133,315,133,465,519,503,133,405,425,82,450,148,451,470,266,330,133,255,133,30,133,330,266,300,0,465,855,238,133,90,266,450,133,360,133,450,0,255,673,322,133,165,133,120,266,105,133,300,0,45,669,307,0,375,133,150,897,520,266,225,133,270,266,465,266,375,525,80,862,466,0,285,0,300,266,480,608,269,540,450,133,240,0,210,0,15,0,345,266,30,501,117,0,135,611,115,266,180,0,510,0,435,133,75,133,495,0,30,810,432,0,225,816,256,0,390,266,90,0,150,133,420,266,405,0,330,0,165,0,195,266,435,266,120,266,315,0,270,0,360,0,480,133,135,920,454,266,420,0,315,266,360,133,375,133,480,1467024287
266,45,133,210,416,23,133,15,0,495,266,60,0,450,133,390,133,45,266,195,133,180,0,180,133,60,133,195,0,420,0,105,0,90,133,225,266,345,133,285,0,75,133,435,133,315,133,465,519,503,133,405,425,82,450,148,451,470,607,281,133,255,133,30,133,330,266,300,0,465,855,238,133,90,266,450,133,360,133,450,0,255,673,322,133,165,133,120,266,105,133,300,0,45,669,307,0,375,133,150,897,520,614,213,133,270,266,465,266,375,525,80,862,466,0,285,0,300,266,480,608,269,540,450,133,240,0,210,0,15,0,345,266,30,501,117,0,135,611,115,556,235,0,510,0,435,133,75,133,495,0,30,810,432,0,225,816,256,0,390,266,90,0,150,133,420,266,405,0,330,0,165,0,195,266,435,266,120,865,162,0,270,0,360,0,480,133,135,920,454,266,420,0,315,266,360,133,375,133,480,1467024302
266,45,133,210,416,23,133,15,0,495,266,60,0,450,133,390,133,45,266,195,133,180,0,180,133,60,133,195,0,420,0,105,0,90,133,225,266,345,133,285,0,75,133,435,133,315,133,465,519,503,133,405,425,82,450,148,451,470,607,281,133,255,133,30,133,330,266,300,0,465,855,238,133,90,266,450,438,451,133,450,0,255,673,322,133,165,133,120,266,105,133,300,0,45,669,307,0,375,133,150,897,520,614,213,133,270,266,465,266,375,525,80,862,466,0,285,0,300,266,480,608,269,540,450,702,345,0,210,0,15,0,345,266,30,501,117,0,135,611,115,497,183,0,510,0,435,133,75,133,495,0,30,810,432,0,225,816,256,0,390,266,90,0,150,133,420,266,405,0,330,0,165,0,195,266,435,266,120,865,162,0,270,0,360,0,480,133,135,920,454,266,420,0,315,266,360,133,375,133,480,1467024317
266,45,133,210,416,23,133,15,0,495,266,60,0,450,548,228,133,45,266,195,133,180,0,180,133,60,133,195,0,420,0,105,0,90,133,225,266,345,133,285,0,75,133,435,133,315,504,328,519,503,516,291,425,82,450,148,451,470,607,281,133,255,133,30,133,330,266,300,0,465,855,238,133,90,266,450,438,451,133,450,0,255,673,322,133,165,133,120,266,105,133,300,0,45,669,307,0,375,133,150,897,520,614,213,133,270,266,465,266,375,525,80,862,466,0,285,0,300,266,480,608,269,540,450,702,345,0,210,0,15,0,345,266,30,501,117,0,135,611,115,497,183,0,510,0,435,133,75,133,495,0,30,810,432,0,225,816,256,0,390,266,90,0,150,811,508,266,405,0,330,0,165,0,195,266,435,266,120,865,162,0,270,0,360,0,480,133,135,920,454,266,420,0,315,266,360,522,260,133,480,1467024332
266,45,133,210,416,23,133,15,0,495,266,60,0,450,548,228,133,45,266,195,133,180,0,180,133,60,133,195,0,420,0,105,0,90,133,225,266,345,133,285,0,75,695,250,133,315,504,328,519,503,516,291,425,82,450,148,451,470,607,281,133,255,133,30,133,330,266,300,0,465,855,238,133,90,266,450,438,451,729,324,0,255,673,322,133,165,133,120,266,105,133,300,0,45,669,307,0,375,133,150,897,520,614,213,133,270,266,465,266,375,525,80,862,466,0,285,0,300,266,480,608,269,540,450,702,345,0,210,0,15,0,345,266,30,501,117,0,135,611,115,497,183,0,510,0,435,133,75,801,368,0,30,810,432,0,225,816,256,0,390,266,90,0,150,811,508,266,405,0,330,0,165,0,195,266,435,266,120,865,162,0,270,0,360,0,480,133,135,920,454,266,420,0,315,266,360,522,260,133,480,1467024347
