266,(74-67)*15+15,133,(57-34)*15+15,266,(82-67)*15+15,266,(68-67)*15+15,0,16*15+15,266,(81-67)*15+15,266,(78-67)*15+15,266,(87-67)*15+15,0,5*15+15,266,(73-67)*15+15,266,(69-67)*15+15,0,21*15+15,266,(93-67)*15+15,266,(71-67)*15+15,0,13*15+15,133,(47-34)*15+15,266,(85-67)*15+15,266,(90-67)*15+15,0,4*15+15,266,(97-67)*15+15,133,(38-34)*15+15,266,(94-67)*15+15,0,25*15+15,266,(92-67)*15+15,0,33*15+15,133,(34-34)*15+15,0,19*15+15,0,12*15+15,266,(76-67)*15+15,133,(48-34)*15+15,133,(35-34)*15+15,266,(84-67)*15+15,0,15*15+15,266,(67-67)*15+15,133,(59-34)*15+15,266,(88-67)*15+15,133,(44-34)*15+15,266,(96-67)*15+15,133,(60-34)*15+15,133,(49-34)*15+15,0,20*15+15,0,1*15+15,133,(53-34)*15+15,266,(98-67)*15+15,0,28*15+15,266,(83-67)*15+15,0,24*15+15,266,(99-67)*15+15,0,23*15+15,133,(51-34)*15+15,0,2*15+15,0,26*15+15,0,22*15+15,0,3*15+15,133,(36-34)*15+15,133,(45-34)*15+15,266,(89-67)*15+15,266,(75-67)*15+15,266,(91-67)*15+15,0,8*15+15,0,18*15+15,0,32*15+15,133,(40-34)*15+15,133,(54-34)*15+15,0,27*15+15,133,(61-34)*15+15,0,10*15+15,0,6*15+15,133,(56-34)*15+15,0,29*15+15,133,(41-34)*15+15,266,(95-67)*15+15,0,30*15+15,133,(43-34)*15+15,133,(39-34)*15+15,133,(63-34)*15+15,0,0*15+15,266,(79-67)*15+15,133,(58-34)*15+15,266,(77-67)*15+15,266,(86-67)*15+15,266,(80-67)*15+15,266,(70-67)*15+15,133,(52-34)*15+15,133,(64-34)*15+15,133,(62-34)*15+15,0,7*15+15,0,14*15+15,133,(55-34)*15+15,0,17*15+15,133,(46-34)*15+15,133,(42-34)*15+15,0,9*15+15,133,(66-34)*15+15,133,(65-34)*15+15,0,31*15+15,0,11*15+15,266,(72-67)*15+15,133,(50-34)*15+15,133,(37-34)*15+15,1466064851
266,120,133,360,266,240,266,30,0,255,266,225,266,180,266,315,0,90,266,105,266,45,0,330,266,405,266,75,0,210,133,210,266,285,266,360,0,75,266,465,133,75,266,420,0,390,266,390,0,510,133,15,0,300,0,195,266,150,133,225,133,30,266,270,0,240,266,15,133,390,266,330,133,165,266,450,133,405,133,240,0,315,0,30,133,300,266,480,0,435,266,255,0,375,266,495,0,360,133,270,0,45,0,405,0,345,0,60,133,45,133,180,266,345,266,135,266,375,0,135,0,285,0,495,133,105,133,315,0,420,133,420,0,165,0,105,133,345,0,450,133,120,266,435,0,465,133,150,133,90,133,450,0,15,266,195,133,375,266,165,266,300,266,210,266,60,133,285,133,465,133,435,0,120,0,225,133,330,0,270,133,195,133,135,0,150,133,495,133,480,0,480,0,180,266,90,133,255,133,60,1466064902
266,120,133,360,266,240,266,30,0,255,266,225,266,180,266,315,0,90,266,105,266,45,0,330,266,405,266,75,0,210,133,210,266,285,266,360,0,75,266,465,133,75,266,420,0,390,266,390,0,510,133,15,0,300,403,125,266,150,133,225,133,30,266,270,0,240,266,15,133,390,266,330,133,165,266,450,133,405,133,240,0,315,0,30,133,300,266,480,0,435,266,255,0,375,266,495,0,360,133,270,-9,45,0,405,0,345,0,60,133,45,133,180,266,345,266,135,266,375,0,135,0,285,0,495,133,105,133,315,0,420,133,420,0,165,0,105,133,345,0,450,133,120,266,435,0,465,133,150,133,90,133,450,425,22,266,195,133,375,266,165,266,300,266,210,266,60,133,285,133,465,133,435,0,120,0,225,133,330,0,270,133,195,133,135,0,150,133,495,133,480,0,480,0,180,266,90,133,255,133,60,1466064917
266,120,133,360,266,240,266,30,0,255,266,225,266,180,266,315,0,90,266,105,266,45,0,330,266,405,266,75,419,105,133,210,266,285,266,360,0,75,266,465,133,75,266,420,0,390,266,390,0,510,133,15,0,300,420,94,266,150,133,225,133,30,266,270,420,118,266,15,133,390,266,330,133,165,266,450,133,405,133,240,0,315,0,30,133,300,266,480,0,435,266,255,0,375,266,495,0,360,133,270,-9,45,0,405,0,345,0,60,133,45,133,180,266,345,266,135,266,375,0,135,0,285,0,495,133,105,133,315,0,420,133,420,0,165,0,105,133,345,0,450,133,120,266,435,0,465,133,150,133,90,133,450,425,22,266,195,133,375,266,165,266,300,266,210,266,60,133,285,133,465,133,435,0,120,0,225,133,330,0,270,133,195,133,135,0,150,133,495,133,480,0,480,0,180,266,90,133,255,133,60,1466064932
266,120,133,360,266,240,266,30,0,255,266,225,266,180,266,315,0,90,266,105,266,45,0,330,266,405,266,75,419,105,133,210,266,285,266,360,0,75,266,465,133,75,266,420,0,390,266,390,0,510,133,15,413,135,420,94,266,150,133,225,133,30,266,270,415,115,266,15,133,390,266,330,133,165,266,450,133,405,133,240,0,315,0,30,133,300,266,480,0,435,266,255,0,375,266,495,0,360,133,270,-9,45,0,405,0,345,0,60,133,45,133,180,266,345,266,135,266,375,0,135,416,125,0,495,133,105,133,315,0,420,133,420,0,165,0,105,133,345,0,450,133,120,266,435,0,465,133,150,133,90,133,450,425,22,266,195,133,375,266,165,266,300,266,210,266,60,133,285,133,465,133,435,0,120,0,225,133,330,0,270,133,195,133,135,0,150,133,495,133,480,0,480,0,180,266,90,133,255,133,60,1466064947
266,120,133,360,266,240,266,30,0,255,266,225,266,180,266,315,0,90,266,105,266,45,0,330,266,405,266,75,419,105,133,210,266,285,266,360,0,75,266,465,133,75,266,420,0,390,266,390,411,147,133,15,413,135,420,94,266,150,133,225,133,30,266,270,415,115,266,15,133,390,266,330,133,165,266,450,133,405,133,240,0,315,0,30,133,300,266,480,0,435,266,255,0,375,266,495,0,360,133,270,-9,45,0,405,0,345,0,60,416,159,185,183,266,345,266,135,266,375,0,135,416,125,0,495,133,105,133,315,0,420,133,420,0,165,0,105,133,345,0,450,133,120,266,435,0,465,133,150,133,90,133,450,425,22,266,195,133,375,266,165,266,300,266,210,266,60,133,285,133,465,133,435,0,120,0,225,133,330,0,270,133,195,133,135,0,150,133,495,133,480,0,480,0,180,266,90,133,255,133,60,1466064962
266,120,133,360,266,240,266,30,0,255,266,225,266,180,266,315,0,90,266,105,266,45,0,330,266,405,266,75,419,105,133,210,266,285,266,360,0,75,266,465,415,153,266,420,0,390,266,390,411,147,133,15,413,135,420,94,266,150,133,225,133,30,266,270,415,115,266,15,133,390,266,330,133,165,266,450,133,405,133,240,0,315,0,30,133,300,266,480,0,435,266,255,0,375,266,495,0,360,133,270,-9,45,0,405,0,345,0,60,412,173,412,176,266,345,266,135,266,375,0,135,416,125,0,495,133,105,133,315,0,420,133,420,0,165,0,105,133,345,0,450,133,120,266,435,0,465,133,150,133,90,133,450,425,22,266,195,133,375,266,165,266,300,266,210,266,60,133,285,133,465,133,435,0,120,0,225,133,330,0,270,133,195,133,135,0,150,133,495,133,480,0,480,0,180,266,90,133,255,133,60,1466064977
266,120,133,360,266,240,266,30,0,255,266,225,266,180,266,315,0,90,266,105,266,45,0,330,266,405,266,75,419,105,133,210,266,285,266,360,0,75,266,465,415,159,266,420,0,390,266,390,411,147,133,15,413,135,420,94,266,150,412,191,133,30,266,270,415,115,266,15,133,390,266,330,133,165,266,450,133,405,133,240,0,315,0,30,133,300,266,480,0,435,266,255,0,375,266,495,0,360,133,270,-9,45,0,405,0,345,0,60,412,170,416,180,266,345,266,135,266,375,0,135,416,125,0,495,133,105,133,315,0,420,133,420,0,165,0,105,133,345,0,450,133,120,266,435,0,465,133,150,133,90,133,450,425,22,266,195,133,375,266,165,266,300,266,210,266,60,133,285,133,465,133,435,0,120,0,225,133,330,0,270,133,195,133,135,0,150,133,495,133,480,0,480,0,180,266,90,133,255,133,60,1466064992
266,120,133,360,266,240,266,30,0,255,266,225,266,180,266,315,0,90,266,105,266,45,0,330,266,405,266,75,419,105,133,210,266,285,266,360,0,75,266,465,415,159,266,420,0,390,266,390,411,147,133,15,413,135,420,94,266,150,412,191,133,30,266,270,415,115,266,15,133,390,266,330,133,165,266,450,133,405,133,240,0,315,0,30,133,300,266,480,0,435,266,255,0,375,266,495,0,360,133,270,-9,45,0,405,0,345,0,60,412,170,416,180,266,345,266,135,266,375,0,135,416,125,0,495,133,105,133,315,0,420,133,420,0,165,0,105,133,345,0,450,133,120,266,435,0,465,133,150,133,90,133,450,425,22,266,195,133,375,266,165,266,300,266,210,266,60,133,285,133,465,133,435,0,120,0,225,133,330,0,270,133,195,133,135,0,150,133,495,133,480,0,480,0,180,266,90,133,255,133,60,1466065007
266,120,133,360,266,240,266,30,0,255,266,225,266,180,266,315,0,90,266,105,266,45,0,330,266,405,266,75,419,105,133,210,266,285,266,360,0,75,266,465,415,159,266,420,0,390,266,390,411,147,133,15,413,135,420,94,266,150,412,191,133,30,266,270,415,115,266,15,133,390,266,330,133,165,266,450,133,405,133,240,0,315,0,30,133,300,266,480,0,435,266,255,0,375,266,495,0,360,133,270,-9,45,0,405,0,345,0,60,412,170,416,180,266,345,266,135,266,375,0,135,416,125,0,495,133,105,133,315,0,420,133,420,0,165,0,105,133,345,0,450,133,120,266,435,0,465,133,150,133,90,133,450,425,22,266,195,133,375,266,165,266,300,266,210,266,60,133,285,133,465,133,435,0,120,0,225,133,330,332,223,133,195,133,135,0,150,133,495,133,480,0,480,0,180,266,90,133,255,133,60,1466065022
266,120,133,360,266,240,266,30,0,255,266,225,266,180,266,315,0,90,266,105,266,45,0,330,266,405,266,75,419,105,133,210,266,285,266,360,0,75,266,465,415,159,266,420,0,390,266,390,411,147,133,15,413,135,420,94,266,150,412,191,133,30,266,270,415,115,266,15,133,390,266,330,133,165,266,450,133,405,133,240,0,315,0,30,133,300,266,480,0,435,266,255,0,375,266,495,0,360,133,270,-9,45,0,405,0,345,0,60,412,170,416,180,266,345,266,135,266,375,0,135,416,125,0,495,133,105,133,315,0,420,133,420,0,165,0,105,133,345,0,450,133,120,266,435,0,465,133,150,133,90,133,450,425,22,266,195,133,375,266,165,266,300,266,210,266,60,133,285,133,465,133,435,0,120,0,225,133,330,415,203,133,195,133,135,0,150,133,495,133,480,0,480,0,180,266,90,133,255,133,60,1466065037
