133,(64-34)*15+15,133,(50-34)*15+15,0,23*15+15,133,(60-34)*15+15,0,33*15+15,266,(93-67)*15+15,0,5*15+15,0,30*15+15,0,6*15+15,133,(36-34)*15+15,0,14*15+15,0,10*15+15,133,(63-34)*15+15,0,26*15+15,266,(94-67)*15+15,0,19*15+15,133,(43-34)*15+15,133,(39-34)*15+15,266,(84-67)*15+15,266,(72-67)*15+15,0,12*15+15,133,(41-34)*15+15,133,(47-34)*15+15,0,13*15+15,266,(76-67)*15+15,266,(89-67)*15+15,266,(87-67)*15+15,266,(73-67)*15+15,266,(67-67)*15+15,133,(66-34)*15+15,0,25*15+15,0,7*15+15,0,21*15+15,266,(99-67)*15+15,133,(62-34)*15+15,133,(53-34)*15+15,266,(95-67)*15+15,0,28*15+15,133,(42-34)*15+15,133,(45-34)*15+15,133,(37-34)*15+15,266,(90-67)*15+15,133,(61-34)*15+15,266,(81-67)*15+15,266,(88-67)*15+15,266,(97-67)*15+15,133,(35-34)*15+15,266,(68-67)*15+15,0,17*15+15,266,(80-67)*15+15,266,(96-67)*15+15,266,(70-67)*15+15,0,16*15+15,0,22*15+15,133,(44-34)*15+15,133,(54-34)*15+15,266,(69-67)*15+15,133,(48-34)*15+15,0,3*15+15,0,4*15+15,0,15*15+15,133,(59-34)*15+15,0,27*15+15,133,(65-34)*15+15,133,(55-34)*15+15,0,1*15+15,133,(34-34)*15+15,266,(92-67)*15+15,133,(57-34)*15+15,0,2*15+15,133,(56-34)*15+15,266,(75-67)*15+15,133,(51-34)*15+15,266,(86-67)*15+15,0,11*15+15,0,0*15+15,0,32*15+15,133,(40-34)*15+15,266,(78-67)*15+15,0,24*15+15,266,(74-67)*15+15,266,(77-67)*15+15,266,(91-67)*15+15,0,29*15+15,266,(98-67)*15+15,266,(82-67)*15+15,266,(79-67)*15+15,266,(85-67)*15+15,133,(52-34)*15+15,0,9*15+15,133,(58-34)*15+15,0,20*15+15,0,8*15+15,133,(38-34)*15+15,133,(49-34)*15+15,266,(71-67)*15+15,0,18*15+15,133,(46-34)*15+15,0,31*15+15,266,(83-67)*15+15,1470071975
133,465,133,255,0,360,133,405,0,510,266,405,0,90,0,465,0,105,133,45,0,225,0,165,133,450,0,405,266,420,0,300,133,150,133,90,266,270,266,90,0,195,133,120,133,210,0,210,266,150,266,345,266,315,266,105,265,17,133,495,0,390,0,120,0,330,266,495,133,435,133,300,266,435,0,435,133,135,133,180,133,60,266,360,133,420,266,225,266,330,266,465,133,30,266,30,0,270,266,210,266,450,266,60,0,255,0,345,133,165,133,315,266,45,133,225,0,60,0,75,0,240,133,390,0,420,133,480,133,330,0,30,133,15,266,390,133,360,0,45,133,345,266,135,133,270,266,300,0,180,0,15,0,495,133,105,266,180,0,375,266,120,266,165,266,375,0,450,266,480,266,240,266,195,266,285,133,285,0,150,133,375,0,315,0,135,133,75,133,240,266,75,0,285,133,195,0,480,266,255,1470072017
133,465,133,255,0,360,133,405,0,510,266,405,0,90,0,465,0,105,133,45,0,225,0,165,133,450,0,405,266,420,0,300,133,150,133,90,266,270,266,90,0,195,133,120,133,210,0,210,266,150,266,345,266,315,266,105,265,17,133,495,0,390,0,120,0,330,266,495,133,435,133,300,266,435,0,435,133,135,133,180,133,60,266,360,133,420,266,225,266,330,266,465,133,30,266,30,0,270,266,210,266,450,266,60,0,255,0,345,133,165,133,315,266,45,133,225,0,60,0,75,0,240,133,390,0,420,133,480,133,330,0,30,133,15,266,390,133,360,0,45,133,345,266,135,133,270,266,300,0,180,0,15,0,495,133,105,266,180,0,375,266,120,266,165,266,375,0,450,266,480,266,240,266,195,266,285,133,285,0,150,133,375,0,315,0,135,133,75,133,240,266,75,0,285,550,209,0,480,266,255,1470072037
133,465,133,255,0,360,133,405,0,510,266,405,0,90,0,465,0,105,133,45,0,225,0,165,133,450,0,405,266,420,0,300,133,150,133,90,266,270,266,90,0,195,133,120,133,210,0,210,266,150,266,345,266,315,266,105,265,17,133,495,0,390,0,120,0,330,266,495,133,435,133,300,266,435,0,435,133,135,546,198,133,60,266,360,133,420,266,225,266,330,266,465,133,30,266,30,0,270,266,210,266,450,266,60,0,255,0,345,133,165,133,315,266,45,133,225,0,60,0,75,0,240,133,390,0,420,133,480,133,330,0,30,133,15,266,390,133,360,0,45,133,345,266,135,133,270,266,300,0,180,0,15,0,495,133,105,266,180,0,375,266,120,266,165,266,375,0,450,266,480,266,240,266,195,266,285,133,285,0,150,133,375,0,315,0,135,133,75,565,221,266,75,0,285,550,209,0,480,266,255,1470072052
133,465,569,234,0,360,133,405,0,510,266,405,0,90,0,465,0,105,133,45,0,225,0,165,133,450,0,405,286,378,0,300,133,150,133,90,266,270,266,90,0,195,133,120,133,210,0,210,266,150,266,345,266,315,266,105,265,17,133,495,0,390,0,120,0,330,266,495,133,435,133,300,266,435,0,435,133,135,546,198,133,60,266,360,133,420,266,225,266,330,266,465,133,30,266,30,0,270,266,210,266,450,266,60,0,255,0,345,133,165,133,315,266,45,133,225,0,60,0,75,0,240,133,390,0,420,133,480,133,330,0,30,133,15,266,390,133,360,0,45,133,345,266,135,133,270,266,300,0,180,0,15,0,495,133,105,266,180,0,375,266,120,266,165,266,375,0,450,266,480,266,240,266,195,266,285,133,285,0,150,133,375,0,315,0,135,133,75,565,221,266,75,0,285,550,209,0,480,266,255,1470072067
133,465,942,536,0,360,133,405,0,510,266,405,0,90,0,465,0,105,133,45,0,225,0,165,133,450,0,405,500,46,0,300,133,150,133,90,266,270,266,90,0,195,133,120,133,210,0,210,266,150,266,345,266,315,266,105,265,17,133,495,0,390,0,120,0,330,266,495,133,435,133,300,266,435,0,435,133,135,546,198,133,60,266,360,133,420,266,225,266,330,266,465,133,30,266,30,0,270,266,210,266,450,266,60,0,255,0,345,133,165,133,315,266,45,133,225,0,60,0,75,0,240,133,390,0,420,133,480,133,330,0,30,133,15,266,390,133,360,0,45,133,345,266,135,133,270,266,300,0,180,0,15,0,495,133,105,266,180,0,375,266,120,266,165,266,375,0,450,266,480,266,240,266,195,266,285,133,285,0,150,133,375,0,315,0,135,133,75,945,524,266,75,0,285,925,493,0,480,266,255,1470072082
133,465,942,536,0,360,133,405,0,510,266,405,0,90,0,465,0,105,133,45,0,225,0,165,133,450,0,405,567,187,0,300,133,150,133,90,266,270,266,90,0,195,133,120,133,210,0,210,266,150,266,345,266,315,266,105,265,17,133,495,0,390,0,120,0,330,266,495,133,435,133,300,266,435,0,435,133,135,876,464,133,60,266,360,133,420,266,225,266,330,266,465,133,30,266,30,0,270,266,210,266,450,266,60,0,255,0,345,133,165,133,315,266,45,133,225,0,60,0,75,0,240,133,390,0,420,133,480,133,330,0,30,133,15,266,390,133,360,0,45,133,345,266,135,133,270,266,300,0,180,0,15,0,495,133,105,266,180,0,375,266,120,837,571,266,375,0,450,266,480,266,240,266,195,266,285,133,285,0,150,133,375,0,315,0,135,133,75,945,524,266,75,0,285,936,513,0,480,266,255,1470072097
133,465,942,536,0,360,133,405,0,510,266,405,0,90,0,465,0,105,133,45,0,225,0,165,133,450,0,405,567,187,0,300,133,150,133,90,266,270,266,90,0,195,133,120,133,210,0,210,266,150,266,345,266,315,266,105,265,17,133,495,0,390,0,120,0,330,266,495,133,435,133,300,266,435,0,435,133,135,876,464,133,60,266,360,133,420,266,225,266,330,266,465,133,30,266,30,0,270,266,210,266,450,266,60,0,255,0,345,753,360,133,315,266,45,133,225,0,60,0,75,0,240,133,390,0,420,133,480,133,330,0,30,133,15,266,390,133,360,0,45,133,345,266,135,728,20,266,300,0,180,0,15,0,495,133,105,266,180,0,375,266,120,816,515,266,375,0,450,266,480,266,240,266,195,266,285,133,285,0,150,133,375,0,315,0,135,133,75,945,524,266,75,0,285,936,513,0,480,266,255,1470072112
133,465,942,536,0,360,133,405,0,510,266,405,0,90,0,465,0,105,133,45,0,225,0,165,133,450,0,405,567,187,0,300,133,150,133,90,545,156,266,90,0,195,133,120,133,210,0,210,689,447,266,345,266,315,266,105,265,17,133,495,0,390,0,120,0,330,266,495,133,435,133,300,266,435,0,435,133,135,876,464,133,60,266,360,133,420,266,225,266,330,266,465,133,30,266,30,0,270,266,210,266,450,266,60,0,255,0,345,753,360,133,315,266,45,133,225,0,60,0,75,0,240,133,390,0,420,133,480,133,330,0,30,133,15,266,390,133,360,0,45,133,345,266,135,930,14,266,300,0,180,0,15,0,495,133,105,266,180,0,375,266,120,816,515,266,375,0,450,266,480,266,240,266,195,266,285,133,285,0,150,133,375,0,315,0,135,133,75,945,524,266,75,0,285,936,513,0,480,266,255,1470072127
133,465,942,536,0,360,133,405,0,510,266,405,0,90,0,465,0,105,133,45,0,225,0,165,133,450,0,405,567,187,0,300,133,150,133,90,545,156,266,90,0,195,741,346,133,210,0,210,676,430,266,345,266,315,266,105,924,31,133,495,0,390,0,120,0,330,266,495,133,435,133,300,266,435,0,435,133,135,876,464,133,60,266,360,133,420,266,225,266,330,266,465,133,30,266,30,0,270,266,210,266,450,266,60,0,255,0,345,753,360,133,315,266,45,133,225,0,60,0,75,0,240,133,390,0,420,133,480,133,330,0,30,133,15,266,390,133,360,0,45,133,345,266,135,930,14,266,300,0,180,0,15,0,495,133,105,266,180,0,375,266,120,816,515,266,375,0,450,266,480,266,240,266,195,266,285,133,285,0,150,133,375,0,315,0,135,133,75,945,524,266,75,0,285,936,513,0,480,266,255,1470072142
133,465,942,536,0,360,133,405,0,510,266,405,0,90,0,465,0,105,133,45,0,225,0,165,133,450,0,405,567,187,0,300,133,150,133,90,545,156,266,90,0,195,741,346,133,210,0,210,676,430,266,345,266,315,266,105,924,31,133,495,0,390,0,120,0,330,266,495,133,435,133,300,266,435,0,435,133,135,876,464,133,60,266,360,133,420,266,225,266,330,266,465,133,30,266,30,0,270,266,210,266,450,926,47,0,255,0,345,753,360,133,315,497,241,133,225,0,60,0,75,0,240,133,390,0,420,133,480,133,330,0,30,866,11,266,390,133,360,0,45,133,345,266,135,930,14,266,300,0,180,0,15,0,495,133,105,266,180,0,375,266,120,816,515,266,375,0,450,266,480,266,240,266,195,266,285,133,285,0,150,133,375,0,315,0,135,133,75,945,524,266,75,0,285,936,513,0,480,266,255,1470072157
