0,6*15+15,133,(48-34)*15+15,0,33*15+15,133,(39-34)*15+15,133,(61-34)*15+15,0,11*15+15,266,(73-67)*15+15,0,30*15+15,0,24*15+15,0,19*15+15,133,(52-34)*15+15,133,(50-34)*15+15,133,(35-34)*15+15,0,10*15+15,133,(42-34)*15+15,266,(82-67)*15+15,266,(99-67)*15+15,0,14*15+15,0,20*15+15,266,(67-67)*15+15,266,(77-67)*15+15,0,25*15+15,133,(36-34)*15+15,0,31*15+15,133,(49-34)*15+15,266,(95-67)*15+15,0,21*15+15,266,(74-67)*15+15,266,(92-67)*15+15,0,16*15+15,266,(94-67)*15+15,266,(71-67)*15+15,133,(40-34)*15+15,133,(57-34)*15+15,0,27*15+15,133,(60-34)*15+15,266,(93-67)*15+15,133,(43-34)*15+15,133,(64-34)*15+15,0,5*15+15,133,(45-34)*15+15,133,(65-34)*15+15,0,1*15+15,133,(56-34)*15+15,133,(62-34)*15+15,0,13*15+15,0,23*15+15,133,(51-34)*15+15,266,(78-67)*15+15,133,(44-34)*15+15,266,(86-67)*15+15,266,(69-67)*15+15,266,(90-67)*15+15,266,(75-67)*15+15,0,4*15+15,0,3*15+15,0,22*15+15,266,(87-67)*15+15,133,(63-34)*15+15,0,26*15+15,266,(76-67)*15+15,0,29*15+15,266,(96-67)*15+15,0,7*15+15,0,32*15+15,0,12*15+15,0,28*15+15,133,(53-34)*15+15,266,(72-67)*15+15,133,(38-34)*15+15,0,8*15+15,133,(59-34)*15+15,0,17*15+15,266,(83-67)*15+15,0,0*15+15,0,18*15+15,266,(88-67)*15+15,133,(47-34)*15+15,266,(97-67)*15+15,133,(34-34)*15+15,0,15*15+15,133,(46-34)*15+15,133,(55-34)*15+15,133,(54-34)*15+15,266,(80-67)*15+15,266,(70-67)*15+15,266,(81-67)*15+15,266,(84-67)*15+15,0,9*15+15,133,(58-34)*15+15,133,(37-34)*15+15,0,2*15+15,266,(89-67)*15+15,266,(79-67)*15+15,266,(98-67)*15+15,266,(68-67)*15+15,266,(91-67)*15+15,266,(85-67)*15+15,133,(66-34)*15+15,133,(41-34)*15+15,1464610548
0,105,133,225,0,510,133,90,133,420,0,180,266,105,0,465,0,375,0,300,133,285,133,255,133,30,0,165,133,135,266,240,266,495,0,225,0,315,266,15,266,165,0,390,133,45,0,480,133,240,266,435,0,330,266,120,266,390,0,255,266,420,266,75,133,105,133,360,0,420,133,405,266,405,133,150,133,465,0,90,133,180,133,480,586,101,133,345,133,435,0,210,0,360,133,270,266,180,133,165,266,300,266,45,266,360,266,135,0,75,0,60,0,345,266,315,133,450,0,405,266,150,0,450,266,450,0,120,0,495,0,195,0,435,133,300,266,90,133,75,0,135,133,390,0,270,266,255,416,28,0,285,266,330,133,210,266,465,133,15,0,240,133,195,133,330,133,315,266,210,266,60,266,225,266,270,0,150,133,375,133,60,0,45,266,345,266,195,266,480,266,30,266,375,266,285,133,495,133,120,1464610577
0,105,133,225,0,510,133,90,133,420,0,180,266,105,0,465,0,375,0,300,133,285,133,255,133,30,0,165,133,135,266,240,266,495,0,225,0,315,266,15,266,165,0,390,133,45,0,480,133,240,266,435,0,330,266,120,266,390,0,255,266,420,266,75,133,105,133,360,0,420,133,405,266,405,585,468,133,465,0,90,133,180,133,480,637,409,133,345,133,435,0,210,0,360,133,270,266,180,133,165,266,300,266,45,266,360,266,135,0,75,0,60,0,345,266,315,133,450,0,405,266,150,0,450,266,450,0,120,0,495,0,195,0,435,133,300,266,90,133,75,0,135,133,390,0,270,266,255,416,28,0,285,266,330,506,540,266,465,556,532,0,240,133,195,133,330,133,315,266,210,266,60,266,225,266,270,0,150,133,375,133,60,0,45,266,345,266,195,266,480,266,30,266,375,266,285,133,495,133,120,1464610592
0,105,133,225,0,510,133,90,133,420,0,180,266,105,0,465,0,375,0,300,133,285,133,255,133,30,0,165,774,112,266,240,266,495,0,225,0,315,266,15,266,165,0,390,133,45,0,480,133,240,266,435,0,330,728,134,266,390,0,255,266,420,266,75,133,105,133,360,0,420,133,405,266,405,585,468,133,465,0,90,654,376,133,480,637,409,133,345,133,435,0,210,0,360,133,270,266,180,133,165,266,300,266,45,266,360,801,135,0,75,0,60,0,345,266,315,133,450,0,405,266,150,0,450,266,450,0,120,0,495,0,195,0,435,133,300,266,90,133,75,0,135,133,390,0,270,266,255,416,28,0,285,266,330,521,540,266,465,556,532,0,240,579,508,133,330,133,315,266,210,266,60,266,225,266,270,0,150,133,375,133,60,0,45,266,345,266,195,266,480,266,30,266,375,266,285,133,495,133,120,1464610607
0,105,133,225,0,510,133,90,133,420,0,180,266,105,0,465,0,375,0,300,133,285,133,255,133,30,0,165,764,465,266,240,266,495,0,225,0,315,266,15,266,165,0,390,133,45,0,480,133,240,266,435,0,330,844,482,266,390,0,255,266,420,266,75,133,105,133,360,0,420,133,405,266,405,585,468,133,465,0,90,654,376,133,480,637,409,133,345,133,435,0,210,0,360,133,270,266,180,133,165,266,300,266,45,266,360,700,506,0,75,0,60,0,345,266,315,133,450,0,405,266,150,0,450,266,450,0,120,0,495,0,195,0,435,133,300,266,90,133,75,0,135,133,390,0,270,266,255,416,28,0,285,266,330,521,540,266,465,556,532,0,240,579,508,133,330,133,315,266,210,266,60,266,225,266,270,0,150,133,375,133,60,0,45,266,345,266,195,266,480,266,30,266,375,266,285,133,495,133,120,1464610622
0,105,878,502,0,510,133,90,133,420,0,180,266,105,0,465,0,375,0,300,133,285,133,255,133,30,0,165,764,465,266,240,266,495,0,225,0,315,266,15,266,165,0,390,133,45,0,480,865,453,266,435,0,330,844,482,266,390,0,255,266,420,266,75,133,105,133,360,0,420,133,405,266,405,585,468,133,465,0,90,654,376,133,480,637,409,133,345,133,435,0,210,0,360,133,270,266,180,133,165,266,300,266,45,266,360,700,506,0,75,0,60,0,345,266,315,133,450,0,405,266,150,0,450,266,450,0,120,0,495,0,195,0,435,133,300,266,90,133,75,0,135,133,390,0,270,266,255,416,28,0,285,266,330,521,540,266,465,556,532,0,240,579,508,133,330,133,315,266,210,266,60,266,225,266,270,0,150,133,375,133,60,0,45,266,345,561,369,266,480,266,30,266,375,266,285,133,495,133,120,1464610637
0,105,878,502,0,510,133,90,133,420,0,180,266,105,0,465,0,375,0,300,133,285,133,255,133,30,0,165,764,465,266,240,266,495,0,225,0,315,266,15,266,165,0,390,133,45,0,480,865,453,266,435,0,330,844,482,266,390,0,255,266,420,266,75,133,105,133,360,0,420,133,405,266,405,585,468,133,465,0,90,654,376,133,480,637,409,133,345,133,435,0,210,0,360,133,270,541,437,133,165,266,300,266,45,266,360,700,506,0,75,0,60,0,345,731,522,133,450,0,405,266,150,0,450,266,450,0,120,0,495,0,195,0,435,133,300,266,90,133,75,0,135,133,390,0,270,266,255,416,28,0,285,266,330,521,540,266,465,556,532,0,240,579,508,133,330,133,315,266,210,266,60,266,225,266,270,0,150,133,375,133,60,0,45,266,345,709,146,266,480,266,30,266,375,472,517,133,495,133,120,1464610652
0,105,878,502,0,510,133,90,133,420,0,180,266,105,0,465,0,375,0,300,133,285,133,255,133,30,0,165,764,465,266,240,266,495,0,225,0,315,266,15,266,165,0,390,133,45,0,480,865,453,266,435,0,330,844,482,266,390,0,255,266,420,266,75,133,105,133,360,0,420,133,405,266,405,585,468,133,465,0,90,654,376,133,480,637,409,133,345,133,435,0,210,0,360,595,244,541,437,133,165,266,300,266,45,888,491,700,506,0,75,0,60,0,345,731,522,133,450,0,405,266,150,0,450,266,450,0,120,0,495,0,195,0,435,133,300,266,90,133,75,0,135,133,390,0,270,266,255,416,28,0,285,266,330,521,540,266,465,556,532,0,240,579,508,133,330,133,315,266,210,266,60,266,225,266,270,0,150,133,375,133,60,0,45,768,284,709,146,266,480,266,30,266,375,472,517,133,495,133,120,1464610667
0,105,878,502,0,510,133,90,133,420,0,180,266,105,0,465,0,375,0,300,133,285,133,255,133,30,792,513,764,465,266,240,266,495,0,225,0,315,266,15,266,165,0,390,133,45,0,480,865,453,266,435,0,330,844,482,266,390,0,255,266,420,266,75,133,105,133,360,0,420,133,405,838,422,585,468,133,465,0,90,654,376,133,480,637,409,133,345,133,435,0,210,0,360,570,205,541,437,133,165,266,300,266,45,888,491,700,506,0,75,0,60,0,345,731,522,133,450,0,405,266,150,0,450,266,450,0,120,0,495,0,195,0,435,133,300,266,90,133,75,0,135,133,390,0,270,266,255,416,28,0,285,513,484,521,540,266,465,556,532,0,240,579,508,133,330,133,315,266,210,266,60,266,225,266,270,0,150,133,375,133,60,0,45,768,284,709,146,266,480,266,30,266,375,472,517,133,495,133,120,1464610682
0,105,878,502,0,510,133,90,133,420,0,180,266,105,0,465,0,375,0,300,133,285,133,255,133,30,798,489,764,465,266,240,266,495,0,225,0,315,266,15,266,165,0,390,133,45,0,480,865,453,266,435,0,330,844,482,266,390,0,255,266,420,266,75,133,105,133,360,0,420,133,405,838,422,585,468,133,465,0,90,654,376,133,480,637,409,133,345,133,435,0,210,0,360,570,205,541,437,133,165,266,300,266,45,888,491,700,506,0,75,0,60,0,345,731,522,133,450,0,405,266,150,0,450,266,450,0,120,0,495,0,195,0,435,779,444,266,90,133,75,0,135,133,390,0,270,266,255,416,28,0,285,513,484,521,540,266,465,556,532,0,240,579,508,451,562,133,315,266,210,266,60,266,225,266,270,0,150,133,375,133,60,0,45,768,284,709,146,266,480,266,30,266,375,472,517,133,495,133,120,1464610697
0,105,878,502,0,510,133,90,133,420,0,180,266,105,0,465,0,375,0,300,133,285,133,255,133,30,798,489,764,465,266,240,266,495,0,225,0,315,266,15,266,165,0,390,133,45,0,480,865,453,266,435,0,330,844,482,266,390,0,255,266,420,266,75,133,105,133,360,0,420,133,405,838,422,585,468,133,465,0,90,654,376,133,480,637,409,665,350,133,435,0,210,0,360,570,205,541,437,133,165,266,300,266,45,888,491,700,506,0,75,0,60,0,345,731,522,133,450,0,405,266,150,0,450,266,450,0,120,0,495,0,195,0,435,779,444,897,405,133,75,0,135,133,390,0,270,266,255,416,28,0,285,513,484,521,540,266,465,556,532,462,429,579,508,451,562,471,464,266,210,266,60,266,225,266,270,0,150,133,375,133,60,0,45,768,284,709,146,266,480,266,30,266,375,472,517,133,495,133,120,1464610712
