266,(80-67)*15+15,266,(73-67)*15+15,133,(51-34)*15+15,0,28*15+15,0,31*15+15,133,(46-34)*15+15,0,8*15+15,266,(67-67)*15+15,0,29*15+15,133,(58-34)*15+15,266,(78-67)*15+15,133,(50-34)*15+15,0,33*15+15,133,(55-34)*15+15,133,(40-34)*15+15,266,(71-67)*15+15,133,(35-34)*15+15,133,(63-34)*15+15,0,13*15+15,0,21*15+15,133,(62-34)*15+15,0,22*15+15,266,(97-67)*15+15,266,(77-67)*15+15,266,(75-67)*15+15,266,(87-67)*15+15,0,3*15+15,0,30*15+15,133,(43-34)*15+15,0,20*15+15,133,(48-34)*15+15,266,(69-67)*15+15,266,(95-67)*15+15,0,16*15+15,133,(37-34)*15+15,266,(79-67)*15+15,266,(99-67)*15+15,133,(56-34)*15+15,266,(82-67)*15+15,266,(83-67)*15+15,0,24*15+15,0,4*15+15,133,(64-34)*15+15,0,25*15+15,266,(84-67)*15+15,0,11*15+15,266,(81-67)*15+15,0,27*15+15,0,10*15+15,0,23*15+15,0,1*15+15,266,(94-67)*15+15,133,(38-34)*15+15,133,(45-34)*15+15,133,(47-34)*15+15,266,(68-67)*15+15,133,(57-34)*15+15,266,(72-67)*15+15,266,(92-67)*15+15,133,(65-34)*15+15,266,(74-67)*15+15,133,(52-34)*15+15,0,6*15+15,133,(54-34)*15+15,0,14*15+15,266,(76-67)*15+15,133,(61-34)*15+15,133,(44-34)*15+15,266,(90-67)*15+15,266,(85-67)*15+15,0,18*15+15,0,0*15+15,0,26*15+15,266,(93-67)*15+15,0,19*15+15,266,(88-67)*15+15,0,2*15+15,133,(66-34)*15+15,266,(96-67)*15+15,266,(70-67)*15+15,133,(60-34)*15+15,0,15*15+15,266,(98-67)*15+15,133,(49-34)*15+15,0,32*15+15,133,(34-34)*15+15,0,7*15+15,133,(36-34)*15+15,0,12*15+15,0,17*15+15,266,(86-67)*15+15,133,(42-34)*15+15,133,(59-34)*15+15,0,5*15+15,266,(89-67)*15+15,133,(53-34)*15+15,266,(91-67)*15+15,133,(41-34)*15+15,133,(39-34)*15+15,0,9*15+15,1464950959
266,210,266,105,133,270,0,435,0,480,133,195,0,135,266,15,0,450,133,375,266,180,133,255,0,510,133,330,133,105,266,75,133,30,133,450,0,210,0,330,133,435,0,345,266,465,266,165,266,135,266,315,0,60,0,465,133,150,0,315,133,225,266,45,266,435,0,255,133,60,266,195,266,495,133,345,266,240,266,255,0,375,0,75,133,465,0,390,266,270,0,180,266,225,0,420,0,165,0,360,565,161,266,420,133,75,133,180,133,210,814,53,133,360,266,90,266,390,133,480,266,120,133,285,0,105,133,315,0,225,266,150,133,420,133,165,266,360,266,285,0,285,494,66,0,405,266,405,0,300,266,330,726,350,133,495,266,450,266,60,133,405,0,240,266,480,133,240,0,495,133,15,0,120,133,45,0,195,0,270,266,300,133,135,133,390,0,90,266,345,133,300,266,375,133,120,133,90,0,150,1464950997
266,210,266,105,133,270,0,435,0,480,133,195,0,135,266,15,0,450,133,375,266,180,133,255,0,510,133,330,133,105,266,75,133,30,133,450,0,210,0,330,133,435,0,345,266,465,266,165,266,135,266,315,0,60,0,465,133,150,0,315,133,225,795,313,266,435,0,255,133,60,266,195,266,495,133,345,266,240,266,255,0,375,0,75,133,465,0,390,266,270,0,180,266,225,0,420,0,165,0,360,658,570,266,420,133,75,133,180,133,210,814,53,133,360,266,90,266,390,133,480,266,120,133,285,0,105,133,315,0,225,266,150,133,420,133,165,266,360,266,285,0,285,538,295,0,405,266,405,0,300,266,330,739,366,133,495,266,450,266,60,133,405,0,240,266,480,133,240,0,495,133,15,0,120,133,45,0,195,0,270,266,300,804,79,133,390,0,90,266,345,133,300,266,375,133,120,133,90,0,150,1464951012
266,210,266,105,133,270,0,435,0,480,133,195,0,135,266,15,0,450,133,375,266,180,133,255,0,510,133,330,133,105,266,75,133,30,133,450,0,210,0,330,133,435,0,345,266,465,266,165,266,135,266,315,0,60,0,465,589,581,0,315,133,225,710,533,266,435,0,255,133,60,266,195,266,495,133,345,266,240,266,255,0,375,0,75,133,465,0,390,266,270,0,180,266,225,0,420,0,165,0,360,658,570,266,420,133,75,133,180,133,210,814,53,133,360,266,90,266,390,133,480,266,120,133,285,0,105,133,315,0,225,266,150,133,420,133,165,266,360,266,285,0,285,538,295,0,405,266,405,0,300,266,330,683,544,133,495,266,450,266,60,133,405,0,240,266,480,133,240,0,495,133,15,0,120,133,45,0,195,0,270,266,300,804,79,133,390,0,90,266,345,133,300,266,375,658,582,133,90,0,150,1464951027
266,210,266,105,133,270,0,435,0,480,133,195,0,135,266,15,0,450,133,375,266,180,133,255,0,510,133,330,133,105,266,75,133,30,133,450,0,210,0,330,133,435,0,345,266,465,266,165,266,135,266,315,0,60,0,465,585,581,0,315,133,225,710,533,266,435,0,255,133,60,266,195,266,495,133,345,266,240,266,255,0,375,0,75,133,465,0,390,266,270,0,180,266,225,0,420,0,165,793,99,658,570,266,420,133,75,133,180,133,210,814,53,133,360,266,90,266,390,133,480,266,120,133,285,0,105,133,315,0,225,266,150,133,420,133,165,266,360,266,285,0,285,538,295,0,405,266,405,0,300,266,330,683,544,133,495,266,450,266,60,133,405,7,238,266,480,133,240,0,495,133,15,0,120,133,45,0,195,0,270,266,300,804,79,133,390,0,90,266,345,660,323,266,375,658,582,133,90,0,150,1464951042
266,210,266,105,133,270,0,435,0,480,133,195,0,135,266,15,0,450,133,375,266,180,133,255,0,510,133,330,752,54,266,75,133,30,133,450,0,210,0,330,133,435,0,345,266,465,266,165,266,135,266,315,0,60,0,465,585,581,0,315,133,225,710,533,266,435,0,255,133,60,266,195,266,495,133,345,266,240,266,255,0,375,0,75,133,465,0,390,266,270,0,180,266,225,0,420,0,165,793,99,658,570,266,420,709,407,133,180,133,210,814,53,133,360,266,90,266,390,133,480,266,120,133,285,0,105,133,315,0,225,266,150,133,420,133,165,266,360,266,285,0,285,538,295,0,405,266,405,0,300,266,330,683,544,133,495,266,450,266,60,133,405,709,582,266,480,133,240,0,495,133,15,0,120,133,45,0,195,0,270,266,300,804,79,133,390,0,90,266,345,660,323,266,375,658,582,741,79,0,150,1464951057
266,210,266,105,133,270,0,435,0,480,133,195,0,135,266,15,0,450,133,375,266,180,133,255,0,510,133,330,752,54,266,75,133,30,133,450,0,210,0,330,133,435,0,345,266,465,266,165,266,135,266,315,0,60,0,465,585,581,0,315,596,568,710,533,266,435,0,255,133,60,266,195,266,495,133,345,266,240,266,255,0,375,0,75,133,465,0,390,266,270,0,180,266,225,0,420,0,165,793,99,658,570,266,420,696,474,133,180,873,56,814,53,133,360,266,90,266,390,133,480,266,120,133,285,0,105,133,315,0,225,266,150,133,420,133,165,266,360,266,285,0,285,538,295,0,405,266,405,0,300,266,330,697,557,133,495,266,450,266,60,133,405,747,592,266,480,133,240,0,495,133,15,0,120,133,45,0,195,0,270,266,300,804,79,133,390,0,90,266,345,660,323,266,375,658,582,741,79,0,150,1464951072
266,210,266,105,133,270,0,435,0,480,133,195,0,135,266,15,0,450,592,556,266,180,133,255,0,510,133,330,752,54,266,75,133,30,597,499,0,210,0,330,133,435,0,345,266,465,266,165,266,135,266,315,0,60,0,465,585,581,0,315,595,568,710,533,266,435,0,255,133,60,266,195,266,495,133,345,266,240,266,255,0,375,0,75,133,465,0,390,266,270,0,180,266,225,0,420,0,165,793,99,658,570,266,420,696,474,133,180,873,56,814,53,133,360,266,90,266,390,133,480,266,120,133,285,0,105,133,315,0,225,266,150,133,420,133,165,266,360,266,285,0,285,538,295,0,405,266,405,0,300,266,330,697,557,133,495,266,450,266,60,133,405,714,582,266,480,738,557,0,495,133,15,0,120,133,45,0,195,0,270,266,300,804,79,133,390,0,90,266,345,660,323,266,375,658,582,741,79,0,150,1464951087
266,210,266,105,728,53,0,435,0,480,133,195,0,135,266,15,0,450,592,556,266,180,626,538,0,510,133,330,752,54,266,75,133,30,597,499,0,210,0,330,133,435,0,345,266,465,266,165,266,135,266,315,0,60,0,465,585,581,0,315,595,568,710,533,266,435,0,255,133,60,266,195,266,495,133,345,266,240,266,255,0,375,0,75,133,465,0,390,266,270,0,180,266,225,0,420,0,165,793,99,658,570,266,420,696,474,133,180,873,56,814,53,133,360,266,90,266,390,133,480,266,120,741,137,0,105,733,151,0,225,266,150,133,420,133,165,266,360,266,285,0,285,538,295,0,405,266,405,0,300,266,330,697,557,133,495,266,450,266,60,133,405,714,582,266,480,738,557,0,495,133,15,0,120,133,45,0,195,0,270,266,300,804,79,133,390,0,90,266,345,660,323,266,375,658,582,741,79,0,150,1464951102
266,210,266,105,728,53,0,435,0,480,133,195,0,135,266,15,0,450,592,556,266,180,622,545,0,510,133,330,752,54,266,75,133,30,597,499,0,210,0,330,133,435,0,345,266,465,266,165,266,135,266,315,0,60,0,465,585,581,0,315,595,568,710,533,266,435,0,255,133,60,266,195,266,495,619,533,266,240,266,255,0,375,0,75,133,465,0,390,266,270,0,180,266,225,0,420,0,165,793,99,658,570,266,420,696,474,133,180,873,56,814,53,712,581,266,90,266,390,133,480,266,120,741,137,0,105,733,151,0,225,266,150,133,420,133,165,266,360,266,285,0,285,538,295,0,405,266,405,0,300,266,330,697,557,133,495,266,450,266,60,133,405,760,576,266,480,738,557,0,495,133,15,0,120,133,45,0,195,0,270,266,300,804,79,133,390,0,90,266,345,660,323,266,375,658,582,741,79,0,150,1464951117
266,210,266,105,728,53,0,435,0,480,133,195,0,135,266,15,0,450,592,556,266,180,622,545,0,510,700,206,752,54,266,75,133,30,597,499,0,210,0,330,133,435,0,345,266,465,266,165,672,347,266,315,0,60,0,465,585,581,0,315,595,568,710,533,266,435,0,255,133,60,266,195,266,495,619,533,266,240,266,255,0,375,0,75,133,465,0,390,266,270,0,180,266,225,0,420,0,165,793,99,658,570,266,420,696,474,133,180,873,56,814,53,691,423,266,90,266,390,133,480,266,120,741,137,0,105,733,151,0,225,266,150,133,420,133,165,266,360,266,285,0,285,538,295,0,405,266,405,0,300,266,330,697,557,133,495,266,450,266,60,133,405,714,569,266,480,738,557,0,495,133,15,0,120,133,45,0,195,0,270,869,78,804,79,133,390,0,90,266,345,660,323,266,375,658,582,741,79,0,150,1464951132
