266,(91-67)*15+15,133,(66-34)*15+15,0,29*15+15,133,(35-34)*15+15,0,7*15+15,266,(83-67)*15+15,0,12*15+15,266,(87-67)*15+15,133,(34-34)*15+15,133,(43-34)*15+15,133,(61-34)*15+15,133,(64-34)*15+15,133,(57-34)*15+15,266,(89-67)*15+15,133,(58-34)*15+15,0,4*15+15,266,(68-67)*15+15,133,(62-34)*15+15,0,28*15+15,266,(93-67)*15+15,266,(75-67)*15+15,0,27*15+15,0,25*15+15,266,(95-67)*15+15,266,(70-67)*15+15,0,0*15+15,133,(56-34)*15+15,133,(48-34)*15+15,0,17*15+15,133,(63-34)*15+15,133,(38-34)*15+15,266,(96-67)*15+15,0,3*15+15,0,20*15+15,0,2*15+15,0,8*15+15,133,(40-34)*15+15,266,(74-67)*15+15,133,(65-34)*15+15,133,(55-34)*15+15,0,32*15+15,266,(76-67)*15+15,0,24*15+15,266,(77-67)*15+15,0,18*15+15,133,(52-34)*15+15,266,(92-67)*15+15,266,(90-67)*15+15,0,11*15+15,0,19*15+15,0,33*15+15,266,(85-67)*15+15,0,16*15+15,266,(81-67)*15+15,266,(80-67)*15+15,133,(45-34)*15+15,0,23*15+15,133,(39-34)*15+15,266,(73-67)*15+15,266,(69-67)*15+15,0,5*15+15,0,31*15+15,266,(78-67)*15+15,266,(71-67)*15+15,266,(86-67)*15+15,133,(36-34)*15+15,0,21*15+15,0,30*15+15,266,(82-67)*15+15,266,(84-67)*15+15,266,(97-67)*15+15,133,(54-34)*15+15,133,(59-34)*15+15,0,15*15+15,133,(46-34)*15+15,0,14*15+15,0,9*15+15,0,1*15+15,133,(44-34)*15+15,133,(42-34)*15+15,0,6*15+15,133,(53-34)*15+15,133,(50-34)*15+15,133,(41-34)*15+15,133,(49-34)*15+15,133,(37-34)*15+15,133,(47-34)*15+15,266,(88-67)*15+15,266,(94-67)*15+15,266,(67-67)*15+15,0,10*15+15,0,22*15+15,266,(72-67)*15+15,0,13*15+15,133,(51-34)*15+15,0,26*15+15,266,(79-67)*15+15,266,(99-67)*15+15,133,(60-34)*15+15,266,(98-67)*15+15,1477338081
266,375,133,495,0,450,133,30,0,120,266,255,0,195,266,315,133,15,133,150,133,420,133,465,133,360,266,345,133,375,0,75,266,30,133,435,0,435,266,405,266,135,0,420,0,390,266,435,266,60,0,15,133,345,133,225,0,270,133,450,133,75,266,450,0,60,0,315,0,45,0,135,133,105,266,120,133,480,133,330,0,495,266,150,0,375,266,165,0,285,133,285,266,390,266,360,0,180,0,300,0,510,266,285,0,255,266,225,266,210,133,180,0,360,133,90,266,105,266,45,0,90,0,480,266,180,266,75,266,300,133,45,0,330,0,465,266,240,266,270,266,465,133,315,133,390,0,240,133,195,0,225,0,150,0,30,133,165,133,135,0,105,133,300,133,255,133,120,133,240,133,60,133,210,266,330,266,420,266,15,0,165,0,345,266,90,0,210,133,270,0,405,266,195,266,495,133,405,266,480,1477338099
266,375,133,495,0,450,133,30,0,120,266,255,0,195,266,315,133,15,133,150,133,420,133,465,133,360,266,345,133,375,0,75,266,30,133,435,0,435,266,405,266,135,0,420,0,390,266,435,266,60,681,256,133,345,133,225,0,270,133,450,133,75,266,450,0,60,0,315,0,45,0,135,133,105,266,120,133,480,133,330,0,495,266,150,0,375,266,165,0,285,133,285,266,390,266,360,0,180,0,300,0,510,266,285,0,255,266,225,266,210,133,180,0,360,133,90,266,105,266,45,0,90,0,480,266,180,266,75,266,300,133,45,0,330,0,465,266,240,266,270,266,465,133,315,133,390,0,240,133,195,0,225,0,150,612,157,133,165,133,135,0,105,133,300,133,255,133,120,133,240,133,60,133,210,266,330,266,420,266,15,0,165,0,345,266,90,0,210,133,270,0,405,266,195,266,495,133,405,266,480,1477338114
266,375,133,495,0,450,133,30,0,120,266,255,0,195,266,315,133,15,133,150,133,420,133,465,133,360,266,345,133,375,805,190,266,30,133,435,0,435,266,405,266,135,0,420,0,390,266,435,266,60,681,256,133,345,133,225,0,270,133,450,133,75,266,450,615,240,0,315,858,170,0,135,133,105,266,120,133,480,133,330,0,495,266,150,0,375,266,165,0,285,133,285,266,390,266,360,0,180,0,300,0,510,266,285,0,255,266,225,266,210,133,180,0,360,133,90,266,105,266,45,0,90,0,480,266,180,266,75,266,300,133,45,0,330,0,465,266,240,266,270,266,465,133,315,133,390,0,240,133,195,0,225,0,150,612,157,133,165,133,135,0,105,133,300,133,255,133,120,133,240,133,60,133,210,266,330,266,420,266,15,0,165,0,345,266,90,0,210,133,270,0,405,266,195,266,495,133,405,266,480,1477338129
266,375,133,495,0,450,133,30,536,119,266,255,0,195,266,315,133,15,133,150,133,420,133,465,133,360,266,345,133,375,815,354,266,30,133,435,0,435,266,405,266,135,0,420,0,390,266,435,266,60,681,256,133,345,133,225,0,270,133,450,133,75,266,450,615,240,0,315,858,170,710,312,133,105,266,120,133,480,133,330,0,495,266,150,0,375,266,165,0,285,133,285,266,390,266,360,0,180,0,300,0,510,266,285,0,255,266,225,266,210,133,180,0,360,133,90,266,105,266,45,504,138,0,480,266,180,266,75,266,300,133,45,0,330,0,465,266,240,266,270,266,465,133,315,133,390,0,240,133,195,0,225,0,150,612,157,133,165,133,135,500,163,133,300,133,255,133,120,133,240,133,60,133,210,266,330,266,420,266,15,0,165,0,345,266,90,0,210,133,270,0,405,266,195,266,495,133,405,266,480,1477338144
266,375,133,495,0,450,133,30,536,119,266,255,464,106,266,315,133,15,133,150,133,420,133,465,133,360,266,345,133,375,815,354,266,30,133,435,0,435,266,405,266,135,0,420,0,390,266,435,266,60,681,256,133,345,133,225,0,270,133,450,133,75,266,450,615,240,0,315,858,170,710,312,133,105,266,120,133,480,133,330,0,495,266,150,0,375,266,165,0,285,133,285,266,390,266,360,527,100,0,300,0,510,266,285,0,255,266,225,266,210,133,180,0,360,133,90,266,105,266,45,504,138,0,480,266,180,266,75,266,300,133,45,0,330,0,465,266,240,266,270,266,465,133,315,133,390,0,240,133,195,20,214,503,148,612,157,133,165,133,135,500,163,133,300,133,255,133,120,133,240,133,60,133,210,266,330,266,420,266,15,461,125,0,345,266,90,433,165,133,270,0,405,266,195,266,495,133,405,266,480,1477338159
266,375,133,495,0,450,133,30,536,119,266,255,464,106,266,315,133,15,133,150,133,420,133,465,133,360,266,345,133,375,815,354,266,30,133,435,0,435,266,405,266,135,0,420,0,390,266,435,266,60,681,256,133,345,133,225,405,142,133,450,133,75,266,450,615,240,466,48,858,170,710,312,133,105,266,120,133,480,133,330,0,495,266,150,0,375,266,165,490,89,133,285,266,390,266,360,527,100,584,94,0,510,266,285,446,184,266,225,266,210,133,180,0,360,133,90,266,105,266,45,504,138,0,480,266,180,266,75,266,300,133,45,0,330,0,465,266,240,266,270,266,465,133,315,133,390,576,115,133,195,513,82,503,148,612,157,133,165,133,135,500,163,133,300,133,255,133,120,133,240,133,60,133,210,266,330,266,420,266,15,461,125,0,345,266,90,433,165,133,270,0,405,266,195,266,495,133,405,266,480,1477338174
266,375,133,495,0,450,133,30,536,119,266,255,464,106,266,315,133,15,133,150,133,420,133,465,133,360,266,345,133,375,815,354,266,30,133,435,0,435,266,405,266,135,0,420,0,390,266,435,266,60,681,256,133,345,133,225,405,142,133,450,133,75,266,450,615,240,879,399,858,170,710,312,133,105,266,120,133,480,133,330,0,495,266,150,521,169,266,165,490,89,133,285,266,390,266,360,527,100,584,94,0,510,266,285,446,184,266,225,266,210,133,180,600,180,133,90,266,105,266,45,504,138,0,480,266,180,266,75,266,300,133,45,573,128,0,465,266,240,266,270,266,465,133,315,133,390,576,115,133,195,513,82,503,148,612,157,133,165,133,135,500,163,133,300,133,255,133,120,133,240,133,60,133,210,266,330,266,420,266,15,461,125,441,93,266,90,433,165,133,270,0,405,266,195,266,495,133,405,266,480,1477338189
266,375,133,495,0,450,133,30,536,119,266,255,464,106,266,315,133,15,133,150,133,420,133,465,133,360,266,345,133,375,815,354,266,30,133,435,546,217,266,405,266,135,555,285,517,187,266,435,266,60,681,256,133,345,133,225,405,142,133,450,133,75,266,450,615,240,879,399,858,170,710,312,133,105,266,120,133,480,133,330,0,495,266,150,595,155,266,165,490,89,133,285,266,390,266,360,527,100,584,94,0,510,266,285,446,184,266,225,266,210,133,180,600,180,133,90,266,105,266,45,504,138,0,480,266,180,266,75,266,300,133,45,573,128,-3,406,266,240,266,270,266,465,133,315,133,390,576,115,133,195,513,82,503,148,612,157,133,165,133,135,500,163,133,300,133,255,133,120,133,240,133,60,133,210,266,330,266,420,266,15,461,125,441,93,266,90,433,165,133,270,479,202,266,195,266,495,133,405,266,480,1477338204
266,375,133,495,646,214,133,30,536,119,266,255,464,106,266,315,312,84,133,150,133,420,133,465,133,360,266,345,133,375,815,354,266,30,133,435,546,217,266,405,266,135,555,285,517,187,266,435,266,60,681,256,133,345,133,225,405,142,133,450,133,75,266,450,615,240,879,399,858,170,710,312,133,105,266,120,133,480,133,330,501,110,266,150,595,155,266,165,490,89,133,285,266,390,266,360,527,100,584,94,647,164,266,285,446,184,266,225,266,210,133,180,600,180,133,90,266,105,266,45,504,138,469,68,266,180,266,75,266,300,133,45,573,128,628,199,266,240,266,270,266,465,133,315,133,390,576,115,133,195,513,82,503,148,612,157,133,165,133,135,500,163,133,300,133,255,133,120,133,240,133,60,133,210,266,330,266,420,266,15,461,125,441,93,266,90,433,165,133,270,479,202,266,195,266,495,133,405,266,480,1477338219
