133,(45-34)*15+15,133,(60-34)*15+15,133,(42-34)*15+15,0,17*15+15,0,18*15+15,0,10*15+15,266,(83-67)*15+15,0,24*15+15,0,25*15+15,266,(82-67)*15+15,0,9*15+15,266,(79-67)*15+15,133,(41-34)*15+15,266,(72-67)*15+15,133,(46-34)*15+15,266,(92-67)*15+15,133,(65-34)*15+15,266,(93-67)*15+15,133,(44-34)*15+15,133,(40-34)*15+15,0,30*15+15,0,12*15+15,266,(96-67)*15+15,133,(56-34)*15+15,266,(70-67)*15+15,0,29*15+15,133,(61-34)*15+15,266,(81-67)*15+15,266,(98-67)*15+15,0,6*15+15,266,(97-67)*15+15,133,(55-34)*15+15,0,2*15+15,266,(86-67)*15+15,0,11*15+15,0,33*15+15,0,27*15+15,133,(47-34)*15+15,266,(75-67)*15+15,266,(76-67)*15+15,0,16*15+15,133,(34-34)*15+15,133,(59-34)*15+15,0,21*15+15,266,(85-67)*15+15,266,(67-67)*15+15,133,(50-34)*15+15,0,19*15+15,0,4*15+15,266,(87-67)*15+15,0,23*15+15,133,(58-34)*15+15,133,(51-34)*15+15,133,(54-34)*15+15,0,3*15+15,0,28*15+15,266,(88-67)*15+15,133,(62-34)*15+15,133,(39-34)*15+15,133,(35-34)*15+15,133,(63-34)*15+15,0,22*15+15,133,(36-34)*15+15,133,(66-34)*15+15,266,(99-67)*15+15,133,(53-34)*15+15,0,8*15+15,133,(48-34)*15+15,0,7*15+15,266,(68-67)*15+15,266,(77-67)*15+15,133,(64-34)*15+15,266,(78-67)*15+15,133,(52-34)*15+15,266,(94-67)*15+15,0,31*15+15,266,(90-67)*15+15,0,15*15+15,266,(74-67)*15+15,266,(80-67)*15+15,266,(84-67)*15+15,0,32*15+15,266,(95-67)*15+15,133,(38-34)*15+15,266,(89-67)*15+15,133,(37-34)*15+15,266,(73-67)*15+15,0,14*15+15,133,(43-34)*15+15,0,26*15+15,266,(91-67)*15+15,0,1*15+15,0,5*15+15,266,(71-67)*15+15,0,0*15+15,133,(57-34)*15+15,266,(69-67)*15+15,0,13*15+15,133,(49-34)*15+15,0,20*15+15,1469795497
133,180,133,405,133,135,0,270,0,285,0,165,266,255,0,375,0,390,266,240,0,150,266,195,133,120,266,90,133,195,266,390,133,480,266,405,133,165,133,105,0,465,0,195,266,450,133,345,266,60,0,450,133,420,266,225,266,480,0,105,266,465,133,330,0,45,266,300,0,180,0,510,0,420,133,210,266,135,266,150,0,255,133,15,133,390,0,330,266,285,266,15,133,255,0,300,0,75,266,315,0,360,133,375,133,270,133,315,0,60,0,435,266,330,133,435,133,90,133,30,133,450,0,345,133,45,133,495,266,495,133,300,0,135,133,225,0,120,266,30,263,166,133,465,266,180,133,285,266,420,0,480,266,360,0,240,266,120,266,210,266,270,0,495,266,435,133,75,266,345,133,60,266,105,0,225,133,150,0,405,266,375,1,30,0,90,266,75,0,15,133,360,266,45,0,210,133,240,0,315,1469795532
133,180,133,405,133,135,0,270,0,285,0,165,266,255,0,375,0,390,266,240,0,150,266,195,133,120,266,90,133,195,266,390,133,480,266,405,133,165,133,105,0,465,0,195,266,450,133,345,266,60,0,450,133,420,266,225,266,480,0,105,266,465,133,330,0,45,266,300,0,180,0,510,0,420,133,210,266,135,266,150,530,64,133,15,415,22,0,330,266,285,266,15,133,255,0,300,0,75,266,315,0,360,133,375,133,270,133,315,0,60,0,435,266,330,133,435,133,90,133,30,133,450,0,345,133,45,133,495,266,495,133,300,0,135,133,225,0,120,266,30,263,166,133,465,266,180,133,285,266,420,0,480,266,360,0,240,266,120,266,210,266,270,0,495,266,435,133,75,266,345,133,60,266,105,0,225,133,150,0,405,266,375,1,30,0,90,266,75,0,15,133,360,266,45,0,210,133,240,0,315,1469795547
133,180,133,405,133,135,0,270,0,285,0,165,266,255,0,375,0,390,266,240,0,150,266,195,133,120,266,90,133,195,266,390,133,480,266,405,133,165,133,105,0,465,0,195,266,450,133,345,266,60,0,450,133,420,266,225,266,480,0,105,266,465,133,330,0,45,266,300,0,180,0,510,0,420,133,210,266,135,266,150,448,22,133,15,415,22,0,330,266,285,266,15,133,255,0,300,0,75,266,315,0,360,133,375,133,270,133,315,0,60,0,435,266,330,133,435,133,90,133,30,133,450,0,345,133,45,133,495,266,495,133,300,0,135,133,225,0,120,266,30,263,166,133,465,266,180,133,285,266,420,0,480,266,360,0,240,266,120,266,210,266,270,0,495,266,435,133,75,266,345,133,60,266,105,0,225,133,150,0,405,266,375,1,30,0,90,266,75,0,15,133,360,266,45,0,210,133,240,0,315,1469795562
133,180,133,405,133,135,0,270,0,285,0,165,266,255,0,375,0,390,266,240,0,150,266,195,133,120,266,90,133,195,266,390,133,480,266,405,133,165,133,105,0,465,0,195,266,450,133,345,266,60,0,450,133,420,266,225,266,480,0,105,266,465,133,330,0,45,266,300,0,180,0,510,0,420,133,210,266,135,266,150,448,22,133,15,415,22,0,330,266,285,266,15,133,255,501,22,0,75,266,315,0,360,133,375,133,270,133,315,0,60,0,435,266,330,133,435,133,90,133,30,133,450,0,345,133,45,133,495,266,495,133,300,0,135,133,225,0,120,266,30,263,166,133,465,266,180,133,285,266,420,0,480,266,360,0,240,483,62,266,210,266,270,0,495,266,435,133,75,266,345,133,60,266,105,0,225,133,150,0,405,266,375,1,30,0,90,266,75,0,15,133,360,266,45,0,210,133,240,0,315,1469795577
133,180,133,405,133,135,0,270,0,285,0,165,266,255,0,375,0,390,266,240,0,150,266,195,133,120,266,90,133,195,266,390,133,480,266,405,133,165,133,105,0,465,0,195,266,450,133,345,266,60,0,450,133,420,266,225,266,480,0,105,266,465,133,330,0,45,266,300,0,180,0,510,0,420,133,210,266,135,266,150,448,22,503,35,415,22,0,330,475,36,266,15,133,255,501,22,0,75,266,315,0,360,133,375,133,270,133,315,0,60,0,435,266,330,133,435,133,90,133,30,133,450,0,345,133,45,133,495,266,495,133,300,0,135,133,225,0,120,266,30,263,166,133,465,266,180,133,285,266,420,0,480,266,360,0,240,481,52,266,210,266,270,0,495,266,435,133,75,266,345,133,60,266,105,0,225,133,150,0,405,266,375,1,30,0,90,266,75,0,15,133,360,266,45,0,210,133,240,0,315,1469795592
133,180,133,405,133,135,0,270,0,285,0,165,266,255,0,375,0,390,266,240,0,150,266,195,133,120,266,90,133,195,266,390,133,480,266,405,133,165,133,105,0,465,0,195,266,450,133,345,266,60,0,450,133,420,266,225,266,480,0,105,266,465,133,330,0,45,266,300,0,180,0,510,0,420,133,210,266,135,266,150,448,22,503,35,415,22,0,330,475,36,266,15,133,255,501,22,0,75,266,315,0,360,133,375,133,270,133,315,0,60,0,435,266,330,133,435,418,37,133,30,133,450,0,345,133,45,133,495,266,495,133,300,0,135,133,225,0,120,266,30,263,166,133,465,266,180,133,285,266,420,0,480,266,360,0,240,481,52,266,210,266,270,0,495,266,435,133,75,266,345,133,60,266,105,0,225,133,150,0,405,266,375,1,30,0,90,266,75,0,15,133,360,266,45,0,210,133,240,0,315,1469795607
133,180,133,405,133,135,0,270,0,285,0,165,266,255,0,375,0,390,266,240,0,150,266,195,133,120,266,90,133,195,266,390,133,480,266,405,133,165,133,105,0,465,0,195,266,450,133,345,266,60,0,450,133,420,266,225,266,480,0,105,266,465,133,330,0,45,266,300,0,180,0,510,0,420,133,210,266,135,266,150,448,22,503,35,415,22,0,330,475,36,266,15,553,36,501,22,0,75,266,315,0,360,133,375,133,270,133,315,0,60,0,435,266,330,133,435,418,37,133,30,133,450,0,345,133,45,133,495,266,495,133,300,0,135,133,225,0,120,266,30,263,166,133,465,266,180,133,285,266,420,0,480,266,360,0,240,481,52,266,210,266,270,0,495,266,435,133,75,266,345,133,60,266,105,0,225,133,150,0,405,266,375,1,30,0,90,266,75,0,15,133,360,266,45,0,210,133,240,0,315,1469795622
133,180,133,405,133,135,0,270,0,285,0,165,266,255,0,375,0,390,266,240,0,150,266,195,133,120,266,90,133,195,266,390,133,480,266,405,133,165,133,105,0,465,0,195,266,450,133,345,266,60,0,450,133,420,266,225,266,480,0,105,266,465,133,330,0,45,266,300,0,180,0,510,0,420,133,210,266,135,266,150,448,22,503,35,415,22,0,330,475,36,266,15,553,36,501,22,411,52,266,315,0,360,133,375,133,270,133,315,0,60,0,435,266,330,133,435,418,37,133,30,133,450,0,345,133,45,133,495,266,495,133,300,0,135,133,225,0,120,266,30,263,166,133,465,266,180,133,285,266,420,0,480,266,360,0,240,481,52,266,210,266,270,0,495,266,435,133,75,266,345,133,60,266,105,0,225,133,150,0,405,266,375,1,30,0,90,266,75,0,15,133,360,266,45,0,210,133,240,0,315,1469795637
133,180,133,405,133,135,0,270,0,285,0,165,266,255,0,375,0,390,266,240,0,150,266,195,133,120,266,90,133,195,266,390,133,480,266,405,133,165,414,81,0,465,0,195,266,450,133,345,266,60,0,450,133,420,266,225,266,480,0,105,266,465,133,330,0,45,266,300,0,180,0,510,0,420,133,210,257,125,266,150,448,22,503,35,415,22,0,330,475,36,266,15,553,36,501,22,412,67,266,315,0,360,133,375,133,270,133,315,0,60,0,435,266,330,133,435,418,37,133,30,133,450,0,345,133,45,133,495,266,495,133,300,0,135,133,225,0,120,266,30,263,166,133,465,266,180,133,285,266,420,0,480,266,360,0,240,481,52,266,210,266,270,0,495,266,435,133,75,266,345,133,60,266,105,0,225,133,150,0,405,266,375,1,30,0,90,266,75,0,15,133,360,266,45,0,210,133,240,0,315,1469795652
133,180,133,405,133,135,0,270,0,285,0,165,266,255,0,375,0,390,266,240,0,150,266,195,133,120,266,90,133,195,266,390,133,480,266,405,133,165,414,81,0,465,0,195,266,450,133,345,266,60,0,450,133,420,266,225,266,480,0,105,266,465,133,330,0,45,266,300,0,180,0,510,0,420,133,210,259,125,266,150,448,22,503,35,415,22,0,330,475,36,266,15,553,36,501,22,412,67,266,315,0,360,133,375,133,270,133,315,0,60,0,435,266,330,133,435,418,37,133,30,133,450,0,345,133,45,133,495,266,495,133,300,0,135,133,225,0,120,266,30,263,166,133,465,266,180,133,285,266,420,0,480,266,360,0,240,481,52,266,210,266,270,0,495,262,431,133,75,266,345,133,60,266,105,0,225,133,150,0,405,266,375,1,30,0,90,266,75,0,15,133,360,266,45,0,210,133,240,0,315,1469795667
133,180,133,405,133,135,0,270,0,285,0,165,266,255,0,375,0,390,266,240,415,101,266,195,133,120,266,90,133,195,266,390,133,480,266,405,133,165,414,81,0,465,0,195,266,450,133,345,266,60,0,450,133,420,266,225,266,480,0,105,266,465,133,330,0,45,266,300,0,180,0,510,0,420,133,210,259,125,266,150,448,22,503,35,415,22,0,330,475,36,266,15,553,36,501,22,412,67,266,315,0,360,133,375,133,270,133,315,0,60,0,435,266,330,133,435,418,37,133,30,133,450,0,345,133,45,133,495,266,495,133,300,0,135,133,225,0,120,266,30,263,166,133,465,266,180,133,285,266,420,0,480,266,360,0,240,481,52,266,210,266,270,0,495,262,431,133,75,266,345,133,60,266,105,0,225,133,150,0,405,266,375,1,30,0,90,266,75,0,15,133,360,266,45,0,210,133,240,0,315,1469795682
133,180,133,405,133,135,0,270,0,285,0,165,266,255,0,375,0,390,266,240,415,101,266,195,133,120,505,81,133,195,266,390,133,480,266,405,133,165,414,81,0,465,0,195,266,450,133,345,266,60,0,450,133,420,266,225,266,480,0,105,266,465,133,330,0,45,266,300,0,180,0,510,0,420,133,210,259,125,266,150,448,22,503,35,415,22,0,330,475,36,266,15,553,36,501,22,412,67,266,315,0,360,133,375,133,270,133,315,0,60,0,435,266,330,133,435,415,42,133,30,133,450,0,345,133,45,133,495,266,495,133,300,0,135,133,225,0,120,266,30,263,166,133,465,266,180,133,285,266,420,0,480,266,360,0,240,481,52,266,210,266,270,0,495,262,431,133,75,266,345,133,60,266,105,0,225,133,150,0,405,266,375,442,30,0,90,266,75,0,15,133,360,266,45,0,210,133,240,0,315,1469795697
133,180,133,405,133,135,0,270,0,285,0,165,266,255,0,375,0,390,266,240,415,101,266,195,133,120,505,81,133,195,266,390,133,480,266,405,133,165,414,81,0,465,0,195,266,450,133,345,266,60,0,450,133,420,266,225,266,480,0,105,266,465,133,330,0,45,266,300,0,180,0,510,0,420,133,210,259,125,266,150,448,22,496,42,415,22,0,330,468,40,266,15,546,41,501,22,412,67,266,315,0,360,133,375,133,270,133,315,0,60,0,435,266,330,133,435,415,42,133,30,133,450,0,345,133,45,133,495,266,495,133,300,0,135,133,225,0,120,266,30,263,166,133,465,266,180,133,285,266,420,0,480,266,360,0,240,507,32,266,210,266,270,0,495,262,431,133,75,266,345,133,60,266,105,0,225,133,150,0,405,266,375,438,32,0,90,266,75,0,15,133,360,266,45,0,210,133,240,0,315,1469795712
