0,24*15+15,266,(75-67)*15+15,133,(49-34)*15+15,0,28*15+15,266,(96-67)*15+15,266,(78-67)*15+15,0,17*15+15,266,(92-67)*15+15,266,(81-67)*15+15,0,4*15+15,266,(89-67)*15+15,133,(39-34)*15+15,266,(77-67)*15+15,133,(41-34)*15+15,133,(40-34)*15+15,266,(68-67)*15+15,266,(82-67)*15+15,133,(66-34)*15+15,0,21*15+15,133,(50-34)*15+15,266,(80-67)*15+15,133,(53-34)*15+15,266,(88-67)*15+15,133,(65-34)*15+15,266,(73-67)*15+15,266,(74-67)*15+15,266,(97-67)*15+15,266,(98-67)*15+15,0,11*15+15,266,(93-67)*15+15,266,(91-67)*15+15,133,(58-34)*15+15,133,(44-34)*15+15,133,(63-34)*15+15,0,14*15+15,133,(37-34)*15+15,0,13*15+15,133,(36-34)*15+15,266,(90-67)*15+15,0,10*15+15,133,(54-34)*15+15,133,(47-34)*15+15,0,32*15+15,266,(86-67)*15+15,266,(95-67)*15+15,266,(84-67)*15+15,266,(83-67)*15+15,0,18*15+15,133,(38-34)*15+15,0,6*15+15,0,25*15+15,0,29*15+15,133,(62-34)*15+15,133,(34-34)*15+15,133,(43-34)*15+15,0,8*15+15,0,5*15+15,133,(55-34)*15+15,0,33*15+15,133,(59-34)*15+15,133,(56-34)*15+15,0,15*15+15,133,(61-34)*15+15,133,(46-34)*15+15,0,0*15+15,0,30*15+15,0,22*15+15,0,7*15+15,266,(76-67)*15+15,133,(42-34)*15+15,266,(94-67)*15+15,0,3*15+15,0,26*15+15,133,(57-34)*15+15,0,31*15+15,133,(52-34)*15+15,266,(79-67)*15+15,266,(87-67)*15+15,266,(69-67)*15+15,0,16*15+15,266,(67-67)*15+15,266,(70-67)*15+15,133,(64-34)*15+15,0,12*15+15,133,(45-34)*15+15,266,(71-67)*15+15,133,(51-34)*15+15,0,9*15+15,0,2*15+15,0,27*15+15,0,1*15+15,266,(99-67)*15+15,0,23*15+15,133,(48-34)*15+15,133,(35-34)*15+15,266,(85-67)*15+15,0,20*15+15,266,(72-67)*15+15,133,(60-34)*15+15,0,19*15+15,1469794119
0,375,266,135,133,240,0,435,266,450,266,180,0,270,266,390,266,225,0,75,266,345,133,90,266,165,133,120,133,105,266,30,266,240,133,495,0,330,133,255,266,210,133,300,266,330,133,480,266,105,266,120,266,465,266,480,0,180,266,405,266,375,133,375,133,165,133,450,0,225,133,60,0,210,133,45,266,360,0,165,133,315,133,210,0,495,266,300,266,435,266,270,266,255,0,285,133,75,0,105,0,390,0,450,133,435,133,15,133,150,0,135,0,90,133,330,0,510,133,390,133,345,0,240,133,420,133,195,0,15,0,465,0,345,0,120,266,150,133,135,266,420,0,60,0,405,133,360,0,480,133,285,266,195,266,315,266,45,0,255,266,15,266,60,133,465,0,195,133,180,266,75,133,270,0,150,0,45,0,420,0,30,266,495,0,360,133,225,133,30,266,285,0,315,266,90,133,405,0,300,1469794137
0,375,266,135,133,240,0,435,266,450,266,180,0,270,266,390,266,225,0,75,266,345,133,90,266,165,133,120,133,105,433,78,266,240,133,495,0,330,133,255,266,210,133,300,266,330,133,480,266,105,266,120,266,465,266,480,0,180,266,405,266,375,133,375,133,165,133,450,0,225,133,60,0,210,133,45,266,360,0,165,133,315,133,210,9,499,266,300,266,435,266,270,266,255,0,285,133,75,0,105,0,390,0,450,133,435,133,15,133,150,0,135,0,90,133,330,0,510,133,390,133,345,0,240,133,420,133,195,424,38,0,465,0,345,0,120,266,150,133,135,266,420,0,60,0,405,133,360,0,480,133,285,266,195,266,315,266,45,0,255,266,15,266,60,133,465,0,195,133,180,266,75,133,270,0,150,0,45,0,420,0,30,266,495,0,360,133,225,133,30,266,285,0,315,266,90,133,405,0,300,1469794152
0,375,266,135,133,240,0,435,266,450,266,180,0,270,266,390,266,225,0,75,266,345,133,90,266,165,133,120,133,105,433,78,266,240,133,495,0,330,133,255,266,210,133,300,434,105,133,480,266,105,266,120,266,465,266,480,0,180,266,405,266,375,133,375,133,165,133,450,0,225,133,60,0,210,133,45,266,360,0,165,133,315,133,210,9,499,266,300,266,435,266,270,266,255,0,285,133,75,0,105,0,390,0,450,133,435,133,15,133,150,0,135,0,90,133,330,0,510,133,390,133,345,0,240,133,420,133,195,424,38,0,465,0,345,0,120,266,150,133,135,266,420,0,60,0,405,133,360,0,480,133,285,266,195,266,315,266,45,0,255,266,15,266,60,133,465,0,195,133,180,266,75,133,270,0,150,0,45,0,420,0,30,266,495,0,360,133,225,133,30,266,285,0,315,266,90,133,405,0,300,1469794167
0,375,266,135,133,240,0,435,266,450,266,180,0,270,266,390,266,225,0,75,266,345,133,90,266,165,133,120,133,105,433,78,266,240,133,495,0,330,133,255,266,210,133,300,434,105,530,34,266,105,266,120,266,465,266,480,0,180,266,405,266,375,133,375,133,165,133,450,0,225,133,60,0,210,133,45,266,360,0,165,133,315,133,210,9,499,266,300,266,435,266,270,266,255,0,285,133,75,0,105,0,390,0,450,133,435,133,15,133,150,0,135,0,90,133,330,0,510,133,390,133,345,0,240,133,420,133,195,424,38,0,465,0,345,0,120,266,150,133,135,266,420,0,60,0,405,133,360,0,480,133,285,266,195,266,315,266,45,0,255,266,15,266,60,133,465,0,195,133,180,266,75,133,270,0,150,0,45,0,420,0,30,266,495,0,360,133,225,133,30,266,285,0,315,266,90,133,405,0,300,1469794182
0,375,266,135,133,240,0,435,266,450,266,180,0,270,266,390,266,225,0,75,266,345,133,90,266,165,133,120,133,105,433,78,266,240,133,495,0,330,133,255,266,210,133,300,434,105,530,34,266,105,266,120,266,465,266,480,0,180,266,405,266,375,133,375,133,165,133,450,0,225,133,60,0,210,133,45,266,360,0,165,133,315,133,210,9,499,266,300,266,435,266,270,266,255,0,285,133,75,0,105,0,390,0,450,133,435,133,15,133,150,0,135,0,90,133,330,441,583,133,390,133,345,0,240,133,420,133,195,424,38,0,465,0,345,0,120,266,150,133,135,266,420,0,60,0,405,133,360,0,480,133,285,266,195,266,315,433,538,0,255,266,15,429,562,133,465,0,195,133,180,266,75,133,270,0,150,0,45,0,420,0,30,266,495,0,360,133,225,133,30,266,285,0,315,266,90,133,405,0,300,1469794197
0,375,266,135,133,240,0,435,266,450,266,180,0,270,266,390,266,225,0,75,266,345,133,90,266,165,133,120,133,105,433,78,266,240,133,495,0,330,133,255,266,210,133,300,434,105,530,34,266,105,266,120,266,465,266,480,0,180,266,405,266,375,133,375,133,165,133,450,0,225,133,60,0,210,133,45,266,360,0,165,133,315,133,210,9,499,266,300,266,435,266,270,266,255,470,592,133,75,0,105,0,390,0,450,510,578,133,15,133,150,0,135,0,90,133,330,441,583,133,390,133,345,0,240,133,420,133,195,424,38,0,465,0,345,0,120,266,150,133,135,266,420,0,60,0,405,133,360,0,480,133,285,266,195,266,315,433,538,0,255,266,15,429,562,133,465,0,195,133,180,266,75,133,270,0,150,0,45,0,420,0,30,266,495,0,360,133,225,133,30,266,285,0,315,266,90,133,405,0,300,1469794212
0,375,266,135,133,240,0,435,266,450,266,180,0,270,266,390,266,225,0,75,266,345,133,90,266,165,133,120,133,105,433,78,266,240,133,495,0,330,133,255,266,210,133,300,434,105,530,34,282,110,266,120,266,465,266,480,0,180,266,405,266,375,133,375,638,329,133,450,0,225,133,60,0,210,133,45,266,360,0,165,133,315,133,210,9,499,266,300,266,435,266,270,266,255,470,592,133,75,0,105,0,390,0,450,510,578,133,15,638,310,0,135,0,90,133,330,441,583,133,390,133,345,0,240,133,420,133,195,424,38,0,465,0,345,0,120,266,150,133,135,266,420,0,60,0,405,133,360,0,480,133,285,266,195,266,315,433,538,0,255,266,15,429,562,133,465,535,539,133,180,266,75,133,270,0,150,0,45,0,420,0,30,266,495,0,360,133,225,133,30,266,285,0,315,266,90,133,405,0,300,1469794227
0,375,266,135,133,240,0,435,266,450,266,180,0,270,266,390,266,225,0,75,266,345,133,90,266,165,133,120,133,105,433,78,266,240,133,495,0,330,133,255,266,210,133,300,434,105,530,34,434,131,266,120,266,465,266,480,0,180,266,405,266,375,133,375,638,329,133,450,0,225,133,60,0,210,133,45,266,360,0,165,133,315,133,210,9,499,266,300,266,435,266,270,266,255,433,506,133,75,0,105,0,390,0,450,550,576,133,15,638,310,0,135,0,90,133,330,441,583,133,390,133,345,0,240,133,420,133,195,424,38,0,465,0,345,0,120,266,150,133,135,266,420,0,60,0,405,133,360,0,480,133,285,266,195,266,315,433,538,0,255,266,15,429,562,133,465,535,539,133,180,541,512,133,270,0,150,0,45,0,420,0,30,266,495,0,360,133,225,133,30,266,285,0,315,266,90,133,405,0,300,1469794242
0,375,266,135,133,240,0,435,266,450,266,180,0,270,266,390,266,225,0,75,266,345,133,90,266,165,133,120,133,105,433,78,266,240,133,495,0,330,133,255,266,210,133,300,434,105,530,34,434,131,266,120,266,465,266,480,0,180,266,405,266,375,133,375,638,329,133,450,0,225,133,60,0,210,133,45,266,360,0,165,133,315,133,210,9,499,266,300,266,435,266,270,266,255,433,506,133,75,0,105,0,390,0,450,550,576,436,452,638,310,0,135,0,90,133,330,441,583,133,390,133,345,0,240,133,420,133,195,424,38,0,465,0,345,0,120,266,150,133,135,266,420,0,60,0,405,133,360,0,480,133,285,596,526,266,315,433,538,0,255,266,15,429,562,133,465,535,539,133,180,541,512,133,270,0,150,0,45,0,420,0,30,266,495,0,360,133,225,133,30,275,272,0,315,266,90,133,405,0,300,1469794257
0,375,266,135,133,240,0,435,266,450,266,180,0,270,266,390,266,225,0,75,266,345,133,90,266,165,133,120,133,105,433,78,266,240,133,495,0,330,133,255,266,210,133,300,434,105,530,34,434,131,266,120,266,465,266,480,0,180,266,405,266,375,133,375,638,329,133,450,0,225,133,60,0,210,133,45,266,360,0,165,133,315,133,210,9,499,266,300,266,435,266,270,266,255,498,372,133,75,0,105,0,390,0,450,553,564,436,452,638,310,0,135,0,90,133,330,441,583,133,390,133,345,0,240,133,420,133,195,424,38,0,465,0,345,0,120,266,150,133,135,266,420,0,60,0,405,133,360,0,480,133,285,600,523,266,315,418,533,0,255,266,15,470,565,133,465,535,539,133,180,541,512,133,270,0,150,0,45,0,420,0,30,266,495,0,360,133,225,133,30,275,272,0,315,266,90,133,405,0,300,1469794272
