0,32*15+15,266,(76-67)*15+15,266,(90-67)*15+15,266,(82-67)*15+15,266,(73-67)*15+15,266,(95-67)*15+15,133,(34-34)*15+15,266,(72-67)*15+15,133,(48-34)*15+15,133,(56-34)*15+15,133,(37-34)*15+15,266,(81-67)*15+15,133,(58-34)*15+15,266,(87-67)*15+15,0,12*15+15,266,(83-67)*15+15,266,(68-67)*15+15,0,13*15+15,0,10*15+15,133,(61-34)*15+15,266,(96-67)*15+15,266,(98-67)*15+15,133,(55-34)*15+15,266,(69-67)*15+15,266,(91-67)*15+15,0,16*15+15,133,(43-34)*15+15,133,(44-34)*15+15,0,22*15+15,133,(65-34)*15+15,0,28*15+15,133,(41-34)*15+15,0,15*15+15,0,7*15+15,0,30*15+15,266,(77-67)*15+15,0,33*15+15,0,2*15+15,133,(60-34)*15+15,133,(64-34)*15+15,0,14*15+15,0,24*15+15,266,(74-67)*15+15,133,(35-34)*15+15,0,3*15+15,266,(80-67)*15+15,266,(85-67)*15+15,266,(97-67)*15+15,133,(66-34)*15+15,266,(78-67)*15+15,0,23*15+15,133,(47-34)*15+15,133,(38-34)*15+15,133,(62-34)*15+15,0,21*15+15,133,(51-34)*15+15,133,(49-34)*15+15,0,5*15+15,266,(93-67)*15+15,0,0*15+15,266,(86-67)*15+15,133,(45-34)*15+15,266,(88-67)*15+15,0,27*15+15,266,(99-67)*15+15,133,(52-34)*15+15,266,(84-67)*15+15,0,31*15+15,133,(50-34)*15+15,0,9*15+15,266,(70-67)*15+15,133,(39-34)*15+15,133,(36-34)*15+15,0,26*15+15,0,19*15+15,133,(54-34)*15+15,133,(53-34)*15+15,133,(59-34)*15+15,266,(71-67)*15+15,266,(92-67)*15+15,0,4*15+15,0,29*15+15,266,(89-67)*15+15,266,(67-67)*15+15,0,20*15+15,0,25*15+15,133,(63-34)*15+15,266,(75-67)*15+15,133,(57-34)*15+15,133,(42-34)*15+15,0,8*15+15,0,1*15+15,133,(40-34)*15+15,266,(94-67)*15+15,0,11*15+15,266,(79-67)*15+15,0,6*15+15,0,17*15+15,133,(46-34)*15+15,0,18*15+15,1477325971
0,495,266,150,266,360,266,240,266,105,266,435,133,15,266,90,133,225,133,345,133,60,266,225,133,375,266,315,0,195,266,255,266,30,0,210,0,165,133,420,266,450,266,480,133,330,266,45,266,375,0,255,133,150,133,165,0,345,133,480,0,435,133,120,0,240,0,120,0,465,266,165,0,510,0,45,133,405,133,465,0,225,0,375,266,120,133,30,0,60,266,210,266,285,266,465,133,495,266,180,0,360,133,210,133,75,133,435,0,330,133,270,133,240,0,90,266,405,896,49,266,300,133,180,266,330,0,420,266,495,133,285,266,270,0,480,133,255,0,150,266,60,133,90,133,45,0,405,0,300,133,315,133,300,133,390,266,75,266,390,0,75,0,450,266,345,266,15,0,315,0,390,133,450,266,135,133,360,133,135,0,135,0,30,133,105,266,420,0,180,266,195,0,105,0,270,133,195,0,285,1477326017
0,495,266,150,266,360,266,240,266,105,266,435,133,15,266,90,133,225,133,345,133,60,266,225,133,375,266,315,0,195,266,255,266,30,0,210,0,165,133,420,266,450,266,480,133,330,266,45,266,375,0,255,133,150,133,165,0,345,133,480,0,435,133,120,0,240,0,120,0,465,266,165,0,510,0,45,133,405,133,465,0,225,0,375,266,120,133,30,0,60,266,210,266,285,266,465,133,495,266,180,0,360,133,210,133,75,133,435,0,330,133,270,133,240,0,90,266,405,918,587,266,300,133,180,266,330,0,420,266,495,133,285,266,270,0,480,133,255,0,150,266,60,133,90,133,45,0,405,0,300,133,315,133,300,133,390,266,75,266,390,0,75,0,450,266,345,912,127,0,315,0,390,133,450,266,135,133,360,133,135,0,135,0,30,133,105,266,420,0,180,266,195,0,105,0,270,133,195,0,285,1477326032
0,495,266,150,266,360,266,240,266,105,266,435,133,15,266,90,133,225,133,345,133,60,266,225,133,375,266,315,0,195,266,255,266,30,0,210,0,165,133,420,266,450,266,480,133,330,266,45,266,375,0,255,133,150,133,165,0,345,133,480,0,435,133,120,0,240,0,120,0,465,266,165,0,510,0,45,133,405,133,465,0,225,0,375,266,120,133,30,0,60,266,210,266,285,837,543,133,495,266,180,0,360,133,210,133,75,133,435,0,330,133,270,133,240,0,90,266,405,918,587,266,300,133,180,266,330,0,420,266,495,133,285,266,270,0,480,133,255,0,150,266,60,133,90,133,45,0,405,0,300,133,315,133,300,133,390,266,75,809,483,0,75,0,450,266,345,922,554,0,315,0,390,133,450,266,135,133,360,133,135,0,135,0,30,133,105,266,420,0,180,266,195,0,105,0,270,133,195,0,285,1477326047
0,495,266,150,266,360,266,240,266,105,266,435,133,15,266,90,133,225,133,345,133,60,266,225,133,375,266,315,0,195,266,255,266,30,0,210,0,165,133,420,266,450,266,480,133,330,266,45,266,375,0,255,133,150,133,165,0,345,133,480,0,435,133,120,0,240,0,120,0,465,266,165,0,510,0,45,133,405,133,465,0,225,0,375,266,120,133,30,0,60,266,210,856,531,837,543,133,495,266,180,0,360,133,210,133,75,133,435,0,330,133,270,900,432,0,90,266,405,918,587,266,300,133,180,266,330,0,420,266,495,133,285,266,270,0,480,133,255,0,150,266,60,133,90,133,45,0,405,0,300,133,315,133,300,858,430,266,75,809,483,0,75,0,450,266,345,922,554,0,315,0,390,133,450,266,135,133,360,133,135,0,135,0,30,133,105,266,420,0,180,266,195,0,105,0,270,133,195,0,285,1477326062
0,495,266,150,266,360,266,240,266,105,266,435,133,15,266,90,133,225,133,345,133,60,266,225,133,375,266,315,0,195,266,255,266,30,0,210,0,165,133,420,266,450,266,480,133,330,266,45,266,375,0,255,133,150,133,165,0,345,133,480,0,435,133,120,0,240,0,120,0,465,266,165,0,510,0,45,133,405,133,465,0,225,0,375,472,142,133,30,0,60,266,210,856,531,837,543,133,495,266,180,0,360,133,210,133,75,133,435,0,330,133,270,900,432,0,90,266,405,918,587,266,300,133,180,266,330,0,420,266,495,133,285,266,270,0,480,133,255,0,150,266,60,133,90,133,45,0,405,0,300,133,315,133,300,858,430,266,75,809,483,0,75,0,450,266,345,922,554,0,315,0,390,133,450,266,135,133,360,133,135,0,135,0,30,133,105,266,420,0,180,266,195,0,105,0,270,133,195,0,285,1477326077
0,495,266,150,266,360,266,240,266,105,266,435,133,15,266,90,133,225,133,345,133,60,266,225,133,375,266,315,0,195,266,255,266,30,0,210,0,165,133,420,266,450,266,480,133,330,266,45,266,375,0,255,133,150,133,165,0,345,133,480,0,435,133,120,0,240,0,120,0,465,897,506,0,510,0,45,133,405,133,465,0,225,0,375,813,43,133,30,0,60,266,210,856,531,837,543,133,495,266,180,0,360,133,210,133,75,133,435,0,330,133,270,900,432,0,90,266,405,918,587,266,300,133,180,266,330,0,420,266,495,133,285,266,270,0,480,133,255,0,150,266,60,133,90,133,45,0,405,0,300,133,315,133,300,858,430,266,75,809,483,0,75,0,450,266,345,922,554,0,315,0,390,133,450,266,135,133,360,133,135,0,135,0,30,133,105,266,420,0,180,266,195,0,105,0,270,133,195,0,285,1477326092
0,495,266,150,266,360,266,240,266,105,266,435,133,15,266,90,133,225,133,345,133,60,266,225,133,375,266,315,0,195,266,255,266,30,0,210,0,165,133,420,266,450,266,480,133,330,266,45,266,375,0,255,133,150,133,165,0,345,133,480,0,435,133,120,0,240,0,120,4,463,897,506,0,510,0,45,133,405,133,465,0,225,0,375,813,43,133,30,0,60,266,210,856,531,837,543,133,495,266,180,0,360,133,210,133,75,133,435,0,330,133,270,910,429,0,90,266,405,918,587,266,300,133,180,266,330,0,420,266,495,133,285,266,270,0,480,133,255,0,150,266,60,133,90,133,45,0,405,0,300,133,315,133,300,858,430,266,75,803,396,0,75,786,432,266,345,922,554,0,315,0,390,133,450,266,135,133,360,133,135,0,135,0,30,133,105,266,420,0,180,266,195,0,105,0,270,133,195,0,285,1477326107
0,495,266,150,266,360,266,240,266,105,266,435,133,15,266,90,133,225,133,345,133,60,266,225,133,375,266,315,0,195,266,255,266,30,0,210,0,165,133,420,266,450,266,480,133,330,266,45,266,375,0,255,133,150,133,165,0,345,133,480,0,435,133,120,0,240,0,120,4,463,897,506,0,510,0,45,133,405,133,465,0,225,0,375,813,43,133,30,0,60,266,210,856,531,837,543,133,495,266,180,0,360,133,210,133,75,903,463,0,330,133,270,910,429,0,90,266,405,918,587,266,300,133,180,266,330,0,420,266,495,133,285,266,270,0,480,133,255,0,150,266,60,133,90,133,45,0,405,0,300,133,315,133,300,858,430,266,75,803,396,0,75,786,432,266,345,858,395,0,315,0,390,133,450,266,135,133,360,133,135,0,135,0,30,133,105,266,420,0,180,266,195,0,105,0,270,133,195,0,285,1477326122
739,431,266,150,266,360,266,240,266,105,266,435,133,15,266,90,133,225,133,345,133,60,266,225,133,375,266,315,0,195,266,255,266,30,0,210,0,165,133,420,266,450,266,480,133,330,266,45,266,375,0,255,133,150,133,165,0,345,133,480,0,435,133,120,0,240,0,120,4,463,897,506,0,510,0,45,133,405,133,465,0,225,0,375,813,43,133,30,0,60,266,210,856,531,837,543,133,495,266,180,0,360,133,210,133,75,923,477,0,330,133,270,910,429,0,90,266,405,918,587,266,300,133,180,266,330,0,420,266,495,133,285,266,270,0,480,133,255,0,150,266,60,133,90,133,45,0,405,0,300,133,315,133,300,858,430,266,75,803,396,0,75,786,432,266,345,858,395,0,315,0,390,133,450,266,135,133,360,133,135,0,135,0,30,133,105,266,420,0,180,266,195,0,105,0,270,133,195,0,285,1477326137
739,431,266,150,266,360,266,240,266,105,266,435,133,15,266,90,133,225,133,345,133,60,266,225,133,375,266,315,0,195,266,255,266,30,0,210,0,165,133,420,266,450,266,480,133,330,266,45,266,375,0,255,133,150,133,165,0,345,133,480,0,435,133,120,0,240,0,120,4,463,897,506,0,510,0,45,133,405,133,465,0,225,0,375,813,43,133,30,0,60,266,210,856,531,837,543,133,495,266,180,0,360,133,210,133,75,923,477,0,330,133,270,910,429,0,90,266,405,918,587,266,300,133,180,266,330,0,420,266,495,133,285,266,270,0,480,133,255,0,150,266,60,133,90,133,45,0,405,0,300,133,315,133,300,858,430,858,475,803,396,0,75,778,478,266,345,858,395,0,315,0,390,133,450,266,135,133,360,133,135,0,135,0,30,133,105,266,420,0,180,266,195,0,105,0,270,133,195,0,285,1477326152
