0,8*15+15,266,(69-67)*15+15,0,9*15+15,266,(94-67)*15+15,0,25*15+15,266,(85-67)*15+15,266,(84-67)*15+15,133,(61-34)*15+15,133,(63-34)*15+15,0,13*15+15,133,(39-34)*15+15,266,(98-67)*15+15,133,(51-34)*15+15,266,(90-67)*15+15,266,(95-67)*15+15,266,(87-67)*15+15,0,6*15+15,0,0*15+15,0,19*15+15,133,(66-34)*15+15,133,(62-34)*15+15,266,(68-67)*15+15,266,(79-67)*15+15,133,(43-34)*15+15,0,28*15+15,133,(53-34)*15+15,266,(70-67)*15+15,0,3*15+15,0,23*15+15,133,(41-34)*15+15,0,18*15+15,0,10*15+15,133,(40-34)*15+15,266,(99-67)*15+15,0,15*15+15,266,(97-67)*15+15,0,33*15+15,133,(48-34)*15+15,133,(47-34)*15+15,266,(73-67)*15+15,0,22*15+15,133,(34-34)*15+15,133,(52-34)*15+15,0,24*15+15,266,(67-67)*15+15,133,(45-34)*15+15,266,(74-67)*15+15,0,4*15+15,0,21*15+15,133,(64-34)*15+15,0,17*15+15,266,(91-67)*15+15,266,(80-67)*15+15,133,(35-34)*15+15,266,(78-67)*15+15,133,(46-34)*15+15,266,(96-67)*15+15,133,(55-34)*15+15,133,(59-34)*15+15,0,29*15+15,133,(50-34)*15+15,0,32*15+15,266,(77-67)*15+15,0,30*15+15,266,(89-67)*15+15,266,(75-67)*15+15,0,5*15+15,133,(37-34)*15+15,266,(93-67)*15+15,0,20*15+15,0,12*15+15,266,(71-67)*15+15,266,(72-67)*15+15,0,14*15+15,133,(44-34)*15+15,133,(57-34)*15+15,133,(42-34)*15+15,266,(81-67)*15+15,133,(58-34)*15+15,133,(65-34)*15+15,266,(82-67)*15+15,133,(56-34)*15+15,0,7*15+15,0,26*15+15,0,16*15+15,133,(49-34)*15+15,0,27*15+15,266,(86-67)*15+15,0,11*15+15,266,(88-67)*15+15,133,(54-34)*15+15,266,(92-67)*15+15,0,31*15+15,0,1*15+15,133,(38-34)*15+15,133,(60-34)*15+15,266,(83-67)*15+15,266,(76-67)*15+15,133,(36-34)*15+15,0,2*15+15,1478083997
0,135,266,45,0,150,266,420,0,390,266,285,266,270,133,420,133,450,0,210,133,90,266,480,133,270,266,360,266,435,266,315,0,105,403,26,0,300,133,495,133,435,266,30,266,195,133,150,0,435,133,300,266,60,461,447,0,360,133,120,0,285,0,165,133,105,266,495,0,240,266,465,0,510,133,225,133,210,266,105,0,345,133,15,133,285,0,375,266,15,133,180,266,120,0,75,0,330,133,465,0,270,266,375,266,210,133,30,266,180,133,195,266,450,133,330,133,390,0,450,133,255,0,495,266,165,0,465,266,345,266,135,0,90,133,60,266,405,0,315,0,195,266,75,266,90,0,225,133,165,133,360,133,135,266,225,133,375,133,480,266,240,133,345,0,120,0,405,0,255,133,240,0,420,266,300,0,180,266,330,133,315,266,390,0,480,652,102,133,75,133,405,266,255,266,150,133,45,0,45,1478084014
0,135,266,45,0,150,266,420,0,390,266,285,266,270,133,420,133,450,0,210,133,90,266,480,133,270,266,360,266,435,266,315,0,105,403,26,0,300,133,495,133,435,266,30,266,195,133,150,0,435,133,300,266,60,461,447,0,360,133,120,0,285,0,165,133,105,266,495,0,240,266,465,0,510,133,225,133,210,266,105,0,345,133,15,133,285,0,375,266,15,133,180,266,120,0,75,416,38,133,465,0,270,266,375,266,210,133,30,266,180,133,195,266,450,133,330,133,390,610,55,133,255,418,49,266,165,0,465,266,345,266,135,0,90,133,60,266,405,0,315,0,195,266,75,266,90,0,225,133,165,133,360,133,135,266,225,133,375,133,480,266,240,133,345,0,120,0,405,0,255,133,240,0,420,266,300,0,180,266,330,133,315,266,390,0,480,652,102,133,75,133,405,266,255,266,150,133,45,0,45,1478084029
0,135,266,45,0,150,266,420,0,390,266,285,266,270,133,420,133,450,0,210,133,90,266,480,133,270,266,360,424,476,266,315,0,105,403,26,0,300,867,484,133,435,266,30,266,195,133,150,0,435,133,300,266,60,461,447,0,360,133,120,0,285,0,165,133,105,266,495,0,240,864,470,0,510,133,225,133,210,266,105,0,345,133,15,133,285,0,375,266,15,133,180,266,120,0,75,416,38,133,465,0,270,266,375,266,210,133,30,266,180,133,195,266,450,133,330,133,390,610,55,133,255,425,155,266,165,0,465,266,345,266,135,0,90,133,60,266,405,0,315,0,195,466,466,266,90,0,225,133,165,133,360,133,135,266,225,133,375,133,480,266,240,133,345,0,120,0,405,0,255,133,240,0,420,266,300,0,180,266,330,133,315,266,390,0,480,652,102,133,75,133,405,266,255,266,150,133,45,0,45,1478084044
0,135,266,45,0,150,870,504,0,390,266,285,266,270,133,420,133,450,0,210,133,90,871,461,133,270,266,360,484,482,266,315,0,105,403,26,0,300,867,484,133,435,266,30,266,195,133,150,0,435,133,300,266,60,461,447,0,360,133,120,0,285,0,165,133,105,414,49,0,240,864,470,0,510,133,225,133,210,266,105,0,345,133,15,133,285,0,375,266,15,133,180,266,120,0,75,416,38,133,465,0,270,266,375,266,210,133,30,266,180,133,195,908,455,133,330,133,390,610,55,133,255,425,155,266,165,0,465,266,345,266,135,0,90,133,60,461,495,0,315,0,195,466,466,266,90,0,225,133,165,133,360,133,135,266,225,133,375,133,480,266,240,133,345,0,120,0,405,0,255,133,240,0,420,266,300,0,180,266,330,133,315,266,390,0,480,652,102,133,75,133,405,266,255,266,150,133,45,0,45,1478084059
0,135,266,45,0,150,870,504,0,390,266,285,266,270,133,420,133,450,0,210,133,90,871,461,133,270,266,360,484,482,266,315,0,105,403,26,0,300,867,484,133,435,266,30,266,195,133,150,0,435,133,300,266,60,461,447,875,517,133,120,0,285,0,165,133,105,414,49,0,240,864,470,0,510,133,225,133,210,266,105,551,541,133,15,133,285,566,554,266,15,133,180,266,120,0,75,416,38,133,465,0,270,266,375,266,210,133,30,266,180,133,195,908,455,133,330,133,390,610,55,133,255,425,155,266,165,0,465,266,345,266,135,0,90,133,60,461,495,0,315,0,195,466,466,266,90,0,225,133,165,133,360,133,135,266,225,133,375,133,480,266,240,133,345,0,120,0,405,0,255,133,240,0,420,266,300,0,180,266,330,133,315,557,567,0,480,652,102,133,75,133,405,266,255,266,150,133,45,0,45,1478084074
0,135,266,45,0,150,870,504,0,390,266,285,266,270,133,420,133,450,0,210,133,90,871,461,133,270,266,360,484,482,266,315,0,105,403,26,0,300,867,484,133,435,266,30,266,195,133,150,0,435,133,300,266,60,461,447,875,517,133,120,0,285,0,165,446,430,414,49,0,240,864,470,900,501,133,225,133,210,266,105,551,541,133,15,133,285,566,554,266,15,133,180,266,120,0,75,416,38,133,465,0,270,266,375,266,210,133,30,266,180,133,195,908,455,133,330,133,390,610,55,133,255,425,155,266,165,0,465,266,345,266,135,0,90,133,60,461,495,0,315,0,195,466,466,266,90,0,225,133,165,133,360,133,135,266,225,133,375,133,480,266,240,133,345,0,120,0,405,0,255,133,240,0,420,266,300,0,180,266,330,133,315,557,567,0,480,652,102,448,313,133,405,266,255,266,150,133,45,0,45,1478084089
0,135,266,45,0,150,870,504,0,390,266,285,266,270,133,420,133,450,0,210,133,90,871,461,133,270,266,360,401,434,266,315,0,105,403,26,0,300,867,484,133,435,489,446,266,195,133,150,0,435,133,300,266,60,441,446,875,517,133,120,0,285,0,165,447,434,414,49,0,240,864,470,900,501,133,225,133,210,607,385,551,541,133,15,133,285,566,554,266,15,133,180,266,120,0,75,416,38,133,465,0,270,266,375,266,210,133,30,266,180,133,195,908,455,133,330,133,390,610,55,133,255,425,155,266,165,0,465,266,345,266,135,0,90,133,60,407,469,0,315,0,195,424,455,266,90,0,225,133,165,133,360,133,135,266,225,133,375,133,480,266,240,133,345,0,120,0,405,0,255,133,240,0,420,266,300,0,180,266,330,133,315,557,567,0,480,652,102,448,313,133,405,266,255,266,150,133,45,0,45,1478084104
0,135,266,45,0,150,870,504,0,390,266,285,266,270,133,420,133,450,0,210,133,90,871,461,133,270,859,451,401,434,868,533,0,105,403,26,0,300,867,484,133,435,489,446,266,195,133,150,0,435,133,300,266,60,441,446,875,517,133,120,0,285,0,165,447,434,414,49,0,240,864,470,900,501,133,225,133,210,837,81,551,541,133,15,133,285,566,554,266,15,133,180,266,120,0,75,416,38,133,465,0,270,266,375,266,210,133,30,266,180,133,195,908,455,133,330,133,390,610,55,133,255,425,155,266,165,0,465,712,453,266,135,0,90,133,60,407,469,0,315,0,195,424,455,266,90,0,225,133,165,133,360,133,135,266,225,133,375,133,480,266,240,133,345,0,120,0,405,0,255,133,240,0,420,266,300,0,180,266,330,133,315,557,567,0,480,652,102,448,313,133,405,266,255,266,150,133,45,0,45,1478084119
0,135,266,45,0,150,870,504,0,390,266,285,266,270,473,415,485,457,0,210,133,90,871,461,133,270,859,451,401,434,868,533,0,105,403,26,0,300,867,484,474,469,489,446,266,195,133,150,0,435,133,300,266,60,441,446,875,517,133,120,0,285,0,165,447,434,414,49,0,240,864,470,900,501,133,225,133,210,837,81,551,541,133,15,133,285,566,554,266,15,133,180,266,120,0,75,416,38,152,472,0,270,266,375,266,210,133,30,266,180,133,195,908,455,133,330,133,390,610,55,133,255,425,155,266,165,0,465,712,453,266,135,0,90,133,60,407,469,0,315,0,195,424,455,266,90,0,225,133,165,133,360,133,135,266,225,133,375,133,480,266,240,133,345,0,120,0,405,0,255,133,240,0,420,266,300,0,180,266,330,133,315,557,567,0,480,652,102,448,313,133,405,266,255,266,150,133,45,0,45,1478084134
0,135,932,369,554,469,870,504,0,390,266,285,266,270,510,418,485,457,0,210,133,90,871,461,133,270,859,451,401,434,868,533,0,105,403,26,0,300,867,484,474,469,489,446,266,195,133,150,0,435,133,300,266,60,441,446,875,517,133,120,0,285,0,165,447,434,414,49,0,240,864,470,900,501,133,225,133,210,837,81,551,541,133,15,133,285,566,554,266,15,133,180,266,120,0,75,416,38,152,472,0,270,266,375,266,210,133,30,266,180,133,195,908,455,133,330,133,390,610,55,133,255,425,155,266,165,0,465,712,453,266,135,0,90,133,60,407,469,0,315,0,195,424,455,266,90,0,225,133,165,133,360,133,135,266,225,133,375,133,480,266,240,133,345,0,120,0,405,0,255,133,240,0,420,266,300,0,180,266,330,133,315,557,567,0,480,652,102,448,313,836,50,266,255,266,150,133,45,0,45,1478084149
