133,(57-34)*15+15,133,(42-34)*15+15,266,(93-67)*15+15,133,(60-34)*15+15,266,(81-67)*15+15,266,(69-67)*15+15,133,(41-34)*15+15,0,20*15+15,266,(97-67)*15+15,133,(61-34)*15+15,266,(70-67)*15+15,0,30*15+15,133,(48-34)*15+15,133,(38-34)*15+15,133,(37-34)*15+15,133,(66-34)*15+15,266,(89-67)*15+15,266,(85-67)*15+15,266,(88-67)*15+15,0,10*15+15,133,(45-34)*15+15,266,(73-67)*15+15,133,(47-34)*15+15,0,26*15+15,0,22*15+15,0,15*15+15,266,(77-67)*15+15,133,(43-34)*15+15,0,28*15+15,0,13*15+15,133,(46-34)*15+15,266,(67-67)*15+15,133,(54-34)*15+15,0,19*15+15,266,(78-67)*15+15,266,(91-67)*15+15,133,(63-34)*15+15,133,(52-34)*15+15,266,(72-67)*15+15,133,(59-34)*15+15,266,(99-67)*15+15,133,(35-34)*15+15,266,(90-67)*15+15,0,0*15+15,0,23*15+15,266,(98-67)*15+15,133,(39-34)*15+15,133,(50-34)*15+15,133,(64-34)*15+15,0,31*15+15,266,(84-67)*15+15,0,21*15+15,266,(87-67)*15+15,133,(58-34)*15+15,0,4*15+15,133,(65-34)*15+15,266,(80-67)*15+15,266,(95-67)*15+15,0,14*15+15,133,(44-34)*15+15,0,17*15+15,266,(68-67)*15+15,0,11*15+15,0,25*15+15,266,(96-67)*15+15,133,(49-34)*15+15,0,9*15+15,0,7*15+15,266,(74-67)*15+15,133,(53-34)*15+15,0,6*15+15,0,8*15+15,266,(94-67)*15+15,133,(34-34)*15+15,0,12*15+15,133,(62-34)*15+15,0,29*15+15,0,16*15+15,0,2*15+15,0,18*15+15,0,33*15+15,266,(92-67)*15+15,266,(83-67)*15+15,0,27*15+15,266,(86-67)*15+15,266,(79-67)*15+15,133,(56-34)*15+15,266,(75-67)*15+15,266,(76-67)*15+15,0,3*15+15,133,(51-34)*15+15,266,(82-67)*15+15,0,32*15+15,133,(40-34)*15+15,0,24*15+15,266,(71-67)*15+15,133,(55-34)*15+15,133,(36-34)*15+15,0,1*15+15,0,5*15+15,1465308906
133,360,133,135,266,405,133,405,266,225,266,45,133,120,0,315,266,465,133,420,266,60,0,465,133,225,133,75,133,60,133,495,266,345,266,285,266,330,0,165,133,180,266,105,133,210,0,405,0,345,0,240,266,165,133,150,0,435,0,210,133,195,266,15,133,315,0,300,266,180,266,375,133,450,133,285,266,90,133,390,266,495,133,30,266,360,0,15,0,360,266,480,133,90,133,255,133,465,0,480,266,270,0,330,266,315,133,375,0,75,133,480,266,210,266,435,0,225,133,165,0,270,266,30,0,180,0,390,266,450,133,240,0,150,0,120,266,120,133,300,0,105,0,135,266,420,133,15,0,195,133,435,0,450,0,255,0,45,0,285,0,510,266,390,266,255,0,420,266,300,266,195,133,345,266,135,266,150,0,60,133,270,266,240,0,495,133,105,0,375,266,75,133,330,133,45,0,30,0,90,1465308924
133,360,133,135,266,405,133,405,266,225,266,45,133,120,0,315,266,465,133,420,266,60,0,465,133,225,133,75,133,60,133,495,266,345,266,285,266,330,0,165,133,180,266,105,133,210,0,405,0,345,0,240,266,165,133,150,0,435,0,210,133,195,266,15,133,315,0,300,266,180,266,375,133,450,133,285,266,90,133,390,423,561,133,30,266,360,0,15,0,360,266,480,133,90,133,255,133,465,0,480,266,270,0,330,266,315,133,375,0,75,133,480,266,210,266,435,0,225,133,165,0,270,266,30,0,180,0,390,266,450,133,240,0,150,0,120,266,120,133,300,0,105,0,135,266,420,133,15,0,195,133,435,0,450,0,255,0,45,0,285,0,510,266,390,266,255,0,420,266,300,266,195,133,345,266,135,266,150,0,60,133,270,266,240,0,495,133,105,0,375,266,75,133,330,133,45,0,30,0,90,1465308939
133,360,133,135,266,405,133,405,266,225,266,45,133,120,0,315,266,465,133,420,266,60,0,465,133,225,133,75,133,60,133,495,266,345,266,285,266,330,0,165,133,180,266,105,133,210,0,405,0,345,0,240,266,165,133,150,0,435,0,210,133,195,266,15,133,315,0,300,266,180,266,375,133,450,133,285,266,90,133,390,423,561,133,30,266,360,422,571,0,360,266,480,133,90,133,255,133,465,0,480,266,270,0,330,266,315,133,375,0,75,133,480,266,210,266,435,0,225,133,165,0,270,266,30,0,180,0,390,266,450,133,240,0,150,0,120,266,120,133,300,0,105,0,135,266,420,133,15,0,195,133,435,0,450,0,255,0,45,0,285,0,510,266,390,266,255,0,420,266,300,266,195,133,345,266,135,266,150,0,60,133,270,266,240,0,495,133,105,0,375,266,75,133,330,133,45,0,30,0,90,1465308954
133,360,133,135,266,405,133,405,266,225,266,45,133,120,0,315,266,465,133,420,266,60,0,465,133,225,133,75,133,60,133,495,266,345,266,285,266,330,0,165,133,180,266,105,133,210,0,405,0,345,0,240,266,165,133,150,0,435,0,210,133,195,266,15,133,315,0,300,266,180,266,375,133,450,133,285,266,90,133,390,423,561,133,30,266,360,422,571,0,360,266,480,133,90,133,255,133,465,0,480,266,270,0,330,266,315,133,375,0,75,133,480,266,210,266,435,497,500,133,165,0,270,266,30,0,180,0,390,266,450,133,240,0,150,0,120,266,120,133,300,0,105,0,135,266,420,133,15,0,195,133,435,0,450,0,255,0,45,0,285,0,510,266,390,266,255,0,420,266,300,266,195,133,345,266,135,266,150,0,60,133,270,266,240,0,495,133,105,0,375,266,75,133,330,133,45,0,30,0,90,1465308969
133,360,133,135,266,405,133,405,266,225,266,45,133,120,0,315,266,465,133,420,266,60,0,465,133,225,133,75,133,60,133,495,266,345,266,285,266,330,0,165,133,180,266,105,133,210,0,405,0,345,0,240,266,165,133,150,0,435,0,210,133,195,266,15,133,315,0,300,266,180,266,375,133,450,133,285,266,90,133,390,423,561,133,30,266,360,422,571,528,544,266,480,133,90,133,255,133,465,0,480,266,270,0,330,266,315,133,375,0,75,133,480,266,210,266,435,407,466,133,165,0,270,266,30,0,180,0,390,266,450,133,240,0,150,0,120,266,120,133,300,0,105,0,135,266,420,133,15,0,195,133,435,0,450,0,255,0,45,0,285,0,510,266,390,266,255,0,420,266,300,266,195,133,345,266,135,266,150,0,60,133,270,266,240,0,495,133,105,0,375,266,75,133,330,133,45,0,30,0,90,1465308984
133,360,133,135,266,405,133,405,266,225,266,45,133,120,0,315,266,465,133,420,266,60,0,465,133,225,133,75,133,60,133,495,266,345,266,285,266,330,0,165,133,180,266,105,133,210,0,405,0,345,0,240,266,165,133,150,0,435,0,210,133,195,266,15,133,315,0,300,266,180,266,375,133,450,133,285,266,90,133,390,423,561,520,552,266,360,422,571,528,544,266,480,580,571,133,255,133,465,0,480,266,270,0,330,266,315,133,375,0,75,133,480,266,210,266,435,407,466,133,165,0,270,266,30,0,180,0,390,266,450,133,240,0,150,0,120,266,120,133,300,0,105,0,135,266,420,133,15,0,195,133,435,0,450,0,255,0,45,0,285,0,510,266,390,266,255,0,420,266,300,266,195,133,345,266,135,266,150,0,60,133,270,266,240,0,495,133,105,0,375,266,75,133,330,559,507,0,30,0,90,1465308999
133,360,133,135,266,405,133,405,266,225,266,45,133,120,0,315,266,465,133,420,266,60,0,465,518,377,133,75,133,60,133,495,266,345,266,285,266,330,0,165,133,180,266,105,133,210,0,405,0,345,0,240,266,165,133,150,0,435,0,210,133,195,266,15,133,315,0,300,266,180,266,375,133,450,133,285,266,90,133,390,423,561,520,552,266,360,422,571,528,544,266,480,580,571,582,579,133,465,0,480,266,270,0,330,266,315,133,375,0,75,133,480,266,210,266,435,407,466,133,165,0,270,266,30,0,180,0,390,266,450,133,240,0,150,0,120,266,120,133,300,0,105,0,135,266,420,133,15,0,195,133,435,0,450,0,255,0,45,0,285,0,510,266,390,266,255,0,420,266,300,266,195,133,345,266,135,266,150,0,60,133,270,266,240,0,495,133,105,0,375,266,75,133,330,559,507,0,30,0,90,1465309014
133,360,133,135,266,405,133,405,266,225,266,45,133,120,0,315,266,465,133,420,266,60,0,465,518,377,133,75,133,60,133,495,266,345,266,285,266,330,0,165,133,180,266,105,133,210,0,405,0,345,0,240,266,165,133,150,0,435,0,210,133,195,266,15,133,315,0,300,266,180,266,375,133,450,133,285,266,90,133,390,423,561,520,552,266,360,422,571,528,544,266,480,580,571,582,579,133,465,0,480,266,270,0,330,266,315,567,543,0,75,960,7,266,210,266,435,407,466,133,165,0,270,266,30,0,180,0,390,266,450,133,240,0,150,0,120,266,120,133,300,0,105,0,135,266,420,133,15,0,195,133,435,0,450,0,255,0,45,0,285,0,510,266,390,266,255,0,420,266,300,266,195,133,345,266,135,266,150,0,60,133,270,266,240,0,495,133,105,0,375,266,75,133,330,559,507,0,30,0,90,1465309029
133,360,133,135,266,405,133,405,266,225,266,45,133,120,0,315,266,465,133,420,266,60,0,465,518,377,133,75,133,60,133,495,266,345,266,285,266,330,0,165,133,180,911,41,133,210,0,405,0,345,0,240,266,165,133,150,0,435,0,210,133,195,266,15,133,315,0,300,266,180,266,375,133,450,133,285,266,90,133,390,423,561,520,552,266,360,422,571,528,544,266,480,580,571,582,579,133,465,0,480,266,270,0,330,266,315,567,543,0,75,938,27,266,210,266,435,407,466,133,165,0,270,266,30,0,180,0,390,266,450,133,240,0,150,0,120,266,120,133,300,0,105,0,135,266,420,133,15,0,195,133,435,0,450,0,255,0,45,0,285,0,510,266,390,266,255,0,420,266,300,266,195,133,345,266,135,266,150,0,60,133,270,266,240,0,495,133,105,0,375,266,75,133,330,559,507,0,30,0,90,1465309044
133,360,133,135,266,405,133,405,266,225,266,45,133,120,0,315,266,465,133,420,266,60,0,465,518,377,133,75,133,60,133,495,266,345,266,285,266,330,0,165,133,180,911,41,133,210,0,405,0,345,0,240,266,165,133,150,0,435,0,210,133,195,266,15,133,315,0,300,266,180,266,375,133,450,133,285,266,90,133,390,423,561,520,552,266,360,422,571,528,544,266,480,580,571,582,579,133,465,0,480,266,270,0,330,266,315,567,543,0,75,938,27,822,107,266,435,407,466,133,165,0,270,266,30,0,180,0,390,266,450,133,240,0,150,0,120,266,120,133,300,0,105,0,135,266,420,133,15,0,195,133,435,0,450,0,255,0,45,0,285,0,510,266,390,266,255,0,420,266,300,266,195,133,345,266,135,266,150,0,60,133,270,415,545,0,495,133,105,0,375,266,75,133,330,559,507,0,30,0,90,1465309059
133,360,133,135,266,405,133,405,266,225,266,45,133,120,0,315,266,465,133,420,266,60,0,465,518,377,133,75,133,60,133,495,266,345,266,285,266,330,0,165,133,180,911,41,133,210,0,405,0,345,0,240,266,165,133,150,0,435,0,210,133,195,266,15,133,315,0,300,266,180,266,375,133,450,133,285,266,90,133,390,668,396,520,552,266,360,672,408,528,544,266,480,580,571,582,579,133,465,0,480,266,270,0,330,266,315,567,543,0,75,938,27,822,107,266,435,407,466,133,165,0,270,266,30,0,180,0,390,266,450,133,240,0,150,0,120,266,120,133,300,0,105,0,135,266,420,133,15,0,195,133,435,0,450,0,255,0,45,0,285,0,510,266,390,266,255,0,420,266,300,266,195,133,345,266,135,266,150,0,60,133,270,664,382,0,495,133,105,0,375,266,75,133,330,559,507,0,30,0,90,1465309074
