266,(86-67)*15+15,266,(91-67)*15+15,0,22*15+15,0,28*15+15,266,(85-67)*15+15,266,(74-67)*15+15,266,(87-67)*15+15,0,8*15+15,0,32*15+15,133,(35-34)*15+15,133,(51-34)*15+15,266,(72-67)*15+15,133,(52-34)*15+15,266,(70-67)*15+15,133,(59-34)*15+15,0,33*15+15,133,(42-34)*15+15,0,11*15+15,133,(65-34)*15+15,133,(34-34)*15+15,266,(69-67)*15+15,133,(64-34)*15+15,0,7*15+15,133,(49-34)*15+15,0,17*15+15,266,(88-67)*15+15,266,(76-67)*15+15,133,(37-34)*15+15,0,9*15+15,266,(93-67)*15+15,266,(90-67)*15+15,266,(73-67)*15+15,0,14*15+15,133,(47-34)*15+15,0,6*15+15,266,(81-67)*15+15,133,(54-34)*15+15,0,21*15+15,133,(41-34)*15+15,0,12*15+15,0,20*15+15,266,(82-67)*15+15,133,(38-34)*15+15,0,19*15+15,266,(71-67)*15+15,266,(83-67)*15+15,0,3*15+15,266,(98-67)*15+15,0,29*15+15,266,(79-67)*15+15,133,(57-34)*15+15,0,15*15+15,133,(62-34)*15+15,133,(66-34)*15+15,133,(36-34)*15+15,266,(96-67)*15+15,133,(43-34)*15+15,133,(55-34)*15+15,0,10*15+15,133,(44-34)*15+15,266,(84-67)*15+15,133,(56-34)*15+15,0,25*15+15,133,(58-34)*15+15,266,(67-67)*15+15,266,(78-67)*15+15,0,13*15+15,266,(77-67)*15+15,0,5*15+15,266,(80-67)*15+15,0,30*15+15,0,4*15+15,0,16*15+15,266,(92-67)*15+15,0,27*15+15,133,(46-34)*15+15,266,(95-67)*15+15,133,(45-34)*15+15,133,(39-34)*15+15,266,(89-67)*15+15,0,0*15+15,133,(61-34)*15+15,133,(53-34)*15+15,133,(48-34)*15+15,133,(40-34)*15+15,133,(60-34)*15+15,133,(63-34)*15+15,266,(99-67)*15+15,0,26*15+15,0,24*15+15,0,31*15+15,266,(94-67)*15+15,266,(97-67)*15+15,266,(75-67)*15+15,266,(68-67)*15+15,0,2*15+15,133,(50-34)*15+15,0,18*15+15,0,23*15+15,0,1*15+15,1465853667
266,300,266,375,0,345,0,435,266,285,266,120,266,315,0,135,0,495,133,30,133,270,266,90,133,285,266,60,133,390,0,510,133,135,0,180,133,480,133,15,266,45,133,465,0,120,133,240,0,270,266,330,266,150,133,60,0,150,266,405,266,360,266,105,0,225,133,210,0,105,266,225,133,315,0,330,133,120,0,195,0,315,266,240,133,75,0,300,266,75,266,255,0,60,266,480,0,450,266,195,133,360,0,240,133,435,133,495,133,45,266,450,133,150,133,330,0,165,133,165,266,270,133,345,0,390,133,375,266,15,266,180,0,210,266,165,0,90,266,210,0,465,0,75,0,255,266,390,0,420,133,195,266,435,133,180,133,90,266,345,0,15,133,420,133,300,133,225,133,105,133,405,133,450,266,495,0,405,0,375,0,480,266,420,266,465,266,135,266,30,0,45,133,255,0,285,0,360,0,30,1465853712
266,300,266,375,0,345,0,435,800,241,266,120,266,315,0,135,0,495,133,30,133,270,266,90,133,285,266,60,133,390,0,510,133,135,0,180,133,480,133,15,266,45,133,465,0,120,133,240,0,270,266,330,266,150,133,60,0,150,266,405,266,360,266,105,0,225,133,210,0,105,266,225,133,315,0,330,133,120,0,195,0,315,266,240,133,75,0,300,266,75,496,125,0,60,266,480,0,450,286,195,133,360,0,240,133,435,133,495,133,45,266,450,133,150,133,330,0,165,133,165,266,270,133,345,0,390,133,375,612,333,266,180,0,210,266,165,0,90,266,210,0,465,0,75,0,255,266,390,0,420,133,195,266,435,133,180,133,90,266,345,450,45,133,420,133,300,133,225,133,105,133,405,133,450,266,495,0,405,0,375,0,480,266,420,266,465,266,135,266,30,0,45,133,255,0,285,0,360,0,30,1465853727
266,300,266,375,0,345,0,435,800,241,266,120,266,315,0,135,0,495,133,30,133,270,266,90,133,285,266,60,133,390,0,510,133,135,0,180,133,480,133,15,266,45,133,465,0,120,133,240,0,270,504,490,266,150,133,60,0,150,266,405,266,360,266,105,0,225,133,210,0,105,266,225,133,315,0,330,133,120,0,195,0,315,266,240,133,75,0,300,266,75,496,125,0,60,266,480,0,450,615,365,133,360,0,240,133,435,133,495,133,45,266,450,133,150,133,330,0,165,133,165,266,270,133,345,0,390,133,375,612,333,266,180,0,210,266,165,0,90,266,210,0,465,0,75,0,255,694,335,0,420,133,195,266,435,133,180,133,90,715,73,450,45,133,420,133,300,133,225,133,105,133,405,133,450,266,495,0,405,0,375,0,480,266,420,266,465,266,135,266,30,0,45,133,255,0,285,0,360,0,30,1465853742
266,300,266,375,0,345,0,435,800,241,266,120,266,315,0,135,0,495,133,30,133,270,266,90,133,285,266,60,133,390,0,510,133,135,0,180,133,480,133,15,266,45,133,465,0,120,133,240,0,270,569,401,266,150,133,60,0,150,774,494,266,360,266,105,0,225,133,210,0,105,266,225,133,315,0,330,133,120,0,195,0,315,266,240,133,75,0,300,266,75,496,125,0,60,266,480,0,450,615,365,133,360,0,240,133,435,133,495,133,45,266,450,133,150,133,330,0,165,133,165,266,270,133,345,0,390,133,375,612,333,266,180,0,210,266,165,0,90,266,210,0,465,0,75,0,255,694,335,0,420,133,195,617,123,133,180,133,90,715,73,450,45,133,420,133,300,133,225,133,105,133,405,133,450,266,495,0,405,0,375,0,480,827,354,266,465,266,135,266,30,0,45,133,255,0,285,0,360,0,30,1465853757
266,300,266,375,0,345,0,435,800,241,266,120,266,315,0,135,0,495,133,30,133,270,266,90,133,285,266,60,133,390,0,510,133,135,0,180,133,480,133,15,266,45,133,465,0,120,133,240,0,270,569,401,266,150,133,60,0,150,774,494,437,200,266,105,0,225,133,210,0,105,266,225,133,315,0,330,133,120,0,195,0,315,266,240,133,75,0,300,266,75,496,125,0,60,266,480,0,450,615,365,133,360,0,240,133,435,133,495,133,45,266,450,133,150,133,330,0,165,133,165,266,270,133,345,0,390,133,375,612,333,266,180,0,210,266,165,0,90,266,210,0,465,0,75,0,255,694,335,0,420,133,195,748,71,133,180,133,90,715,73,450,45,133,420,133,300,133,225,133,105,133,405,133,450,266,495,0,405,0,375,0,480,827,354,266,465,266,135,266,30,0,45,133,255,0,285,0,360,0,30,1465853772
266,300,266,375,0,345,0,435,800,241,266,120,266,315,0,135,0,495,133,30,133,270,266,90,133,285,266,60,133,390,0,510,133,135,0,180,133,480,133,15,266,45,133,465,0,120,133,240,0,270,569,401,266,150,133,60,0,150,774,494,437,200,266,105,0,225,133,210,0,105,266,225,133,315,0,330,133,120,0,195,0,315,266,240,133,75,0,300,266,75,496,125,0,60,266,480,497,175,615,365,133,360,0,240,133,435,133,495,133,45,266,450,133,150,133,330,0,165,133,165,266,270,133,345,0,390,133,375,612,333,266,180,0,210,266,165,0,90,266,210,489,360,0,75,0,255,694,335,0,420,133,195,748,71,133,180,133,90,715,73,450,45,133,420,133,300,133,225,133,105,133,405,133,450,266,495,0,405,0,375,0,480,827,354,266,465,266,135,266,30,0,45,133,255,0,285,0,360,0,30,1465853787
266,300,266,375,0,345,0,435,800,241,266,120,266,315,0,135,0,495,133,30,133,270,266,90,133,285,266,60,133,390,0,510,133,135,0,180,133,480,133,15,266,45,133,465,0,120,133,240,0,270,762,438,266,150,133,60,0,150,774,494,437,200,266,105,0,225,133,210,0,105,266,225,133,315,0,330,133,120,0,195,0,315,266,240,133,75,0,300,266,75,496,125,0,60,266,480,497,175,615,365,133,360,0,240,133,435,133,495,133,45,266,450,133,150,133,330,0,165,133,165,266,270,133,345,643,282,133,375,612,333,266,180,0,210,266,165,0,90,266,210,489,360,0,75,0,255,694,335,0,420,133,195,748,71,133,180,133,90,715,73,450,45,133,420,133,300,133,225,133,105,133,405,133,450,266,495,0,405,0,375,0,480,827,354,266,465,266,135,266,30,0,45,133,255,0,285,0,360,0,30,1465853802
