133,(45-34)*15+15,0,28*15+15,133,(35-34)*15+15,266,(86-67)*15+15,0,13*15+15,133,(49-34)*15+15,0,2*15+15,0,24*15+15,0,6*15+15,0,29*15+15,0,30*15+15,133,(34-34)*15+15,266,(93-67)*15+15,133,(53-34)*15+15,133,(59-34)*15+15,266,(98-67)*15+15,0,31*15+15,133,(46-34)*15+15,266,(97-67)*15+15,133,(42-34)*15+15,266,(91-67)*15+15,0,25*15+15,133,(66-34)*15+15,133,(44-34)*15+15,266,(85-67)*15+15,0,15*15+15,133,(36-34)*15+15,133,(39-34)*15+15,0,19*15+15,266,(74-67)*15+15,133,(47-34)*15+15,266,(80-67)*15+15,266,(75-67)*15+15,0,4*15+15,133,(63-34)*15+15,266,(87-67)*15+15,133,(50-34)*15+15,133,(43-34)*15+15,266,(92-67)*15+15,266,(95-67)*15+15,133,(56-34)*15+15,133,(40-34)*15+15,266,(82-67)*15+15,0,20*15+15,0,23*15+15,266,(69-67)*15+15,133,(51-34)*15+15,133,(57-34)*15+15,0,18*15+15,266,(73-67)*15+15,266,(70-67)*15+15,0,10*15+15,266,(96-67)*15+15,133,(55-34)*15+15,0,0*15+15,133,(58-34)*15+15,266,(77-67)*15+15,0,21*15+15,133,(38-34)*15+15,266,(83-67)*15+15,0,26*15+15,266,(88-67)*15+15,266,(76-67)*15+15,133,(48-34)*15+15,0,27*15+15,266,(90-67)*15+15,0,7*15+15,266,(71-67)*15+15,133,(41-34)*15+15,0,22*15+15,133,(60-34)*15+15,0,33*15+15,0,32*15+15,133,(64-34)*15+15,0,17*15+15,0,5*15+15,0,8*15+15,133,(52-34)*15+15,266,(72-67)*15+15,266,(99-67)*15+15,266,(68-67)*15+15,133,(65-34)*15+15,0,16*15+15,0,1*15+15,266,(67-67)*15+15,133,(54-34)*15+15,0,3*15+15,266,(79-67)*15+15,266,(84-67)*15+15,0,9*15+15,266,(81-67)*15+15,266,(94-67)*15+15,0,11*15+15,0,12*15+15,133,(61-34)*15+15,266,(89-67)*15+15,133,(37-34)*15+15,266,(78-67)*15+15,133,(62-34)*15+15,0,14*15+15,1465217099
133,180,0,435,133,30,266,300,0,210,133,240,0,45,0,375,0,105,0,450,0,465,133,15,266,405,133,300,133,390,266,480,0,480,133,195,266,465,647,101,266,375,0,390,133,495,133,165,266,285,0,240,133,45,133,90,0,300,266,120,133,210,266,210,266,135,0,75,133,450,266,315,133,255,133,150,266,390,266,435,133,345,133,105,266,240,0,315,0,360,266,45,133,270,133,360,0,285,266,105,266,60,0,165,266,450,133,330,0,15,133,375,266,165,0,330,133,75,266,255,0,405,266,330,266,150,133,225,0,420,266,360,0,120,266,75,133,120,0,345,133,405,0,510,0,495,133,465,0,270,0,90,0,135,133,285,266,90,266,495,266,30,133,480,0,255,0,30,266,15,133,315,0,60,266,195,266,270,0,150,266,225,266,420,0,180,0,195,133,420,266,345,133,60,266,180,133,435,0,225,1465217122
133,180,0,435,133,30,266,300,0,210,133,240,0,45,0,375,0,105,0,450,0,465,133,15,266,405,133,300,133,390,266,480,0,480,133,195,266,465,647,101,266,375,0,390,133,495,133,165,266,285,0,240,133,45,133,90,0,300,266,120,133,210,266,210,266,135,0,75,133,450,266,315,133,255,133,150,596,138,658,287,133,345,133,105,266,240,0,315,0,360,500,393,133,270,133,360,0,285,266,105,266,60,0,165,266,450,133,330,0,15,133,375,266,165,0,330,133,75,266,255,0,405,266,330,266,150,133,225,0,420,266,360,0,120,266,75,133,120,0,345,133,405,0,510,0,495,133,465,0,270,0,90,0,135,133,285,584,448,266,495,718,438,133,480,0,255,0,30,266,15,133,315,0,60,266,195,266,270,0,150,266,225,266,420,0,180,0,195,133,420,266,345,133,60,266,180,133,435,0,225,1465217137
133,180,0,435,133,30,266,300,0,210,133,240,0,45,0,375,0,105,0,450,0,465,133,15,266,405,133,300,133,390,722,140,0,480,133,195,266,465,647,101,266,375,0,390,133,495,133,165,266,285,0,240,133,45,133,90,0,300,266,120,133,210,266,210,266,135,0,75,133,450,266,315,133,255,133,150,596,138,658,287,133,345,133,105,266,240,0,315,0,360,500,393,133,270,133,360,0,285,266,105,266,60,0,165,266,450,133,330,0,15,133,375,266,165,0,330,133,75,266,255,0,405,266,330,266,150,133,225,0,420,266,360,0,120,266,75,133,120,0,345,133,405,0,510,0,495,133,465,0,270,0,90,0,135,133,285,584,448,670,481,718,438,747,266,0,255,0,30,266,15,133,315,0,60,266,195,266,270,0,150,266,225,266,420,0,180,0,195,133,420,266,345,133,60,266,180,133,435,0,225,1465217152
133,180,0,435,133,30,266,300,0,210,133,240,0,45,0,375,0,105,0,450,0,465,133,15,266,405,133,300,133,390,722,140,0,480,133,195,266,465,647,101,266,375,0,390,133,495,133,165,266,285,0,240,133,45,133,90,0,300,266,120,133,210,266,210,266,135,0,75,133,450,266,315,133,255,133,150,596,138,658,287,133,345,133,105,266,240,0,315,0,360,500,393,133,270,133,360,0,285,266,105,266,60,0,165,266,450,133,330,0,15,133,375,266,165,0,330,133,75,266,255,0,405,266,330,266,150,133,225,0,420,266,360,0,120,266,75,133,120,698,423,133,405,0,510,0,495,133,465,0,270,0,90,0,135,133,285,584,448,670,481,718,438,603,420,650,457,0,30,266,15,663,441,0,60,266,195,266,270,0,150,266,225,266,420,0,180,0,195,133,420,266,345,133,60,266,180,133,435,0,225,1465217167
133,180,0,435,133,30,266,300,0,210,133,240,0,45,0,375,0,105,0,450,0,465,133,15,266,405,133,300,133,390,722,140,0,480,133,195,266,465,647,101,266,375,0,390,133,495,133,165,266,285,0,240,133,45,133,90,0,300,266,120,133,210,266,210,266,135,0,75,133,450,266,315,133,255,133,150,596,138,658,287,133,345,133,105,266,240,0,315,0,360,500,393,133,270,133,360,0,285,266,105,266,60,0,165,266,450,133,330,0,15,133,375,266,165,0,330,133,75,266,255,0,405,266,330,266,150,133,225,0,420,266,360,0,120,266,75,133,120,698,423,133,405,0,510,0,495,133,465,0,270,0,90,0,135,133,285,584,448,670,481,718,438,603,420,650,457,0,30,266,15,663,441,0,60,266,195,266,270,0,150,266,225,266,420,586,382,0,195,133,420,266,345,133,60,266,180,133,435,0,225,1465217182
133,180,0,435,133,30,266,300,0,210,133,240,0,45,0,375,0,105,0,450,0,465,133,15,266,405,133,300,133,390,722,140,0,480,133,195,266,465,647,101,266,375,0,390,133,495,133,165,266,285,0,240,133,45,133,90,0,300,266,120,133,210,266,210,266,135,0,75,133,450,266,315,133,255,133,150,596,138,658,287,133,345,665,375,266,240,0,315,0,360,500,393,133,270,133,360,0,285,266,105,266,60,0,165,266,450,133,330,0,15,133,375,266,165,0,330,133,75,266,255,0,405,266,330,266,150,133,225,0,420,266,360,0,120,266,75,133,120,802,385,133,405,0,510,0,495,133,465,0,270,0,90,0,135,133,285,584,448,670,481,718,438,603,420,650,457,0,30,266,15,663,441,0,60,266,195,266,270,0,150,266,225,266,420,586,382,0,195,133,420,266,345,133,60,266,180,133,435,0,225,1465217197
133,180,0,435,133,30,266,300,0,210,133,240,0,45,0,375,0,105,0,450,0,465,133,15,266,405,133,300,133,390,722,140,0,480,133,195,266,465,647,101,266,375,0,390,133,495,133,165,266,285,0,240,133,45,133,90,0,300,266,120,133,210,266,210,266,135,0,75,133,450,266,315,133,255,133,150,596,138,658,287,133,345,665,375,266,240,0,315,0,360,500,393,133,270,133,360,814,455,266,105,266,60,0,165,266,450,133,330,0,15,133,375,266,165,676,414,133,75,266,255,0,405,266,330,266,150,133,225,0,420,266,360,0,120,266,75,133,120,720,405,133,405,0,510,0,495,133,465,0,270,0,90,0,135,713,511,584,448,670,481,718,438,603,420,650,457,0,30,266,15,663,441,0,60,266,195,266,270,0,150,266,225,266,420,586,382,0,195,133,420,266,345,133,60,266,180,133,435,0,225,1465217212
133,180,0,435,133,30,266,300,0,210,133,240,0,45,0,375,0,105,0,450,0,465,133,15,266,405,133,300,133,390,722,140,0,480,133,195,266,465,647,101,266,375,0,390,133,495,133,165,266,285,0,240,133,45,133,90,0,300,266,120,133,210,266,210,266,135,0,75,133,450,266,315,133,255,133,150,596,138,658,287,133,345,665,375,266,240,0,315,0,360,500,393,505,348,133,360,814,455,266,105,266,60,0,165,266,450,133,330,0,15,133,375,266,165,676,414,133,75,266,255,0,405,266,330,266,150,133,225,0,420,266,360,0,120,266,75,133,120,720,405,133,405,0,510,0,495,133,465,0,270,0,90,752,469,723,487,584,448,670,481,718,438,603,420,650,457,0,30,266,15,663,441,0,60,266,195,266,270,0,150,266,225,266,420,586,382,604,347,133,420,266,345,133,60,266,180,133,435,0,225,1465217227
133,180,0,435,133,30,266,300,0,210,133,240,0,45,0,375,0,105,0,450,0,465,133,15,266,405,133,300,133,390,722,140,0,480,133,195,266,465,647,101,266,375,0,390,133,495,133,165,266,285,0,240,133,45,133,90,0,300,266,120,133,210,266,210,266,135,0,75,133,450,266,315,133,255,133,150,596,138,658,287,133,345,665,375,266,240,0,315,0,360,500,393,505,348,133,360,814,455,266,105,266,60,0,165,266,450,675,394,0,15,133,375,266,165,676,414,133,75,266,255,0,405,266,330,266,150,133,225,0,420,266,360,0,120,266,75,133,120,720,405,133,405,0,510,0,495,133,465,0,270,0,90,736,457,723,487,584,448,670,481,718,438,603,420,650,457,0,30,266,15,663,441,0,60,266,195,266,270,0,150,266,225,266,420,586,382,604,347,133,420,266,345,133,60,266,180,133,435,0,225,1465217242
133,180,0,435,133,30,266,300,0,210,133,240,0,45,0,375,0,105,0,450,0,465,133,15,266,405,133,300,133,390,722,140,0,480,133,195,266,465,647,101,266,375,0,390,133,495,133,165,266,285,0,240,133,45,133,90,0,300,266,120,133,210,266,210,266,135,0,75,133,450,266,315,133,255,133,150,596,138,658,287,133,345,665,375,428,272,0,315,0,360,500,393,505,348,507,304,814,455,266,105,266,60,0,165,266,450,675,394,0,15,133,375,670,427,676,414,133,75,266,255,0,405,266,330,266,150,133,225,0,420,266,360,0,120,266,75,133,120,720,405,133,405,0,510,0,495,133,465,0,270,0,90,736,457,723,487,584,448,670,481,718,438,603,420,650,457,0,30,266,15,663,441,0,60,266,195,266,270,0,150,266,225,266,420,586,382,604,347,133,420,266,345,133,60,266,180,133,435,0,225,1465217257
