266,(85-67)*15+15,0,14*15+15,266,(77-67)*15+15,133,(55-34)*15+15,133,(45-34)*15+15,266,(69-67)*15+15,266,(93-67)*15+15,0,27*15+15,0,7*15+15,0,8*15+15,0,2*15+15,0,21*15+15,0,18*15+15,133,(34-34)*15+15,266,(91-67)*15+15,266,(97-67)*15+15,133,(51-34)*15+15,0,3*15+15,266,(96-67)*15+15,0,33*15+15,133,(63-34)*15+15,133,(36-34)*15+15,266,(84-67)*15+15,266,(82-67)*15+15,133,(57-34)*15+15,266,(80-67)*15+15,266,(95-67)*15+15,133,(64-34)*15+15,266,(90-67)*15+15,0,20*15+15,266,(89-67)*15+15,0,0*15+15,0,19*15+15,133,(42-34)*15+15,133,(43-34)*15+15,266,(83-67)*15+15,0,13*15+15,133,(53-34)*15+15,266,(81-67)*15+15,0,15*15+15,0,4*15+15,133,(40-34)*15+15,133,(47-34)*15+15,0,32*15+15,0,9*15+15,0,11*15+15,266,(98-67)*15+15,266,(86-67)*15+15,266,(72-67)*15+15,133,(46-34)*15+15,266,(73-67)*15+15,0,1*15+15,266,(94-67)*15+15,266,(74-67)*15+15,133,(39-34)*15+15,266,(92-67)*15+15,0,22*15+15,266,(87-67)*15+15,0,23*15+15,133,(65-34)*15+15,133,(62-34)*15+15,266,(88-67)*15+15,0,6*15+15,266,(70-67)*15+15,133,(48-34)*15+15,0,30*15+15,133,(50-34)*15+15,266,(67-67)*15+15,0,24*15+15,0,29*15+15,0,28*15+15,266,(75-67)*15+15,133,(56-34)*15+15,133,(52-34)*15+15,0,17*15+15,0,26*15+15,133,(61-34)*15+15,133,(44-34)*15+15,266,(68-67)*15+15,133,(35-34)*15+15,266,(78-67)*15+15,133,(54-34)*15+15,0,25*15+15,0,5*15+15,266,(79-67)*15+15,133,(37-34)*15+15,133,(41-34)*15+15,266,(76-67)*15+15,0,16*15+15,0,12*15+15,133,(38-34)*15+15,133,(60-34)*15+15,133,(49-34)*15+15,133,(59-34)*15+15,133,(66-34)*15+15,266,(71-67)*15+15,0,10*15+15,0,31*15+15,133,(58-34)*15+15,266,(99-67)*15+15,1491889060
266,285,0,225,266,165,133,330,133,180,266,45,266,405,0,420,0,120,0,135,0,45,0,330,0,285,133,15,266,375,266,465,133,270,0,60,266,450,0,510,133,450,133,45,266,270,266,240,133,360,266,210,266,435,133,465,266,360,0,315,266,345,0,15,0,300,133,135,133,150,266,255,0,210,133,300,266,225,0,240,0,75,133,105,133,210,0,495,0,150,0,180,266,480,266,300,266,90,133,195,266,105,0,30,266,420,266,120,133,90,266,390,0,345,266,315,0,360,133,480,133,435,266,330,0,105,266,60,133,225,0,465,133,255,266,15,0,375,0,450,0,435,266,135,133,345,133,285,0,270,0,405,133,420,133,165,266,30,133,30,266,180,133,315,0,390,0,90,266,195,133,60,133,120,266,150,0,255,0,195,133,75,133,405,133,240,133,390,133,495,266,75,0,165,0,480,133,375,266,495,1491889080
266,285,0,225,266,165,133,330,133,180,266,45,266,405,0,420,0,120,0,135,0,45,0,330,0,285,133,15,266,375,266,465,133,270,0,60,266,450,0,510,133,450,133,45,266,270,266,240,133,360,266,210,266,435,133,465,266,360,0,315,266,345,0,15,0,300,133,135,427,32,266,255,0,210,133,300,266,225,0,240,0,75,133,105,133,210,0,495,0,150,0,180,266,480,266,300,266,90,133,195,266,105,0,30,266,420,266,120,133,90,266,390,0,345,266,315,0,360,133,480,133,435,266,330,0,105,266,60,133,225,0,465,133,255,266,15,0,375,0,450,0,435,266,135,133,345,133,285,0,270,0,405,133,420,133,165,266,30,133,30,266,180,133,315,0,390,0,90,266,195,133,60,133,120,266,150,0,255,0,195,133,75,133,405,133,240,133,390,133,495,266,75,0,165,0,480,133,375,266,495,1491889095
266,285,0,225,266,165,133,330,133,180,266,45,266,405,0,420,0,120,0,135,0,45,0,330,0,285,133,15,266,375,266,465,133,270,0,60,266,450,0,510,133,450,133,45,266,270,266,240,426,67,266,210,266,435,133,465,266,360,0,315,266,345,0,15,0,300,133,135,427,32,266,255,0,210,133,300,266,225,0,240,0,75,133,105,133,210,0,495,0,150,0,180,266,480,266,300,266,90,133,195,266,105,0,30,266,420,266,120,133,90,266,390,0,345,266,315,0,360,133,480,133,435,266,330,0,105,266,60,133,225,0,465,133,255,266,15,0,375,0,450,0,435,266,135,133,345,133,285,0,270,0,405,133,420,133,165,266,30,133,30,266,180,133,315,0,390,0,90,266,195,133,60,133,120,266,150,413,256,0,195,911,549,133,405,133,240,133,390,133,495,266,75,0,165,0,480,133,375,266,495,1491889110
266,285,0,225,266,165,133,330,133,180,266,45,266,405,0,420,0,120,0,135,0,45,0,330,0,285,133,15,266,375,266,465,133,270,0,60,266,450,0,510,133,450,133,45,266,270,266,240,426,67,266,210,266,435,133,465,266,360,0,315,266,345,0,15,0,300,133,135,427,32,266,255,0,210,133,300,266,225,0,240,0,75,133,105,133,210,0,495,0,150,0,180,266,480,266,300,266,90,133,195,266,105,0,30,266,420,266,120,133,90,266,390,0,345,266,315,0,360,133,480,133,435,266,330,0,105,266,60,133,225,0,465,133,255,266,15,0,375,0,450,0,435,266,135,133,345,133,285,0,270,0,405,133,420,133,165,266,30,133,30,266,180,133,315,0,390,0,90,266,195,133,60,133,120,833,550,548,67,0,195,911,549,258,415,133,240,133,390,133,495,266,75,0,165,0,480,133,375,266,495,1491889125
266,285,0,225,266,165,133,330,133,180,266,45,266,405,0,420,0,120,0,135,0,45,0,330,0,285,133,15,266,375,266,465,133,270,0,60,266,450,0,510,133,450,133,45,266,270,266,240,426,67,266,210,266,435,133,465,266,360,0,315,266,345,0,15,0,300,133,135,427,32,266,255,0,210,133,300,266,225,0,240,0,75,133,105,133,210,0,495,0,150,0,180,266,480,266,300,266,90,133,195,266,105,0,30,266,420,266,120,133,90,266,390,0,345,266,315,0,360,133,480,529,240,266,330,0,105,266,60,133,225,0,465,133,255,266,15,0,375,0,450,0,435,266,135,659,243,133,285,0,270,0,405,133,420,133,165,266,30,133,30,266,180,133,315,0,390,0,90,266,195,133,60,133,120,833,550,548,67,0,195,911,549,909,522,133,240,133,390,133,495,266,75,0,165,0,480,766,240,266,495,1491889140
266,285,0,225,266,165,133,330,133,180,266,45,266,405,618,393,0,120,0,135,0,45,0,330,0,285,133,15,266,375,266,465,133,270,0,60,266,450,0,510,439,126,133,45,266,270,266,240,426,67,266,210,266,435,133,465,266,360,0,315,266,345,0,15,0,300,133,135,427,32,266,255,0,210,133,300,266,225,0,240,0,75,133,105,133,210,0,495,0,150,0,180,266,480,266,300,266,90,133,195,266,105,0,30,266,420,266,120,133,90,513,129,0,345,266,315,0,360,133,480,529,240,266,330,0,105,266,60,133,225,0,465,133,255,266,15,0,375,0,450,0,435,266,135,659,243,133,285,0,270,0,405,133,420,133,165,266,30,133,30,266,180,133,315,0,390,0,90,266,195,133,60,133,120,833,550,548,67,0,195,911,549,909,522,133,240,133,390,133,495,266,75,0,165,0,480,766,240,266,495,1491889155
266,285,0,225,266,165,133,330,133,180,266,45,266,405,500,422,0,120,0,135,0,45,0,330,0,285,133,15,266,375,266,465,133,270,0,60,266,450,0,510,439,126,133,45,266,270,266,240,426,67,266,210,266,435,133,465,266,360,0,315,266,345,0,15,0,300,133,135,427,32,266,255,0,210,133,300,266,225,0,240,0,75,133,105,133,210,0,495,0,150,0,180,266,480,266,300,266,90,133,195,266,105,0,30,266,420,266,120,133,90,513,129,821,197,266,315,0,360,133,480,529,240,266,330,0,105,266,60,133,225,0,465,133,255,266,15,0,375,0,450,0,435,266,135,659,243,133,285,617,273,0,405,133,420,133,165,266,30,133,30,266,180,133,315,0,390,0,90,266,195,133,60,133,120,833,550,548,67,0,195,911,549,909,522,133,240,133,390,133,495,266,75,0,165,0,480,766,240,266,495,1491889170
266,285,0,225,266,165,133,330,133,180,266,45,266,405,500,422,0,120,0,135,0,45,0,330,0,285,133,15,266,375,266,465,133,270,0,60,266,450,0,510,439,126,133,45,266,270,266,240,426,67,266,210,266,435,133,465,266,360,0,315,266,345,0,15,0,300,133,135,427,32,266,255,0,210,133,300,266,225,0,240,0,75,133,105,133,210,0,495,0,150,0,180,266,480,266,300,266,90,133,195,266,105,0,30,266,420,266,120,133,90,513,129,821,197,266,315,0,360,133,480,529,240,266,330,0,105,266,60,133,225,0,465,133,255,266,15,0,375,0,450,0,435,266,135,659,243,133,285,617,273,0,405,133,420,133,165,266,30,133,30,266,180,133,315,0,390,0,90,266,195,133,60,133,120,833,550,548,67,0,195,911,549,909,522,133,240,133,390,133,495,266,75,0,165,0,480,766,240,266,495,1491889185
266,285,0,225,266,165,133,330,133,180,266,45,266,405,500,422,0,120,0,135,0,45,0,330,0,285,133,15,266,375,266,465,133,270,0,60,266,450,0,510,439,126,133,45,266,270,266,240,426,67,266,210,266,435,133,465,266,360,0,315,266,345,0,15,0,300,133,135,427,32,266,255,0,210,133,300,266,225,0,240,0,75,133,105,133,210,0,495,0,150,0,180,266,480,266,300,266,90,133,195,266,105,0,30,266,420,266,120,133,90,513,129,821,197,266,315,0,360,133,480,529,240,266,330,0,105,266,60,133,225,0,465,133,255,266,15,0,375,0,450,0,435,266,135,659,243,133,285,617,273,0,405,133,420,133,165,266,30,133,30,266,180,133,315,0,390,0,90,266,195,133,60,133,120,833,550,548,67,0,195,911,549,909,522,133,240,133,390,133,495,266,75,0,165,0,480,766,240,266,495,1491889200
266,285,0,225,266,165,133,330,133,180,266,45,266,405,500,422,0,120,0,135,0,45,0,330,0,285,133,15,266,375,266,465,133,270,0,60,266,450,0,510,439,126,133,45,266,270,266,240,426,67,266,210,266,435,133,465,266,360,0,315,266,345,0,15,0,300,133,135,427,32,266,255,0,210,133,300,266,225,0,240,0,75,133,105,133,210,0,495,0,150,0,180,266,480,266,300,266,90,133,195,266,105,0,30,266,420,266,120,133,90,513,129,821,197,266,315,0,360,133,480,529,240,266,330,0,105,266,60,133,225,0,465,133,255,266,15,0,375,0,450,0,435,266,135,659,243,133,285,617,273,0,405,133,420,133,165,266,30,133,30,266,180,133,315,0,390,0,90,266,195,133,60,133,120,833,550,548,67,0,195,911,549,909,522,133,240,133,390,133,495,266,75,0,165,0,480,766,240,266,495,1491889215
