133,(39-34)*15+15,266,(89-67)*15+15,133,(66-34)*15+15,0,25*15+15,0,16*15+15,266,(83-67)*15+15,133,(65-34)*15+15,133,(41-34)*15+15,266,(67-67)*15+15,266,(99-67)*15+15,266,(94-67)*15+15,0,7*15+15,0,9*15+15,0,17*15+15,266,(70-67)*15+15,133,(60-34)*15+15,133,(46-34)*15+15,0,15*15+15,0,23*15+15,266,(74-67)*15+15,266,(68-67)*15+15,266,(93-67)*15+15,0,5*15+15,266,(92-67)*15+15,133,(50-34)*15+15,0,2*15+15,0,30*15+15,0,24*15+15,266,(86-67)*15+15,133,(45-34)*15+15,133,(44-34)*15+15,0,33*15+15,0,13*15+15,133,(51-34)*15+15,266,(79-67)*15+15,133,(35-34)*15+15,133,(52-34)*15+15,0,19*15+15,266,(95-67)*15+15,266,(85-67)*15+15,133,(57-34)*15+15,266,(77-67)*15+15,133,(49-34)*15+15,133,(48-34)*15+15,0,11*15+15,133,(34-34)*15+15,266,(76-67)*15+15,0,20*15+15,133,(37-34)*15+15,0,0*15+15,0,1*15+15,0,14*15+15,266,(69-67)*15+15,133,(64-34)*15+15,0,21*15+15,266,(91-67)*15+15,0,8*15+15,0,27*15+15,0,28*15+15,0,29*15+15,0,32*15+15,133,(59-34)*15+15,133,(43-34)*15+15,0,26*15+15,0,6*15+15,266,(81-67)*15+15,266,(72-67)*15+15,133,(36-34)*15+15,266,(71-67)*15+15,0,12*15+15,133,(56-34)*15+15,266,(87-67)*15+15,133,(54-34)*15+15,0,18*15+15,0,22*15+15,266,(97-67)*15+15,266,(75-67)*15+15,266,(96-67)*15+15,0,31*15+15,133,(40-34)*15+15,133,(62-34)*15+15,266,(88-67)*15+15,266,(90-67)*15+15,0,4*15+15,266,(82-67)*15+15,266,(78-67)*15+15,133,(61-34)*15+15,133,(58-34)*15+15,266,(84-67)*15+15,133,(47-34)*15+15,266,(98-67)*15+15,0,10*15+15,266,(80-67)*15+15,133,(38-34)*15+15,133,(55-34)*15+15,133,(53-34)*15+15,133,(42-34)*15+15,133,(63-34)*15+15,266,(73-67)*15+15,0,3*15+15,1466099381
133,90,266,345,133,495,0,390,0,255,266,255,133,480,133,120,266,15,266,495,266,420,0,120,0,150,0,270,266,60,133,405,133,195,0,240,0,360,266,120,266,30,266,405,0,90,266,390,133,255,0,45,0,465,0,375,266,300,133,180,133,165,0,510,0,210,133,270,266,195,133,30,133,285,0,300,266,435,266,285,133,360,266,165,133,240,133,225,0,180,133,15,266,150,0,315,133,60,0,15,0,30,0,225,266,45,133,465,0,330,266,375,0,135,0,420,0,435,0,450,0,495,133,390,133,150,0,405,0,105,266,225,266,90,133,45,266,75,0,195,133,345,266,315,133,315,0,285,0,345,266,465,266,135,266,450,0,480,133,105,133,435,266,330,266,360,0,75,266,240,266,180,133,420,133,375,266,270,133,210,266,480,0,165,266,210,133,75,133,330,133,300,133,135,133,450,266,105,0,60,1466099411
133,90,266,345,133,495,0,390,0,255,266,255,133,480,133,120,266,15,266,495,266,420,0,120,0,150,0,270,266,60,133,405,133,195,0,240,0,360,266,120,266,30,266,405,0,90,266,390,133,255,0,45,0,465,0,375,266,300,133,180,133,165,0,510,0,210,494,186,266,195,133,30,133,285,0,300,266,435,266,285,133,360,266,165,133,240,133,225,0,180,133,15,266,150,0,315,133,60,405,10,12,36,0,225,266,45,133,465,0,330,266,375,0,135,0,420,0,435,0,450,0,495,133,390,133,150,0,405,0,105,266,225,266,90,133,45,266,75,0,195,133,345,266,315,133,315,0,285,0,345,266,465,266,135,266,450,0,480,133,105,133,435,266,330,266,360,0,75,266,240,266,180,133,420,133,375,266,270,133,210,266,480,0,165,266,210,133,75,133,330,133,300,133,135,133,450,266,105,0,60,1466099426
133,90,266,345,133,495,0,390,0,255,266,255,133,480,133,120,266,15,266,495,266,420,0,120,0,150,0,270,266,60,133,405,133,195,0,240,0,360,266,120,266,30,266,405,0,90,266,390,133,255,0,45,0,465,0,375,266,300,133,180,133,165,0,510,0,210,411,80,266,195,133,30,133,285,0,300,266,435,266,285,133,360,266,165,133,240,133,225,0,180,133,15,266,150,0,315,133,60,405,10,12,36,0,225,266,45,133,465,0,330,266,375,0,135,0,420,0,435,0,450,0,495,133,390,133,150,0,405,0,105,266,225,266,90,133,45,266,75,0,195,133,345,266,315,133,315,0,285,0,345,266,465,266,135,266,450,0,480,133,105,133,435,266,330,266,360,0,75,266,240,266,180,133,420,133,375,266,270,133,210,266,480,0,165,266,210,133,75,133,330,133,300,133,135,133,450,266,105,413,89,1466099441
133,90,266,345,133,495,0,390,0,255,266,255,133,480,133,120,266,15,266,495,266,420,0,120,0,150,0,270,266,60,133,405,133,195,0,240,0,360,266,120,266,30,266,405,0,90,266,390,133,255,0,45,0,465,0,375,266,300,133,180,133,165,482,80,0,210,411,80,266,195,133,30,133,285,0,300,266,435,266,285,133,360,266,165,133,240,133,225,0,180,133,15,266,150,0,315,133,60,405,10,12,36,0,225,266,45,133,465,0,330,266,375,0,135,0,420,0,435,0,450,0,495,133,390,133,150,0,405,0,105,266,225,266,90,133,45,266,75,0,195,133,345,266,315,133,315,0,285,0,345,266,465,266,135,266,450,414,112,133,105,133,435,266,330,266,360,0,75,266,240,266,180,133,420,133,375,266,270,133,210,266,480,0,165,266,210,133,75,133,330,133,300,133,135,133,450,266,105,413,89,1466099456
133,90,266,345,133,495,0,390,0,255,266,255,133,480,133,120,266,15,266,495,266,420,407,126,0,150,0,270,266,60,133,405,133,195,0,240,0,360,266,120,266,30,266,405,0,90,266,390,133,255,0,45,0,465,0,375,266,300,133,180,413,136,481,80,0,210,411,80,266,195,133,30,133,285,0,300,266,435,266,285,133,360,266,165,133,240,133,225,0,180,133,15,266,150,0,315,133,60,405,10,12,36,0,225,266,45,133,465,0,330,266,375,0,135,0,420,0,435,0,450,0,495,133,390,133,150,0,405,0,105,266,225,266,90,133,45,266,75,0,195,133,345,266,315,133,315,0,285,0,345,266,465,266,135,266,450,414,112,133,105,133,435,266,330,266,360,0,75,266,240,266,180,133,420,133,375,266,270,133,210,266,480,0,165,266,210,133,75,420,149,133,300,133,135,133,450,266,105,413,89,1466099471
133,90,266,345,133,495,0,390,0,255,266,255,133,480,133,120,266,15,266,495,266,420,407,126,0,150,0,270,266,60,133,405,133,195,0,240,0,360,266,120,266,30,266,405,619,174,266,390,133,255,0,45,0,465,0,375,266,300,133,180,413,136,481,80,0,210,411,80,266,195,133,30,133,285,0,300,266,435,266,285,133,360,266,165,133,240,133,225,0,180,133,15,266,150,0,315,133,60,405,10,12,36,0,225,409,66,133,465,0,330,266,375,0,135,0,420,0,435,443,152,0,495,133,390,133,150,0,405,0,105,266,225,266,90,133,45,266,75,0,195,133,345,266,315,133,315,0,285,0,345,266,465,266,135,266,450,414,112,133,105,133,435,266,330,266,360,0,75,266,240,266,180,133,420,133,375,266,270,133,210,266,480,0,165,266,210,133,75,420,149,133,300,133,135,133,450,266,105,413,89,1466099486
133,90,266,345,133,495,0,390,0,255,266,255,133,480,133,120,266,15,266,495,266,420,407,126,0,150,0,270,266,60,133,405,133,195,0,240,0,360,266,120,266,30,266,405,619,174,266,390,133,255,0,45,0,465,0,375,266,300,133,180,413,136,481,80,0,210,411,80,266,195,133,30,133,285,0,300,266,435,266,285,133,360,266,165,133,240,133,225,0,180,133,15,266,150,0,315,133,60,431,51,12,36,0,225,409,66,133,465,0,330,266,375,0,135,0,420,0,435,443,152,0,495,133,390,133,150,0,405,0,105,266,225,266,90,133,45,266,75,0,195,133,345,266,315,133,315,0,285,0,345,266,465,266,135,266,450,521,67,133,105,133,435,266,330,266,360,0,75,266,240,266,180,133,420,133,375,266,270,133,210,266,480,411,100,266,210,133,75,420,149,133,300,133,135,133,450,266,105,413,89,1466099501
133,90,266,345,133,495,0,390,0,255,266,255,133,480,133,120,266,15,266,495,266,420,516,93,0,150,0,270,266,60,133,405,133,195,0,240,0,360,266,120,266,30,266,405,619,174,266,390,133,255,0,45,0,465,0,375,266,300,133,180,565,93,481,80,0,210,411,80,266,195,133,30,133,285,0,300,266,435,266,285,133,360,266,165,133,240,133,225,0,180,133,15,266,150,0,315,133,60,431,51,12,36,0,225,409,66,133,465,0,330,266,375,0,135,0,420,0,435,507,107,0,495,133,390,133,150,0,405,0,105,266,225,266,90,133,45,266,75,0,195,133,345,266,315,133,315,0,285,0,345,266,465,266,135,266,450,521,67,133,105,133,435,266,330,266,360,0,75,266,240,266,180,133,420,133,375,266,270,133,210,266,480,751,245,266,210,133,75,477,93,133,300,133,135,133,450,266,105,413,89,1466099516
133,90,266,345,133,495,0,390,26,252,266,255,133,480,133,120,266,15,266,495,266,420,516,93,0,150,577,80,266,60,595,67,133,195,0,240,0,360,266,120,266,30,266,405,619,174,266,390,133,255,0,45,0,465,0,375,266,300,133,180,565,93,481,80,0,210,411,80,266,195,133,30,133,285,0,300,266,435,266,285,133,360,266,165,133,240,133,225,0,180,133,15,266,150,0,315,133,60,431,51,12,36,0,225,409,66,133,465,0,330,266,375,0,135,0,420,0,435,507,107,0,495,133,390,133,150,0,405,0,105,266,225,266,90,133,45,266,75,0,195,133,345,266,315,133,315,0,285,0,345,266,465,266,135,266,450,521,67,133,105,133,435,266,330,266,360,0,75,266,240,266,180,524,312,133,375,266,270,133,210,266,480,751,245,266,210,133,75,477,93,133,300,133,135,133,450,266,105,413,89,1466099531
133,90,266,345,133,495,0,390,26,252,266,255,133,480,133,120,266,15,266,495,266,420,516,93,0,150,577,80,266,60,474,56,133,195,0,240,0,360,266,120,266,30,266,405,619,174,266,390,133,255,0,45,0,465,0,375,266,300,133,180,565,93,481,80,0,210,411,80,266,195,133,30,133,285,0,300,266,435,266,285,133,360,266,165,133,240,133,225,0,180,133,15,266,150,0,315,133,60,419,53,12,36,0,225,409,66,133,465,0,330,266,375,0,135,0,420,0,435,514,66,0,495,133,390,133,150,0,405,0,105,266,225,266,90,133,45,266,75,0,195,133,345,266,315,133,315,0,285,0,345,266,465,266,135,266,450,465,154,133,105,133,435,266,330,266,360,0,75,266,240,266,180,524,312,133,375,266,270,133,210,266,480,751,245,266,210,133,75,477,93,133,300,133,135,133,450,266,105,413,89,1466099546
