0,1*15+15,0,17*15+15,266,(72-67)*15+15,0,12*15+15,0,29*15+15,266,(96-67)*15+15,0,24*15+15,266,(83-67)*15+15,266,(84-67)*15+15,133,(42-34)*15+15,266,(75-67)*15+15,133,(50-34)*15+15,133,(53-34)*15+15,266,(71-67)*15+15,0,4*15+15,133,(52-34)*15+15,266,(70-67)*15+15,133,(54-34)*15+15,266,(95-67)*15+15,266,(91-67)*15+15,0,28*15+15,133,(41-34)*15+15,133,(44-34)*15+15,0,23*15+15,266,(93-67)*15+15,133,(60-34)*15+15,266,(69-67)*15+15,0,7*15+15,266,(77-67)*15+15,0,33*15+15,133,(51-34)*15+15,266,(89-67)*15+15,133,(59-34)*15+15,266,(73-67)*15+15,133,(63-34)*15+15,133,(35-34)*15+15,266,(90-67)*15+15,266,(97-67)*15+15,133,(38-34)*15+15,0,31*15+15,133,(55-34)*15+15,133,(46-34)*15+15,133,(57-34)*15+15,133,(61-34)*15+15,0,26*15+15,0,21*15+15,133,(37-34)*15+15,266,(76-67)*15+15,0,16*15+15,133,(49-34)*15+15,266,(81-67)*15+15,133,(58-34)*15+15,0,8*15+15,266,(85-67)*15+15,133,(39-34)*15+15,0,19*15+15,266,(74-67)*15+15,0,32*15+15,0,25*15+15,133,(45-34)*15+15,0,0*15+15,0,14*15+15,0,9*15+15,133,(43-34)*15+15,0,5*15+15,266,(87-67)*15+15,266,(80-67)*15+15,266,(88-67)*15+15,266,(98-67)*15+15,0,6*15+15,0,3*15+15,0,11*15+15,0,22*15+15,0,20*15+15,266,(78-67)*15+15,0,27*15+15,0,10*15+15,133,(62-34)*15+15,133,(40-34)*15+15,266,(67-67)*15+15,266,(94-67)*15+15,133,(36-34)*15+15,133,(64-34)*15+15,266,(68-67)*15+15,133,(47-34)*15+15,266,(92-67)*15+15,266,(99-67)*15+15,266,(82-67)*15+15,133,(48-34)*15+15,0,18*15+15,133,(56-34)*15+15,0,30*15+15,0,13*15+15,0,15*15+15,133,(66-34)*15+15,133,(34-34)*15+15,0,2*15+15,266,(86-67)*15+15,133,(65-34)*15+15,266,(79-67)*15+15,1464432322
0,30,0,270,266,90,0,195,0,450,266,450,0,375,266,255,266,270,133,135,266,135,133,255,133,300,266,75,0,75,133,285,266,60,133,315,266,435,266,375,0,435,133,120,133,165,0,360,266,405,133,405,266,45,0,120,266,165,0,510,133,270,266,345,133,390,266,105,133,450,133,30,266,360,266,465,133,75,0,480,133,330,133,195,133,360,133,420,0,405,0,330,133,60,266,150,0,255,133,240,266,225,133,375,0,135,266,285,133,90,0,300,266,120,0,495,0,390,133,180,-11,79,0,225,0,150,133,150,516,84,266,315,266,210,266,330,266,480,0,105,0,60,0,180,0,345,0,315,266,180,0,420,0,165,133,435,133,105,266,15,266,420,133,45,133,465,266,30,133,210,266,390,266,495,266,240,133,225,0,285,133,345,0,465,0,210,0,240,133,495,133,15,0,45,266,300,133,480,266,195,1464432339
0,30,0,270,971,23,0,195,0,450,266,450,0,375,266,255,266,270,133,135,427,587,133,255,133,300,266,75,0,75,133,285,266,60,133,315,266,435,266,375,0,435,133,120,133,165,0,360,266,405,133,405,266,45,0,120,266,165,0,510,133,270,266,345,133,390,266,105,133,450,133,30,266,360,266,465,133,75,0,480,133,330,133,195,133,360,133,420,0,405,0,330,133,60,266,150,0,255,133,240,266,225,133,375,0,135,266,285,133,90,0,300,266,120,0,495,0,390,133,180,-11,79,0,225,0,150,133,150,635,83,266,315,266,210,266,330,266,480,0,105,0,60,0,180,0,345,0,315,266,180,0,420,0,165,133,435,133,105,266,15,266,420,133,45,133,465,266,30,133,210,266,390,266,495,266,240,133,225,0,285,133,345,0,465,0,210,0,240,133,495,133,15,0,45,266,300,133,480,266,195,1464432354
0,30,0,270,971,23,0,195,0,450,266,450,0,375,266,255,503,448,133,135,404,591,133,255,133,300,266,75,0,75,133,285,266,60,133,315,266,435,266,375,0,435,133,120,133,165,0,360,266,405,133,405,266,45,0,120,266,165,0,510,133,270,266,345,133,390,266,105,133,450,133,30,266,360,266,465,133,75,0,480,133,330,133,195,133,360,133,420,0,405,0,330,133,60,266,150,0,255,133,240,458,535,133,375,0,135,742,244,133,90,0,300,266,120,0,495,0,390,133,180,-11,79,0,225,0,150,133,150,669,182,266,315,266,210,266,330,266,480,0,105,0,60,0,180,0,345,0,315,266,180,0,420,0,165,133,435,133,105,266,15,266,420,133,45,133,465,266,30,133,210,266,390,266,495,266,240,133,225,0,285,133,345,0,465,0,210,0,240,133,495,133,15,0,45,710,259,133,480,266,195,1464432369
0,30,0,270,971,23,0,195,0,450,266,450,0,375,266,255,503,448,133,135,404,591,133,255,133,300,266,75,0,75,133,285,266,60,133,315,266,435,266,375,0,435,133,120,133,165,0,360,266,405,133,405,266,45,0,120,266,165,0,510,133,270,266,345,133,390,266,105,133,450,133,30,266,360,266,465,133,75,0,480,133,330,133,195,133,360,133,420,0,405,0,330,133,60,266,150,0,255,133,240,458,535,133,375,0,135,742,244,133,90,0,300,266,120,0,495,0,390,133,180,-11,79,0,225,0,150,133,150,669,182,476,234,266,210,266,330,266,480,0,105,0,60,0,180,0,345,0,315,266,180,0,420,0,165,133,435,133,105,266,15,266,420,133,45,133,465,266,30,133,210,266,390,266,495,266,240,133,225,0,285,133,345,0,465,0,210,0,240,133,495,133,15,0,45,710,259,133,480,266,195,1464432384
0,30,0,270,971,23,0,195,0,450,266,450,0,375,266,255,503,448,133,135,404,591,133,255,133,300,266,75,0,75,133,285,266,60,133,315,266,435,266,375,0,435,133,120,133,165,0,360,266,405,133,405,923,31,0,120,266,165,0,510,133,270,266,345,133,390,266,105,133,450,133,30,266,360,266,465,133,75,0,480,133,330,133,195,133,360,133,420,0,405,0,330,133,60,266,150,0,255,133,240,458,535,133,375,0,135,742,244,133,90,0,300,266,120,0,495,0,390,133,180,-11,79,0,225,0,150,133,150,669,182,476,234,266,210,266,330,266,480,0,105,0,60,0,180,0,345,0,315,266,180,0,420,0,165,133,435,133,105,650,425,266,420,133,45,133,465,633,426,133,210,266,390,266,495,266,240,133,225,0,285,133,345,0,465,0,210,0,240,133,495,603,238,0,45,710,259,133,480,266,195,1464432399
0,30,0,270,971,23,0,195,0,450,266,450,0,375,266,255,503,448,133,135,404,591,133,255,133,300,524,491,0,75,133,285,846,83,133,315,266,435,266,375,0,435,133,120,133,165,0,360,266,405,133,405,923,31,0,120,266,165,0,510,133,270,266,345,133,390,414,163,133,450,133,30,266,360,266,465,133,75,0,480,133,330,133,195,133,360,133,420,0,405,0,330,133,60,266,150,0,255,133,240,458,535,133,375,0,135,742,244,133,90,0,300,266,120,0,495,0,390,133,180,-11,79,0,225,0,150,133,150,669,182,476,234,266,210,266,330,266,480,0,105,0,60,0,180,0,345,0,315,266,180,0,420,0,165,133,435,133,105,650,425,266,420,662,311,133,465,633,426,133,210,266,390,266,495,266,240,133,225,0,285,133,345,0,465,0,210,0,240,133,495,605,244,0,45,682,301,133,480,266,195,1464432414
0,30,0,270,971,23,0,195,0,450,266,450,0,375,913,44,503,448,133,135,404,591,133,255,133,300,524,491,0,75,133,285,846,83,133,315,266,435,266,375,0,435,133,120,133,165,0,360,266,405,133,405,923,31,0,120,266,165,0,510,133,270,266,345,133,390,414,163,133,450,133,30,266,360,266,465,133,75,0,480,133,330,133,195,133,360,133,420,0,405,0,330,133,60,266,150,0,255,133,240,458,535,133,375,0,135,742,244,133,90,0,300,664,318,0,495,0,390,133,180,-11,79,0,225,0,150,133,150,669,182,476,234,909,156,266,330,266,480,0,105,0,60,0,180,0,345,0,315,266,180,0,420,0,165,133,435,133,105,650,425,266,420,662,311,133,465,633,426,133,210,266,390,266,495,926,46,133,225,0,285,133,345,0,465,0,210,0,240,133,495,605,244,0,45,682,301,133,480,266,195,1464432429
0,30,0,270,971,23,0,195,0,450,266,450,0,375,913,44,503,448,133,135,404,591,133,255,133,300,524,491,0,75,133,285,846,83,133,315,266,435,443,590,0,435,133,120,133,165,0,360,485,407,133,405,923,31,0,120,266,165,0,510,133,270,499,483,133,390,414,163,133,450,133,30,445,590,266,465,133,75,0,480,133,330,133,195,133,360,133,420,0,405,0,330,133,60,266,150,0,255,133,240,458,535,133,375,0,135,742,244,133,90,0,300,664,318,0,495,0,390,133,180,-11,79,0,225,0,150,133,150,669,182,476,234,909,156,861,438,266,480,0,105,0,60,0,180,0,345,0,315,266,180,0,420,0,165,133,435,133,105,650,425,266,420,662,311,133,465,633,426,133,210,683,314,266,495,926,46,133,225,0,285,133,345,0,465,0,210,0,240,133,495,605,244,0,45,682,301,133,480,266,195,1464432444
0,30,0,270,971,23,0,195,0,450,477,306,0,375,913,44,503,448,133,135,404,591,133,255,133,300,524,491,0,75,133,285,846,83,133,315,842,90,443,590,0,435,133,120,133,165,0,360,458,444,133,405,923,31,0,120,266,165,0,510,133,270,499,483,133,390,414,163,133,450,133,30,445,590,498,541,133,75,0,480,133,330,133,195,133,360,133,420,0,405,0,330,133,60,266,150,0,255,133,240,458,535,133,375,0,135,742,244,133,90,0,300,664,318,0,495,0,390,133,180,-11,79,0,225,0,150,133,150,669,182,476,234,909,156,861,438,880,132,0,105,0,60,0,180,0,345,0,315,266,180,0,420,0,165,133,435,133,105,650,425,660,305,662,311,133,465,633,426,133,210,683,314,266,495,926,46,133,225,0,285,133,345,0,465,0,210,0,240,133,495,605,244,0,45,682,301,133,480,266,195,1464432459
0,30,0,270,971,23,0,195,0,450,477,306,0,375,913,44,503,448,133,135,404,591,133,255,133,300,524,491,0,75,133,285,846,83,133,315,842,90,443,590,0,435,133,120,133,165,0,360,458,444,133,405,923,31,0,120,470,428,0,510,133,270,499,483,133,390,414,163,133,450,133,30,445,590,498,541,133,75,0,480,133,330,133,195,133,360,133,420,0,405,0,330,133,60,498,130,0,255,133,240,458,535,133,375,0,135,742,244,133,90,0,300,664,318,0,495,0,390,133,180,-11,79,0,225,0,150,133,150,669,182,476,234,909,156,861,438,899,142,0,105,0,60,0,180,0,345,0,315,650,178,0,420,0,165,133,435,133,105,650,425,660,305,662,311,133,465,633,426,133,210,683,314,825,38,926,46,133,225,0,285,133,345,0,465,0,210,0,240,133,495,605,244,0,45,682,301,133,480,266,195,1464432474
